### DATA:
#
# 1823
#      Q             I(Q)           Error     
8.75701299E-03  0.00000000E+00  0.00000000E+00
9.00368942E-03  0.00000000E+00  0.00000000E+00
9.25036584E-03  0.00000000E+00  0.00000000E+00
9.49704226E-03  0.00000000E+00  0.00000000E+00
9.74371868E-03  2.45960150E-03  7.99892063E-04
9.99039511E-03  0.00000000E+00  0.00000000E+00
1.02370715E-02  0.00000000E+00  0.00000000E+00
1.04837480E-02  0.00000000E+00  0.00000000E+00
1.07304244E-02  0.00000000E+00  0.00000000E+00
1.09771008E-02  0.00000000E+00  0.00000000E+00
1.12237772E-02  1.69097842E-03  5.51921607E-04
1.14704536E-02  2.77493964E-03  6.37172605E-04
1.17171301E-02  0.00000000E+00  0.00000000E+00
1.19638065E-02  5.62195899E-03  9.00394691E-04
1.22104829E-02  2.48787901E-03  5.72036020E-04
1.24571593E-02  2.46800706E-01  2.44935453E-02
1.27038358E-02  4.52768862E-01  3.25598717E-02
1.29505122E-02  6.39151275E-01  3.67331170E-02
1.31971886E-02  5.90981722E-01  2.83076372E-02
1.34438650E-02  6.40592098E-01  2.85198037E-02
1.36905414E-02  6.29857421E-01  2.67391577E-02
1.39372179E-02  5.94259977E-01  2.29973383E-02
1.41838943E-02  5.91064036E-01  2.34536491E-02
1.44305707E-02  4.83206332E-01  1.76066291E-02
1.46772471E-02  5.01931131E-01  1.53052909E-02
1.49239236E-02  4.51551557E-01  1.44301988E-02
1.51706000E-02  4.46212322E-01  1.37261683E-02
1.54172764E-02  4.29224133E-01  1.27074569E-02
1.56639528E-02  3.89603585E-01  1.08492170E-02
1.59106292E-02  3.82217050E-01  1.05473669E-02
1.61573057E-02  3.81442755E-01  1.04911765E-02
1.64039821E-02  3.27022672E-01  8.56018346E-03
1.66506585E-02  3.62764746E-01  9.10763908E-03
1.68973349E-02  3.21684778E-01  7.87969120E-03
1.71440114E-02  3.10068786E-01  7.94546213E-03
1.73906878E-02  2.92433709E-01  7.62323057E-03
1.76373642E-02  2.79777884E-01  6.93131611E-03
1.78840406E-02  2.95084447E-01  7.00335391E-03
1.81307170E-02  2.69856334E-01  5.61784813E-03
1.83773935E-02  2.62716889E-01  6.68676943E-03
1.86240699E-02  2.27839410E-01  5.30162454E-03
1.88707463E-02  2.19258532E-01  5.00078220E-03
1.91174227E-02  1.91690549E-01  4.75179218E-03
1.93640992E-02  1.72766998E-01  3.94282676E-03
1.96107756E-02  1.82670921E-01  4.46515949E-03
1.98574520E-02  1.84045523E-01  4.20494284E-03
2.01041284E-02  1.68614194E-01  3.76640726E-03
2.03508048E-02  1.42284423E-01  3.42181372E-03
2.05974813E-02  1.48493543E-01  3.33760493E-03
2.08441577E-02  1.47890016E-01  3.26723093E-03
2.10908341E-02  1.44448012E-01  3.07859806E-03
2.13375105E-02  1.36282399E-01  3.11723747E-03
2.15841870E-02  1.30380467E-01  2.82209041E-03
2.18308634E-02  1.18630551E-01  2.51973700E-03
2.20775398E-02  1.27393320E-01  2.54578958E-03
2.23242162E-02  1.16061419E-01  2.39157630E-03
2.25708926E-02  1.20650306E-01  2.40787608E-03
2.28175691E-02  1.11294784E-01  2.33404199E-03
2.30642455E-02  1.23736836E-01  2.37009372E-03
2.33109219E-02  1.05338708E-01  2.18761805E-03
2.35575983E-02  1.07883349E-01  2.08611484E-03
2.38042748E-02  9.63506177E-02  2.00013909E-03
2.40509512E-02  1.00021236E-01  1.98045326E-03
2.42976276E-02  1.07012324E-01  1.94396719E-03
2.45443040E-02  9.48062614E-02  1.87145150E-03
2.47909804E-02  1.02024652E-01  1.83743844E-03
2.50376569E-02  1.10208295E-01  1.91206916E-03
2.52843333E-02  1.08787380E-01  1.95296318E-03
2.55310097E-02  1.06257506E-01  1.82362611E-03
2.57776861E-02  9.56218466E-02  1.78150123E-03
2.60243626E-02  1.02418147E-01  1.83969387E-03
2.62710390E-02  9.65911895E-02  1.78989442E-03
2.65177154E-02  1.00761659E-01  1.69313641E-03
2.67643918E-02  9.58569199E-02  1.63612654E-03
2.70110682E-02  9.80635881E-02  1.66366913E-03
2.72577447E-02  9.59500894E-02  1.60116819E-03
2.75044211E-02  8.37794617E-02  1.66352303E-03
2.77510975E-02  9.17207971E-02  1.55005348E-03
2.79977739E-02  9.94057208E-02  1.61859370E-03
2.82444504E-02  1.02779135E-01  1.61898800E-03
2.84911268E-02  9.77682322E-02  1.55728578E-03
2.87378032E-02  9.70302969E-02  1.58194767E-03
2.89844796E-02  9.35179517E-02  1.56882312E-03
2.92311561E-02  8.78598168E-02  1.43616623E-03
2.94778325E-02  9.30523127E-02  1.51244295E-03
2.97245089E-02  9.47821140E-02  1.57159916E-03
2.99711853E-02  9.75562409E-02  1.52669591E-03
3.02178617E-02  9.15762931E-02  1.40183291E-03
3.04645382E-02  9.46435109E-02  1.51219673E-03
3.07112146E-02  8.86265710E-02  1.42836408E-03
3.09578910E-02  9.52479169E-02  1.48434401E-03
3.12045674E-02  9.53968838E-02  1.39292050E-03
3.14512439E-02  9.66025367E-02  1.45020289E-03
3.16979203E-02  9.81788337E-02  1.52994401E-03
3.19445967E-02  1.01117253E-01  1.46097178E-03
3.21912731E-02  9.64676589E-02  1.39185786E-03
3.24379495E-02  9.58697870E-02  1.44093006E-03
3.26846260E-02  9.43820029E-02  1.45714311E-03
3.29313024E-02  9.11592618E-02  1.38054637E-03
3.31779788E-02  9.17620882E-02  1.33545836E-03
3.34246552E-02  8.89011994E-02  1.39316940E-03
3.36713317E-02  1.00252956E-01  1.42838026E-03
3.39180081E-02  9.66784507E-02  1.44420273E-03
3.41646845E-02  9.09113437E-02  1.31832843E-03
3.44113609E-02  9.98465940E-02  1.41647737E-03
3.46580373E-02  9.77783650E-02  1.47150399E-03
3.49047138E-02  9.22480673E-02  1.31020439E-03
3.51513902E-02  9.99312550E-02  1.40106992E-03
3.53980666E-02  9.89515111E-02  1.39650982E-03
3.56447430E-02  9.49244946E-02  1.30775513E-03
3.58914195E-02  8.50886554E-02  1.32393627E-03
3.61380959E-02  9.72282067E-02  1.40776916E-03
3.63847723E-02  9.57076773E-02  1.33833825E-03
3.66314487E-02  9.54641551E-02  1.33911346E-03
3.68781251E-02  9.43936855E-02  1.32749346E-03
3.71248016E-02  9.12839249E-02  1.35690463E-03
3.73714780E-02  9.82173234E-02  1.38475420E-03
3.76181544E-02  1.01094961E-01  1.36702333E-03
3.78648308E-02  9.79051962E-02  1.33268908E-03
3.81115073E-02  1.00193232E-01  1.37264316E-03
3.83581837E-02  1.02634251E-01  1.33213750E-03
3.86048601E-02  1.06742278E-01  1.42259954E-03
3.88515365E-02  1.04610354E-01  1.40523282E-03
3.90982129E-02  1.00437060E-01  1.35025068E-03
3.93448894E-02  1.02301612E-01  1.43050298E-03
3.95915658E-02  1.08395018E-01  1.35464082E-03
3.98382422E-02  1.16006881E-01  1.39866059E-03
4.00849186E-02  1.13666967E-01  1.46229344E-03
4.03315951E-02  1.12519681E-01  1.35906844E-03
4.05782715E-02  1.22143172E-01  1.42109906E-03
4.08249479E-02  1.22639149E-01  1.48918689E-03
4.10716243E-02  1.18812904E-01  1.43838150E-03
4.13183007E-02  1.18789546E-01  1.48422760E-03
4.15649772E-02  1.23041078E-01  1.47855247E-03
4.18116536E-02  1.23332635E-01  1.48974126E-03
4.20583300E-02  1.20474085E-01  1.48492982E-03
4.23050064E-02  1.27894700E-01  1.51946640E-03
4.25516829E-02  1.31619200E-01  1.56308012E-03
4.27983593E-02  1.33005023E-01  1.54621329E-03
4.30450357E-02  1.31578222E-01  1.47812709E-03
4.32917121E-02  1.32814825E-01  1.49928418E-03
4.35383885E-02  1.31368399E-01  1.48336857E-03
4.37850650E-02  1.43629968E-01  1.56642031E-03
4.40317414E-02  1.40445217E-01  1.60799886E-03
4.42784178E-02  1.45238012E-01  1.56449981E-03
4.45250942E-02  1.50002807E-01  1.59530120E-03
4.47717707E-02  1.41894057E-01  1.60277856E-03
4.50184471E-02  1.55147478E-01  1.52671803E-03
4.52651235E-02  1.59129739E-01  1.58219296E-03
4.55117999E-02  1.53828010E-01  1.66738406E-03
4.57584764E-02  1.72057897E-01  1.68666674E-03
4.60051528E-02  1.68919504E-01  1.68734929E-03
4.62518292E-02  1.72058254E-01  1.76344463E-03
4.64985056E-02  1.83764145E-01  1.85574230E-03
4.67451820E-02  1.78591698E-01  1.79234252E-03
4.69918585E-02  1.79551557E-01  1.91418489E-03
4.72385349E-02  1.88006476E-01  1.86885975E-03
4.74852113E-02  1.92266107E-01  2.02956679E-03
4.77318877E-02  1.95803910E-01  1.92948838E-03
4.79785642E-02  2.14000419E-01  2.08854489E-03
4.82252406E-02  2.08582535E-01  2.10123905E-03
4.84719170E-02  2.32392356E-01  2.21209694E-03
4.87185934E-02  2.35705882E-01  2.37071514E-03
4.89652698E-02  2.44560152E-01  2.40219710E-03
4.92119463E-02  2.52449721E-01  2.49586417E-03
4.94586227E-02  2.54068255E-01  2.56187166E-03
4.97052991E-02  2.86995381E-01  2.71893968E-03
4.99519755E-02  3.00382435E-01  3.11312987E-03
5.01986520E-02  3.04608792E-01  3.09967645E-03
5.04453284E-02  3.41323704E-01  3.41054820E-03
5.06920048E-02  3.45162451E-01  3.47294658E-03
5.09386812E-02  3.60177785E-01  3.51202814E-03
5.11853576E-02  3.82889986E-01  3.98535049E-03
5.14320341E-02  3.98198426E-01  4.06313268E-03
5.16787105E-02  4.21467841E-01  4.51900112E-03
5.19253869E-02  4.59739000E-01  4.74976702E-03
5.21720633E-02  4.82152611E-01  5.07679116E-03
5.24187398E-02  5.02138019E-01  5.29797748E-03
5.26654162E-02  5.41704953E-01  5.51173929E-03
5.29120926E-02  5.76675534E-01  6.13910891E-03
5.31587690E-02  6.10010564E-01  6.31371420E-03
5.34054454E-02  6.37000918E-01  6.35084044E-03
5.36521219E-02  6.51511848E-01  6.47900533E-03
5.38987983E-02  6.86332345E-01  6.63539488E-03
5.41454747E-02  7.46698678E-01  7.29365367E-03
5.43921511E-02  7.85029948E-01  7.18755741E-03
5.46388276E-02  8.33091617E-01  7.53133558E-03
5.48855040E-02  8.59536350E-01  7.45330332E-03
5.51321804E-02  8.83525848E-01  7.41767976E-03
5.53788568E-02  9.35233235E-01  7.71398610E-03
5.56255332E-02  9.67235684E-01  7.49037229E-03
5.58722097E-02  1.01421642E+00  7.31748203E-03
5.61188861E-02  1.02704942E+00  7.30070611E-03
5.63655625E-02  1.09092963E+00  7.44722690E-03
5.66122389E-02  1.09395814E+00  7.17999507E-03
5.68589154E-02  1.12557709E+00  6.97710225E-03
5.71055918E-02  1.15501046E+00  6.97324891E-03
5.73522682E-02  1.18585193E+00  6.86552934E-03
5.75989446E-02  1.21682441E+00  6.76182890E-03
5.78456210E-02  1.22323287E+00  6.24930998E-03
5.80922975E-02  1.23008466E+00  6.27345312E-03
5.83389739E-02  1.28466129E+00  6.25853008E-03
5.85856503E-02  1.26898444E+00  6.00832282E-03
5.88323267E-02  1.30074298E+00  6.35834550E-03
5.90790032E-02  1.32422006E+00  5.97227737E-03
5.93256796E-02  1.34544885E+00  6.33314252E-03
5.95723560E-02  1.34239089E+00  6.49077026E-03
5.98190324E-02  1.36553216E+00  6.76573534E-03
6.00657088E-02  1.34952128E+00  7.25134322E-03
6.03123853E-02  1.39789391E+00  7.49786850E-03
6.05590617E-02  1.37015390E+00  7.62812281E-03
6.08057381E-02  1.36471760E+00  7.79398624E-03
6.10524145E-02  1.38633811E+00  8.12417921E-03
6.12990910E-02  1.36013865E+00  8.70040804E-03
6.15457674E-02  1.37548745E+00  8.94577149E-03
6.17924438E-02  1.33128059E+00  9.24748834E-03
6.20391202E-02  1.29794502E+00  9.18079074E-03
6.22857966E-02  1.30426741E+00  9.47562791E-03
6.25324731E-02  1.28507662E+00  9.87556484E-03
6.27791495E-02  1.23393130E+00  9.65716690E-03
6.30258259E-02  1.17904067E+00  9.94189922E-03
6.32725023E-02  1.12476945E+00  9.37753357E-03
6.35191788E-02  1.08242047E+00  9.40899644E-03
6.37658552E-02  9.98169303E-01  9.03079752E-03
6.40125316E-02  9.56272244E-01  8.60594399E-03
6.42592080E-02  8.73582125E-01  8.12920090E-03
6.45058845E-02  8.20271313E-01  7.62939872E-03
6.47525609E-02  7.48238444E-01  7.11219525E-03
6.49992373E-02  6.72384024E-01  6.34584390E-03
6.52459137E-02  6.20497167E-01  5.59682446E-03
6.54925901E-02  5.72063684E-01  5.05184382E-03
6.57392666E-02  5.08962989E-01  4.45055123E-03
6.59859430E-02  4.72742081E-01  4.16339329E-03
6.62326194E-02  4.27741200E-01  3.65371513E-03
6.64792958E-02  3.90297443E-01  3.13933054E-03
6.67259723E-02  3.56808782E-01  2.90821423E-03
6.69726487E-02  3.33952069E-01  2.63913185E-03
6.72193251E-02  3.07977259E-01  2.53051892E-03
6.74660015E-02  2.99821258E-01  2.29244982E-03
6.77126779E-02  2.71195054E-01  2.15279544E-03
6.79593544E-02  2.62988746E-01  2.00415775E-03
6.82060308E-02  2.40321115E-01  1.86339091E-03
6.84527072E-02  2.39046276E-01  1.91577373E-03
6.86993836E-02  2.29765266E-01  1.71976769E-03
6.89460601E-02  2.19176725E-01  1.64502789E-03
6.91927365E-02  2.15623021E-01  1.73455221E-03
6.94394129E-02  2.13053897E-01  1.60258950E-03
6.96860893E-02  2.00403109E-01  1.56928564E-03
6.99327657E-02  1.96412131E-01  1.55353884E-03
7.01794422E-02  1.95511714E-01  1.51190092E-03
7.04261186E-02  1.95477605E-01  1.52419845E-03
7.06727950E-02  1.96512789E-01  1.46307005E-03
7.09194714E-02  1.79594025E-01  1.48370629E-03
7.11661479E-02  1.72643498E-01  1.46714319E-03
7.14128243E-02  1.72409251E-01  1.45274738E-03
7.16595007E-02  1.75323069E-01  1.42518186E-03
7.19061771E-02  1.75658822E-01  1.36118231E-03
7.21528535E-02  1.72367901E-01  1.42991706E-03
7.23995300E-02  1.68119311E-01  1.34777429E-03
7.26462064E-02  1.71658084E-01  1.38366723E-03
7.28928828E-02  1.67330161E-01  1.33108406E-03
7.31395592E-02  1.65237397E-01  1.34020043E-03
7.33862357E-02  1.60179600E-01  1.31763215E-03
7.36329121E-02  1.60510525E-01  1.34675554E-03
7.38795885E-02  1.65450662E-01  1.32660428E-03
7.41262649E-02  1.65893838E-01  1.35279645E-03
7.43729413E-02  1.61830515E-01  1.33700285E-03
7.46196178E-02  1.57245845E-01  1.28383248E-03
7.48662942E-02  1.54126704E-01  1.26225525E-03
7.51129706E-02  1.71489239E-01  1.38234347E-03
7.53596470E-02  1.53557464E-01  1.29043858E-03
7.56063235E-02  1.59511596E-01  1.30455836E-03
7.58529999E-02  1.56159818E-01  1.27250329E-03
7.60996763E-02  1.57122687E-01  1.27497478E-03
7.63463527E-02  1.61129326E-01  1.32817810E-03
7.65930291E-02  1.51092604E-01  1.24058244E-03
7.68397056E-02  1.61145762E-01  1.30303053E-03
7.70863820E-02  1.58092543E-01  1.24635454E-03
7.73330584E-02  1.55284569E-01  1.29284372E-03
7.75797348E-02  1.54727057E-01  1.28209824E-03
7.78264113E-02  1.59194276E-01  1.34344224E-03
7.80730877E-02  1.45011768E-01  1.23989931E-03
7.83197641E-02  1.49542660E-01  1.25773577E-03
