### DATA:
#
# 1802
#      Q             I(Q)           Error     
1.16130467E-02  1.28230381E+01  1.81959555E-01
1.19070479E-02  1.13904724E+01  2.06056565E-01
1.22010491E-02  1.05401525E+01  1.88455805E-01
1.24950503E-02  1.03203640E+01  1.58686608E-01
1.27890515E-02  8.83715916E+00  1.45152420E-01
1.30830527E-02  8.54720974E+00  1.33134499E-01
1.33770538E-02  7.65248394E+00  1.20541573E-01
1.36710550E-02  7.37685394E+00  1.16824381E-01
1.39650562E-02  6.77341223E+00  9.76883024E-02
1.42590574E-02  6.37649632E+00  8.05132911E-02
1.45530586E-02  6.18798494E+00  9.10456702E-02
1.48470598E-02  5.55439377E+00  6.94693401E-02
1.51410609E-02  5.17722845E+00  6.43369704E-02
1.54350621E-02  5.04547787E+00  7.37142861E-02
1.57290633E-02  4.88210392E+00  6.57843947E-02
1.60230645E-02  4.46325922E+00  6.84860945E-02
1.63170657E-02  4.29050255E+00  5.28381355E-02
1.66110669E-02  4.13961077E+00  5.16128317E-02
1.69050680E-02  3.92114234E+00  4.63550501E-02
1.71990692E-02  3.74702382E+00  4.47715595E-02
1.74930704E-02  3.55674100E+00  4.15107608E-02
1.77870716E-02  3.34526515E+00  4.24056202E-02
1.80810728E-02  3.24431729E+00  3.97998206E-02
1.83750740E-02  3.11782742E+00  3.56480889E-02
1.86690751E-02  2.86813378E+00  3.46063897E-02
1.89630763E-02  2.71540499E+00  2.99084689E-02
1.92570775E-02  2.50062990E+00  2.86300536E-02
1.95510787E-02  2.40792060E+00  2.83029601E-02
1.98450799E-02  2.32953858E+00  2.71138065E-02
2.01390811E-02  2.22865033E+00  2.26169117E-02
2.04330822E-02  2.09963942E+00  2.26811264E-02
2.07270834E-02  2.06180215E+00  2.13752184E-02
2.10210846E-02  1.96493268E+00  2.24811342E-02
2.13150858E-02  1.92142630E+00  2.11161170E-02
2.16090870E-02  1.90070152E+00  2.01581884E-02
2.19030882E-02  1.82484519E+00  2.00153571E-02
2.21970893E-02  1.85295236E+00  1.96271352E-02
2.24910905E-02  1.71039450E+00  1.87187623E-02
2.27850917E-02  1.71780455E+00  1.78979840E-02
2.30790929E-02  1.62091422E+00  1.67810116E-02
2.33730941E-02  1.61406732E+00  1.71361510E-02
2.36670953E-02  1.55223095E+00  1.67239793E-02
2.39610964E-02  1.53357649E+00  1.52552426E-02
2.42550976E-02  1.50563407E+00  1.59667078E-02
2.45490988E-02  1.50787699E+00  1.53887663E-02
2.48431000E-02  1.46224928E+00  1.40731661E-02
2.51371012E-02  1.40325928E+00  1.37043605E-02
2.54311024E-02  1.36752212E+00  1.27647808E-02
2.57251035E-02  1.30461109E+00  1.37996934E-02
2.60191047E-02  1.34493029E+00  1.41089177E-02
2.63131059E-02  1.30525470E+00  1.33061511E-02
2.66071071E-02  1.28232598E+00  1.28920376E-02
2.69011083E-02  1.27353561E+00  1.20190503E-02
2.71951094E-02  1.28436685E+00  1.30283916E-02
2.74891106E-02  1.21802032E+00  1.18857482E-02
2.77831118E-02  1.16577709E+00  1.17902048E-02
2.80771130E-02  1.20561099E+00  1.24858376E-02
2.83711142E-02  1.19471014E+00  1.14750965E-02
2.86651154E-02  1.17872286E+00  1.23520046E-02
2.89591165E-02  1.16558480E+00  1.22426506E-02
2.92531177E-02  1.16691244E+00  1.06142554E-02
2.95471189E-02  1.10925841E+00  1.15602957E-02
2.98411201E-02  1.12583697E+00  1.16540976E-02
3.01351213E-02  1.08169353E+00  1.11001572E-02
3.04291225E-02  1.11854708E+00  1.18116420E-02
3.07231236E-02  1.08200884E+00  1.08941235E-02
3.10171248E-02  1.10364962E+00  1.26553737E-02
3.13111260E-02  1.06990945E+00  1.03400471E-02
3.16051272E-02  1.04606426E+00  1.01016862E-02
3.18991284E-02  1.04522288E+00  9.89786163E-03
3.21931296E-02  1.04250944E+00  9.80415195E-03
3.24871307E-02  9.94470775E-01  1.03172893E-02
3.27811319E-02  1.01168227E+00  9.26537067E-03
3.30751331E-02  1.01348627E+00  9.95447766E-03
3.33691343E-02  1.04119301E+00  9.57352109E-03
3.36631355E-02  9.71294582E-01  9.04986728E-03
3.39571367E-02  9.79867578E-01  9.26312245E-03
3.42511378E-02  9.51489925E-01  8.62853322E-03
3.45451390E-02  1.00157392E+00  9.21814423E-03
3.48391402E-02  9.82211351E-01  8.85352120E-03
3.51331414E-02  9.79022205E-01  8.75421986E-03
3.54271426E-02  9.50722575E-01  9.07739531E-03
3.57211438E-02  9.60593104E-01  8.55471846E-03
3.60151449E-02  9.88746047E-01  8.17147642E-03
3.63091461E-02  9.83858645E-01  8.55093542E-03
3.66031473E-02  9.56581056E-01  8.03966168E-03
3.68971485E-02  9.62414086E-01  8.10925476E-03
3.71911497E-02  9.62918699E-01  7.45711150E-03
3.74851509E-02  9.43385720E-01  7.79839745E-03
3.77791520E-02  9.48800385E-01  7.58890342E-03
3.80731532E-02  9.54334795E-01  7.21914973E-03
3.83671544E-02  9.83789086E-01  7.52731925E-03
3.86611556E-02  9.39477503E-01  7.50854192E-03
3.89551568E-02  9.66551900E-01  7.61781633E-03
3.92491580E-02  9.74085867E-01  7.45314453E-03
3.95431591E-02  9.65391695E-01  7.60062551E-03
3.98371603E-02  9.64536607E-01  7.57435430E-03
4.01311615E-02  9.46048737E-01  6.95242081E-03
4.04251627E-02  9.80514169E-01  7.61441234E-03
4.07191639E-02  1.00154734E+00  7.42387399E-03
4.10131651E-02  9.85647142E-01  7.52323680E-03
4.13071662E-02  9.84439313E-01  7.50316167E-03
4.16011674E-02  9.65868652E-01  7.11921975E-03
4.18951686E-02  1.00135612E+00  7.36113451E-03
4.21891698E-02  9.81142759E-01  6.92322897E-03
4.24831710E-02  9.86156523E-01  7.46696303E-03
4.27771722E-02  1.00432479E+00  7.10633025E-03
