### DATA:
#
# 1786
#      Q             I(Q)           Error     
1.06204562E-02  3.93903542E+00  6.41794577E-02
1.09114276E-02  3.56611252E+00  6.68965578E-02
1.12023990E-02  3.27882433E+00  6.06635846E-02
1.14933704E-02  2.92420053E+00  4.86607961E-02
1.17843418E-02  2.79451513E+00  5.93857169E-02
1.20753132E-02  2.53434277E+00  3.89588363E-02
1.23662846E-02  2.30861139E+00  3.45999226E-02
1.26572560E-02  2.05908823E+00  3.76572236E-02
1.29482274E-02  1.98484612E+00  3.21504660E-02
1.32391988E-02  1.78457773E+00  3.33434157E-02
1.35301702E-02  1.66957629E+00  2.65897997E-02
1.38211416E-02  1.59445345E+00  3.12980115E-02
1.41121131E-02  1.46277022E+00  2.19020285E-02
1.44030845E-02  1.39575255E+00  2.57801041E-02
1.46940559E-02  1.28461099E+00  2.33832914E-02
1.49850273E-02  1.18923295E+00  2.27683503E-02
1.52759987E-02  1.17594278E+00  2.43084393E-02
1.55669701E-02  1.11897016E+00  2.04824582E-02
1.58579415E-02  1.05109978E+00  1.85057037E-02
1.61489129E-02  9.74493146E-01  1.71920564E-02
1.64398843E-02  9.24392581E-01  1.35089522E-02
1.67308557E-02  9.04171526E-01  1.71381328E-02
1.70218271E-02  8.26977432E-01  1.44556742E-02
1.73127985E-02  8.43223274E-01  1.31337661E-02
1.76037699E-02  7.92994499E-01  1.50365261E-02
1.78947413E-02  7.54360974E-01  1.28452154E-02
1.81857127E-02  7.15580046E-01  1.39273424E-02
1.84766841E-02  7.02906549E-01  1.17987152E-02
1.87676555E-02  6.54882312E-01  1.24069462E-02
1.90586269E-02  6.39330328E-01  1.25496062E-02
1.93495983E-02  6.33872688E-01  1.09550003E-02
1.96405697E-02  6.09219193E-01  1.17737781E-02
1.99315411E-02  5.69130242E-01  1.14618866E-02
2.02225125E-02  5.56768417E-01  9.72879399E-03
2.05134839E-02  5.44264257E-01  1.06596043E-02
2.08044553E-02  5.30601799E-01  9.57528688E-03
2.10954267E-02  5.09562910E-01  9.75432340E-03
2.13863981E-02  5.13772368E-01  1.09410910E-02
2.16773695E-02  5.00315011E-01  9.19490214E-03
2.19683409E-02  4.53106225E-01  8.09545629E-03
2.22593123E-02  4.64658111E-01  8.02347343E-03
2.25502837E-02  4.46108043E-01  8.00788216E-03
2.28412551E-02  4.47635472E-01  7.13348389E-03
2.31322265E-02  4.21231300E-01  7.21935462E-03
2.34231979E-02  4.10864413E-01  6.98549533E-03
2.37141694E-02  3.95335406E-01  7.25067174E-03
2.40051408E-02  3.88142496E-01  6.32085884E-03
2.42961122E-02  3.79824996E-01  5.78837143E-03
2.45870836E-02  3.86216223E-01  7.12451711E-03
2.48780550E-02  3.78761262E-01  5.84751414E-03
2.51690264E-02  3.63926560E-01  5.75568015E-03
2.54599978E-02  3.68769258E-01  6.32350333E-03
2.57509692E-02  3.57411176E-01  6.23342395E-03
2.60419406E-02  3.54116738E-01  5.94082475E-03
2.63329120E-02  3.52719426E-01  5.33476891E-03
2.66238834E-02  3.41751903E-01  5.55490563E-03
2.69148548E-02  3.37865263E-01  5.35090500E-03
2.72058262E-02  3.34043175E-01  5.26960893E-03
2.74967976E-02  3.28269303E-01  6.00843690E-03
2.77877690E-02  3.28521550E-01  5.46221063E-03
2.80787404E-02  3.31892371E-01  5.57041541E-03
2.83697118E-02  3.18494350E-01  5.11413207E-03
2.86606832E-02  3.18160862E-01  5.04444912E-03
2.89516546E-02  3.24646175E-01  5.23361424E-03
2.92426260E-02  3.07268620E-01  4.95227380E-03
2.95335974E-02  3.07307303E-01  5.21777011E-03
2.98245688E-02  3.10605198E-01  4.89627337E-03
