### DATA:
#
# 1786
#      Q             I(Q)           Error     
1.06204562E-02  3.71194816E+00  7.29206800E-02
1.09114276E-02  3.32067657E+00  6.04576170E-02
1.12023990E-02  3.07180738E+00  5.70987612E-02
1.14933704E-02  2.82945752E+00  4.77224626E-02
1.17843418E-02  2.72376752E+00  4.41822819E-02
1.20753132E-02  2.52943897E+00  4.02596816E-02
1.23662846E-02  2.36395431E+00  4.59272340E-02
1.26572560E-02  2.14064074E+00  3.78679745E-02
1.29482274E-02  2.10575938E+00  3.79363410E-02
1.32391988E-02  1.94724107E+00  4.13918756E-02
1.35301702E-02  1.88949311E+00  3.26052792E-02
1.38211416E-02  1.74531531E+00  3.30439657E-02
1.41121131E-02  1.70523655E+00  2.97236517E-02
1.44030845E-02  1.61851120E+00  2.77830996E-02
1.46940559E-02  1.55092418E+00  3.19099538E-02
1.49850273E-02  1.49237263E+00  2.12817490E-02
1.52759987E-02  1.43988693E+00  2.16809846E-02
1.55669701E-02  1.39305925E+00  2.31138282E-02
1.58579415E-02  1.34851146E+00  2.26621162E-02
1.61489129E-02  1.28209651E+00  2.13131662E-02
1.64398843E-02  1.27441657E+00  2.24487465E-02
1.67308557E-02  1.21533382E+00  2.05942038E-02
1.70218271E-02  1.22388244E+00  2.08703000E-02
1.73127985E-02  1.16209233E+00  1.94698684E-02
1.76037699E-02  1.14492810E+00  1.90800540E-02
1.78947413E-02  1.11665583E+00  1.68266185E-02
1.81857127E-02  1.09787548E+00  1.90991629E-02
1.84766841E-02  1.09734821E+00  1.80188939E-02
1.87676555E-02  1.02801418E+00  1.66898333E-02
1.90586269E-02  1.01323354E+00  1.82971284E-02
1.93495983E-02  9.72096205E-01  1.40477838E-02
1.96405697E-02  9.72034276E-01  1.76556204E-02
1.99315411E-02  9.77830768E-01  1.61818657E-02
2.02225125E-02  9.71150756E-01  1.58374794E-02
2.05134839E-02  9.64732468E-01  1.52995065E-02
2.08044553E-02  8.86601806E-01  1.62016395E-02
