### DATA:
#
# 1802
#      Q             I(Q)           Error     
1.16130467E-02  5.19140482E+00  5.00754938E-02
1.19070479E-02  4.79657078E+00  6.16864972E-02
1.22010491E-02  4.33458805E+00  5.42027429E-02
1.24950503E-02  3.89427757E+00  4.23630774E-02
1.27890515E-02  3.59743023E+00  4.25761342E-02
1.30830527E-02  3.26934743E+00  3.78189199E-02
1.33770538E-02  3.10239124E+00  3.52211967E-02
1.36710550E-02  2.82696056E+00  3.17918509E-02
1.39650562E-02  2.55016828E+00  2.90786456E-02
1.42590574E-02  2.40358782E+00  2.57524773E-02
1.45530586E-02  2.20302773E+00  2.49172840E-02
1.48470598E-02  2.08839250E+00  2.33932603E-02
1.51410609E-02  1.99396074E+00  2.06773635E-02
1.54350621E-02  1.82958567E+00  1.84319131E-02
1.57290633E-02  1.59637058E+00  1.51314251E-02
1.60230645E-02  1.48195851E+00  1.61394496E-02
1.63170657E-02  1.46186614E+00  1.43839056E-02
1.66110669E-02  1.39440501E+00  1.30566144E-02
1.69050680E-02  1.26905572E+00  1.13709550E-02
1.71990692E-02  1.26652741E+00  1.12563577E-02
1.74930704E-02  1.14529622E+00  1.03381826E-02
1.77870716E-02  1.09435189E+00  9.87550244E-03
1.80810728E-02  1.02902925E+00  9.94280446E-03
1.83750740E-02  9.77620721E-01  8.77780933E-03
1.86690751E-02  9.67427373E-01  8.20572767E-03
1.89630763E-02  8.87064993E-01  7.44326878E-03
1.92570775E-02  8.29137862E-01  6.74517313E-03
1.95510787E-02  7.60848463E-01  6.49394840E-03
1.98450799E-02  7.45189905E-01  6.08982192E-03
2.01390811E-02  6.89485133E-01  5.87881729E-03
2.04330822E-02  6.75749719E-01  5.47347218E-03
2.07270834E-02  6.70295358E-01  5.32417977E-03
2.10210846E-02  6.45272017E-01  5.14310645E-03
2.13150858E-02  6.09074891E-01  4.25688876E-03
2.16090870E-02  5.93427539E-01  4.86518955E-03
2.19030882E-02  5.75238824E-01  4.24854504E-03
2.21970893E-02  5.56498647E-01  4.59441543E-03
2.24910905E-02  5.38632870E-01  4.59887786E-03
2.27850917E-02  5.36409736E-01  3.91306914E-03
2.30790929E-02  5.35827458E-01  3.90596711E-03
2.33730941E-02  4.98183399E-01  3.66406399E-03
2.36670953E-02  5.07644773E-01  3.77388531E-03
2.39610964E-02  5.02142906E-01  3.29347653E-03
2.42550976E-02  4.76686418E-01  3.38750146E-03
2.45490988E-02  4.78787839E-01  3.32487514E-03
2.48431000E-02  4.44878727E-01  3.23319132E-03
2.51371012E-02  4.45433676E-01  3.30528221E-03
2.54311024E-02  4.63026524E-01  3.50676663E-03
2.57251035E-02  4.28430229E-01  3.02659813E-03
2.60191047E-02  4.40686464E-01  3.32494150E-03
2.63131059E-02  4.46784735E-01  3.12368153E-03
2.66071071E-02  4.04049963E-01  2.93684797E-03
2.69011083E-02  4.17922288E-01  2.88597867E-03
2.71951094E-02  4.19104248E-01  3.07367742E-03
2.74891106E-02  4.11125004E-01  2.95618060E-03
2.77831118E-02  3.89628977E-01  2.78431037E-03
2.80771130E-02  4.06655669E-01  3.05451429E-03
2.83711142E-02  3.80983889E-01  2.80627632E-03
2.86651154E-02  3.86336803E-01  2.86825025E-03
2.89591165E-02  3.99053842E-01  2.67888559E-03
2.92531177E-02  3.98640931E-01  2.69873161E-03
2.95471189E-02  3.90097290E-01  2.93914671E-03
2.98411201E-02  3.71263921E-01  2.61314982E-03
3.01351213E-02  3.76769841E-01  2.62142951E-03
3.04291225E-02  3.60131800E-01  2.57184659E-03
3.07231236E-02  3.69014174E-01  2.64641945E-03
3.10171248E-02  3.63732904E-01  2.53714691E-03
3.13111260E-02  3.57505232E-01  2.41055829E-03
3.16051272E-02  3.57512146E-01  2.48307944E-03
3.18991284E-02  3.56282353E-01  2.52239523E-03
3.21931296E-02  3.42755169E-01  2.17863312E-03
3.24871307E-02  3.49826425E-01  2.57477583E-03
3.27811319E-02  3.43601286E-01  2.19365279E-03
3.30751331E-02  3.41830790E-01  2.48435955E-03
3.33691343E-02  3.36889744E-01  2.37525301E-03
3.36631355E-02  3.46381009E-01  2.38497159E-03
3.39571367E-02  3.29214811E-01  2.36085546E-03
3.42511378E-02  3.31851125E-01  2.12777336E-03
3.45451390E-02  3.39818418E-01  2.34224717E-03
3.48391402E-02  3.42887372E-01  2.13106512E-03
3.51331414E-02  3.14548075E-01  2.09155702E-03
3.54271426E-02  3.30785185E-01  2.01051123E-03
3.57211438E-02  3.24028879E-01  1.95098552E-03
3.60151449E-02  3.26840609E-01  2.00608419E-03
3.63091461E-02  3.17535728E-01  1.86735834E-03
3.66031473E-02  3.21731776E-01  1.92257552E-03
3.68971485E-02  3.23113710E-01  1.85454160E-03
3.71911497E-02  3.19639653E-01  1.80533773E-03
3.74851509E-02  3.34087759E-01  1.86688744E-03
3.77791520E-02  3.25084180E-01  1.80081744E-03
3.80731532E-02  3.27246755E-01  1.88389886E-03
3.83671544E-02  3.25015306E-01  1.80522166E-03
3.86611556E-02  3.18457901E-01  1.71856664E-03
3.89551568E-02  3.29646319E-01  1.92929467E-03
3.92491580E-02  3.14395308E-01  1.70558703E-03
3.95431591E-02  3.14944267E-01  1.71510573E-03
3.98371603E-02  3.24201792E-01  1.72804960E-03
4.01311615E-02  3.20252985E-01  1.79087021E-03
4.04251627E-02  3.18154931E-01  1.75841630E-03
4.07191639E-02  3.07604402E-01  1.71782228E-03
4.10131651E-02  3.27946097E-01  1.74500118E-03
4.13071662E-02  3.07632536E-01  1.64774491E-03
4.16011674E-02  3.11156452E-01  1.71031291E-03
4.18951686E-02  3.14180136E-01  1.63320778E-03
4.21891698E-02  3.28076869E-01  1.72232348E-03
4.24831710E-02  3.11449021E-01  1.57509174E-03
4.27771722E-02  3.16879719E-01  1.64010958E-03
4.30711733E-02  3.17416757E-01  1.66790199E-03
4.33651745E-02  3.09709221E-01  1.62894244E-03
4.36591757E-02  3.08933198E-01  1.72117050E-03
4.39531769E-02  3.14180911E-01  1.59644149E-03
4.42471781E-02  3.09154481E-01  1.62126007E-03
4.45411793E-02  3.20235461E-01  1.62876816E-03
4.48351804E-02  3.18195254E-01  1.68201549E-03
4.51291816E-02  3.15399736E-01  1.60226575E-03
4.54231828E-02  3.19888622E-01  1.66236365E-03
4.57171840E-02  3.11378330E-01  1.55675644E-03
4.60111852E-02  3.18398267E-01  1.62211049E-03
4.63051864E-02  3.11175883E-01  1.55835261E-03
4.65991875E-02  3.19702715E-01  1.60789024E-03
4.68931887E-02  3.17834467E-01  1.58270018E-03
4.71871899E-02  3.20417076E-01  1.61007058E-03
4.74811911E-02  3.33013296E-01  1.62940263E-03
4.77751923E-02  3.19656134E-01  1.45981426E-03
4.80691935E-02  3.11055928E-01  1.54943811E-03
4.83631946E-02  3.37670743E-01  1.61195896E-03
4.86571958E-02  3.24177116E-01  1.52190763E-03
4.89511970E-02  3.20172012E-01  1.50809763E-03
4.92451982E-02  3.30152184E-01  1.64704944E-03
4.95391994E-02  3.29233378E-01  1.54861982E-03
4.98332006E-02  3.30632776E-01  1.54966419E-03
5.01272017E-02  3.22029173E-01  1.50157895E-03
5.04212029E-02  3.21121067E-01  1.55241275E-03
5.07152041E-02  3.30392003E-01  1.53924071E-03
5.10092053E-02  3.31786960E-01  1.63944054E-03
5.13032065E-02  3.31703961E-01  1.60477404E-03
5.15972077E-02  3.34300369E-01  1.63502665E-03
5.18912088E-02  3.46188098E-01  1.61050854E-03
5.21852100E-02  3.46987039E-01  1.54281058E-03
5.24792112E-02  3.30224305E-01  1.59446103E-03
5.27732124E-02  3.49811792E-01  1.62631355E-03
5.30672136E-02  3.42755616E-01  1.58180052E-03
5.33612148E-02  3.55606586E-01  1.56728807E-03
5.36552159E-02  3.52031678E-01  1.60140777E-03
5.39492171E-02  3.38397533E-01  1.56531448E-03
5.42432183E-02  3.43815655E-01  1.53952965E-03
5.45372195E-02  3.46479446E-01  1.56442786E-03
5.48312207E-02  3.48682612E-01  1.59552181E-03
5.51252219E-02  3.61436099E-01  1.62296207E-03
5.54192230E-02  3.59192103E-01  1.57301326E-03
5.57132242E-02  3.64411741E-01  1.65460538E-03
5.60072254E-02  3.68819326E-01  1.61302218E-03
5.63012266E-02  3.71166199E-01  1.66761363E-03
5.65952278E-02  3.63043040E-01  1.67497632E-03
5.68892290E-02  3.65848392E-01  1.58975623E-03
5.71832301E-02  3.73150468E-01  1.53324194E-03
5.74772313E-02  3.83352190E-01  1.68172875E-03
5.77712325E-02  3.72692138E-01  1.62921066E-03
5.80652337E-02  3.79204780E-01  1.56397093E-03
5.83592349E-02  3.77938151E-01  1.69240648E-03
5.86532361E-02  3.96121442E-01  1.67523895E-03
5.89472372E-02  3.97748858E-01  1.67204638E-03
5.92412384E-02  4.00507748E-01  1.66308030E-03
5.95352396E-02  4.00709987E-01  1.58388820E-03
5.98292408E-02  3.98404360E-01  1.68311480E-03
6.01232420E-02  4.20203239E-01  1.67283893E-03
6.04172432E-02  4.20529217E-01  1.76837679E-03
6.07112443E-02  4.13559467E-01  1.59368315E-03
6.10052455E-02  4.29587752E-01  1.80178171E-03
6.12992467E-02  4.31329042E-01  1.75043521E-03
6.15932479E-02  4.39850926E-01  1.70184323E-03
6.18872491E-02  4.39219475E-01  1.59403367E-03
6.21812503E-02  4.51323688E-01  1.78764283E-03
6.24752514E-02  4.48954046E-01  1.74419768E-03
6.27692526E-02  4.65486526E-01  1.78539800E-03
6.30632538E-02  4.45201606E-01  1.78922678E-03
6.33572550E-02  4.62344617E-01  1.74292875E-03
6.36512562E-02  4.76736367E-01  1.80936337E-03
6.39452574E-02  4.93579954E-01  1.89662899E-03
6.42392585E-02  4.83957291E-01  1.83035689E-03
6.45332597E-02  5.02171695E-01  1.98433315E-03
6.48272609E-02  5.06917357E-01  1.87795877E-03
6.51212621E-02  5.09112716E-01  1.86973612E-03
6.54152633E-02  5.18670738E-01  2.02308502E-03
6.57092645E-02  5.40749907E-01  1.95379229E-03
6.60032656E-02  5.41919649E-01  2.10065208E-03
6.62972668E-02  5.59591591E-01  2.10247166E-03
6.65912680E-02  5.67260683E-01  2.10770895E-03
6.68852692E-02  5.72569013E-01  2.32396089E-03
6.71792704E-02  5.97622454E-01  2.18906463E-03
6.74732716E-02  6.01536155E-01  2.32718140E-03
6.77672727E-02  6.18209422E-01  2.34657968E-03
6.80612739E-02  6.44730508E-01  2.41720444E-03
6.83552751E-02  6.55117333E-01  2.55189347E-03
6.86492763E-02  6.75907373E-01  2.66370922E-03
6.89432775E-02  6.96013033E-01  2.65906239E-03
6.92372787E-02  7.32722640E-01  2.86799716E-03
6.95312798E-02  7.56947756E-01  3.02784657E-03
6.98252810E-02  8.07327688E-01  3.23993037E-03
7.01192822E-02  8.21514010E-01  3.47184925E-03
7.04132834E-02  8.57886553E-01  3.82078951E-03
7.07072846E-02  9.02036011E-01  4.14863974E-03
7.10012858E-02  9.48689163E-01  4.57051676E-03
7.12952869E-02  1.01134479E+00  4.99234395E-03
7.15892881E-02  1.04915655E+00  5.33955311E-03
7.18832893E-02  1.13157701E+00  6.08248543E-03
7.21772905E-02  1.16967130E+00  6.23807078E-03
7.24712917E-02  1.27705920E+00  7.05636432E-03
7.27652929E-02  1.34927857E+00  7.74992863E-03
7.30592940E-02  1.44211078E+00  8.20402335E-03
7.33532952E-02  1.52018869E+00  8.90271552E-03
7.36472964E-02  1.61051571E+00  9.38468799E-03
7.39412976E-02  1.69804049E+00  1.02984216E-02
7.42352988E-02  1.83461273E+00  1.11033544E-02
7.45293000E-02  1.92700493E+00  1.10736284E-02
7.48233011E-02  2.04660153E+00  1.16844745E-02
7.51173023E-02  2.17570925E+00  1.22849671E-02
7.54113035E-02  2.35221171E+00  1.29565941E-02
7.57053047E-02  2.43077230E+00  1.33402105E-02
7.59993059E-02  2.54521179E+00  1.33355241E-02
7.62933071E-02  2.72644877E+00  1.37000568E-02
7.65873082E-02  2.85329175E+00  1.36697348E-02
7.68813094E-02  3.01148725E+00  1.35906879E-02
7.71753106E-02  3.19808269E+00  1.37420446E-02
7.74693118E-02  3.34421921E+00  1.36673590E-02
7.77633130E-02  3.47817922E+00  1.34295570E-02
7.80573141E-02  3.65596819E+00  1.30755268E-02
7.83513153E-02  3.80293250E+00  1.28144324E-02
7.86453165E-02  3.99051857E+00  1.23413084E-02
7.89393177E-02  4.16006899E+00  1.20177642E-02
7.92333189E-02  4.32783318E+00  1.15938103E-02
7.95273201E-02  4.42495203E+00  1.06532015E-02
7.98213212E-02  4.56936502E+00  1.02250297E-02
8.01153224E-02  4.65767288E+00  9.46141034E-03
8.04093236E-02  4.78189802E+00  9.05608386E-03
8.07033248E-02  4.85420084E+00  8.54277611E-03
8.09973260E-02  4.94455719E+00  7.94012845E-03
8.12913272E-02  5.03623247E+00  7.44939549E-03
8.15853283E-02  5.08199358E+00  7.47267017E-03
8.18793295E-02  5.13127613E+00  7.30616553E-03
8.21733307E-02  5.14869213E+00  7.15600234E-03
8.24673319E-02  5.14593267E+00  7.43090734E-03
8.27613331E-02  5.13193893E+00  8.10212921E-03
8.30553343E-02  5.12842131E+00  8.57571512E-03
8.33493354E-02  5.11081982E+00  9.40243155E-03
8.36433366E-02  5.00637865E+00  9.87982098E-03
8.39373378E-02  4.95165157E+00  1.02872523E-02
8.42313390E-02  4.86438131E+00  1.08078718E-02
8.45253402E-02  4.77919197E+00  1.10893855E-02
8.48193414E-02  4.63887787E+00  1.13376062E-02
8.51133425E-02  4.50222635E+00  1.13555994E-02
8.54073437E-02  4.38058710E+00  1.15755154E-02
8.57013449E-02  4.22046614E+00  1.15087042E-02
8.59953461E-02  4.07624388E+00  1.14984503E-02
8.62893473E-02  3.95627260E+00  1.14312330E-02
8.65833485E-02  3.79160070E+00  1.09168822E-02
8.68773496E-02  3.61415267E+00  1.07869431E-02
8.71713508E-02  3.44824672E+00  1.03349658E-02
8.74653520E-02  3.28604031E+00  9.95392352E-03
8.77593532E-02  3.12515235E+00  9.26779676E-03
8.80533544E-02  2.95209718E+00  8.85770470E-03
8.83473556E-02  2.78850865E+00  8.28248076E-03
8.86413567E-02  2.62990141E+00  7.76420161E-03
8.89353579E-02  2.50312924E+00  7.31364638E-03
8.92293591E-02  2.35769773E+00  6.86248532E-03
8.95233603E-02  2.23023009E+00  6.35985099E-03
8.98173615E-02  2.13513756E+00  6.03477657E-03
9.01113627E-02  2.00267386E+00  5.66847762E-03
9.04053638E-02  1.92981565E+00  5.28537808E-03
9.06993650E-02  1.81868279E+00  5.07044932E-03
9.09933662E-02  1.74387252E+00  4.68360027E-03
9.12873674E-02  1.66860509E+00  4.52106260E-03
9.15813686E-02  1.62413657E+00  4.31829365E-03
9.18753698E-02  1.54343700E+00  4.08080732E-03
9.21693709E-02  1.47413898E+00  3.95942666E-03
9.24633721E-02  1.41727471E+00  3.62819736E-03
9.27573733E-02  1.36625218E+00  3.58707621E-03
9.30513745E-02  1.31686807E+00  3.54768755E-03
9.33453757E-02  1.27673614E+00  3.34625482E-03
9.36393769E-02  1.23262155E+00  3.33068497E-03
9.39333780E-02  1.18871880E+00  3.12835327E-03
9.42273792E-02  1.14324784E+00  2.94540101E-03
9.45213804E-02  1.10276079E+00  2.81679886E-03
9.48153816E-02  1.06869149E+00  2.75752321E-03
9.51093828E-02  1.05037689E+00  2.70231045E-03
9.54033840E-02  1.00759792E+00  2.52669328E-03
9.56973851E-02  9.81866539E-01  2.46210070E-03
9.59913863E-02  9.55604315E-01  2.48729298E-03
9.62853875E-02  9.22913134E-01  2.36424734E-03
9.65793887E-02  8.96487117E-01  2.23004958E-03
9.68733899E-02  8.82071316E-01  2.24829535E-03
9.71673911E-02  8.58834982E-01  2.21167482E-03
9.74613922E-02  8.46543193E-01  2.17113737E-03
9.77553934E-02  8.23744833E-01  2.08454137E-03
9.80493946E-02  7.86370337E-01  1.98392710E-03
9.83433958E-02  7.77793705E-01  1.93158479E-03
9.86373970E-02  7.70547032E-01  1.98657485E-03
9.89313982E-02  7.64825284E-01  1.95965893E-03
9.92253993E-02  7.39608407E-01  1.92636694E-03
9.95194005E-02  7.25814700E-01  1.88656931E-03
9.98134017E-02  7.23544717E-01  1.86497369E-03
1.00107403E-01  7.11159229E-01  1.83515227E-03
1.00401404E-01  6.96928680E-01  1.80055678E-03
1.00695405E-01  6.86281383E-01  1.77381083E-03
1.00989406E-01  6.74592793E-01  1.72833819E-03
1.01283408E-01  6.68282747E-01  1.72903668E-03
1.01577409E-01  6.63387895E-01  1.74423412E-03
1.01871410E-01  6.48474753E-01  1.68702356E-03
1.02165411E-01  6.35004401E-01  1.65237801E-03
1.02459412E-01  6.29356325E-01  1.64590240E-03
1.02753414E-01  6.24589562E-01  1.73684838E-03
1.03047415E-01  6.22451544E-01  1.66800758E-03
1.03341416E-01  6.10745847E-01  1.61848636E-03
1.03635417E-01  6.28002882E-01  1.72369997E-03
1.03929418E-01  6.07313991E-01  1.66838476E-03
1.04223419E-01  6.07354045E-01  1.61501835E-03
1.04517421E-01  5.97241580E-01  1.59721344E-03
1.04811422E-01  5.95115602E-01  1.58507749E-03
1.05105423E-01  5.88605344E-01  1.58976507E-03
