### DATA:
#
# 1802
#      Q             I(Q)           Error     
1.16130467E-02  5.44918680E+00  7.21388832E-02
1.19070479E-02  5.02881336E+00  6.54188395E-02
1.22010491E-02  4.61531925E+00  6.43028319E-02
1.24950503E-02  4.30265474E+00  4.83031422E-02
1.27890515E-02  4.08124685E+00  4.71687764E-02
1.30830527E-02  3.81453991E+00  4.29806001E-02
1.33770538E-02  3.43724346E+00  3.87760103E-02
1.36710550E-02  3.00489616E+00  3.35222296E-02
1.39650562E-02  2.78255272E+00  2.93872468E-02
1.42590574E-02  2.65416694E+00  2.77237929E-02
1.45530586E-02  2.48892856E+00  2.54614763E-02
1.48470598E-02  2.21196079E+00  2.62486134E-02
1.51410609E-02  2.06434417E+00  2.23946124E-02
1.54350621E-02  2.01892519E+00  1.86050870E-02
1.57290633E-02  1.83322608E+00  1.74356140E-02
1.60230645E-02  1.69660521E+00  1.72650721E-02
1.63170657E-02  1.58389330E+00  1.31153734E-02
1.66110669E-02  1.48392689E+00  1.31361391E-02
1.69050680E-02  1.44835806E+00  1.21427970E-02
1.71990692E-02  1.37991333E+00  1.21769030E-02
1.74930704E-02  1.26288974E+00  1.04987333E-02
1.77870716E-02  1.23086298E+00  1.02793165E-02
1.80810728E-02  1.15901768E+00  9.83275846E-03
1.83750740E-02  1.07926202E+00  8.13814532E-03
1.86690751E-02  1.07499635E+00  9.29577928E-03
1.89630763E-02  9.17107582E-01  7.37682125E-03
1.92570775E-02  8.69210839E-01  7.30180647E-03
1.95510787E-02  8.26335669E-01  7.30381534E-03
1.98450799E-02  7.91684747E-01  6.41610473E-03
2.01390811E-02  7.26070344E-01  6.22057682E-03
2.04330822E-02  7.09613800E-01  5.45141846E-03
2.07270834E-02  6.96910203E-01  5.69385290E-03
2.10210846E-02  6.54096723E-01  4.98827454E-03
2.13150858E-02  6.61122441E-01  4.73231310E-03
2.16090870E-02  6.28890395E-01  4.61059902E-03
2.19030882E-02  6.13261521E-01  4.63080313E-03
2.21970893E-02  6.01803303E-01  4.72924020E-03
2.24910905E-02  6.02869570E-01  4.37334925E-03
2.27850917E-02  5.48642755E-01  3.84713733E-03
2.30790929E-02  5.39198220E-01  3.96758597E-03
2.33730941E-02  5.31161129E-01  3.82443797E-03
2.36670953E-02  5.04736185E-01  3.85326496E-03
2.39610964E-02  4.92898673E-01  3.66072124E-03
2.42550976E-02  5.18211484E-01  3.49374628E-03
2.45490988E-02  4.87784296E-01  3.21200071E-03
2.48431000E-02  4.67962891E-01  3.04662948E-03
2.51371012E-02  4.81462538E-01  3.30095552E-03
2.54311024E-02  4.69209611E-01  3.42657208E-03
2.57251035E-02  4.50459152E-01  3.46302218E-03
2.60191047E-02  4.46949273E-01  3.17417947E-03
2.63131059E-02  4.41793680E-01  2.86375917E-03
2.66071071E-02  4.37283635E-01  3.03279166E-03
2.69011083E-02  4.29602742E-01  3.07167601E-03
2.71951094E-02  4.13598061E-01  2.85329483E-03
2.74891106E-02  4.39036101E-01  3.06009105E-03
2.77831118E-02  4.28583920E-01  2.82856822E-03
2.80771130E-02  4.04147297E-01  3.13968025E-03
2.83711142E-02  4.14807081E-01  2.74479156E-03
2.86651154E-02  4.08647060E-01  2.87878793E-03
2.89591165E-02  4.03605372E-01  2.75606429E-03
2.92531177E-02  3.84507298E-01  2.53473688E-03
2.95471189E-02  3.87665629E-01  2.81045190E-03
2.98411201E-02  3.94816250E-01  2.62342044E-03
3.01351213E-02  3.98076355E-01  2.67764321E-03
3.04291225E-02  3.83973539E-01  2.63821334E-03
3.07231236E-02  3.77236426E-01  2.63737026E-03
3.10171248E-02  3.66139889E-01  2.47168564E-03
3.13111260E-02  3.69486004E-01  2.46928423E-03
3.16051272E-02  3.74637634E-01  2.66982638E-03
3.18991284E-02  3.57721418E-01  2.50998000E-03
3.21931296E-02  3.71825218E-01  2.46059569E-03
3.24871307E-02  3.58663917E-01  2.41836696E-03
3.27811319E-02  3.43796730E-01  2.21433933E-03
3.30751331E-02  3.43386769E-01  2.18386576E-03
3.33691343E-02  3.57504457E-01  2.23254319E-03
3.36631355E-02  3.51760805E-01  2.26953486E-03
3.39571367E-02  3.33525896E-01  2.08270177E-03
3.42511378E-02  3.44255924E-01  2.23482400E-03
3.45451390E-02  3.41093242E-01  2.13619438E-03
3.48391402E-02  3.41831207E-01  2.26418744E-03
3.51331414E-02  3.42394650E-01  2.24186666E-03
3.54271426E-02  3.32598358E-01  2.00333423E-03
3.57211438E-02  3.43134940E-01  2.04454805E-03
3.60151449E-02  3.31839234E-01  2.04786565E-03
3.63091461E-02  3.36869538E-01  1.92987849E-03
3.66031473E-02  3.35532963E-01  1.93860848E-03
3.68971485E-02  3.27005118E-01  1.84440974E-03
3.71911497E-02  3.35212708E-01  1.83585531E-03
3.74851509E-02  3.29844266E-01  1.71945791E-03
3.77791520E-02  3.30667526E-01  1.79089815E-03
3.80731532E-02  3.36716741E-01  1.78349041E-03
3.83671544E-02  3.23615730E-01  1.85261958E-03
3.86611556E-02  3.40445280E-01  1.70558982E-03
3.89551568E-02  3.37601990E-01  1.87746412E-03
3.92491580E-02  3.24487954E-01  1.71148707E-03
3.95431591E-02  3.20919722E-01  1.84418738E-03
3.98371603E-02  3.30436796E-01  1.85107766E-03
4.01311615E-02  3.23239893E-01  1.82332844E-03
4.04251627E-02  3.33722115E-01  1.81106152E-03
4.07191639E-02  3.21739495E-01  1.69908069E-03
4.10131651E-02  3.21515530E-01  1.76895282E-03
4.13071662E-02  3.28823656E-01  1.64746551E-03
4.16011674E-02  3.19372952E-01  1.67880498E-03
4.18951686E-02  3.22298437E-01  1.65797689E-03
4.21891698E-02  3.30205679E-01  1.76340586E-03
4.24831710E-02  3.27961504E-01  1.69395295E-03
4.27771722E-02  3.10427934E-01  1.63447077E-03
4.30711733E-02  3.28289330E-01  1.63581420E-03
4.33651745E-02  3.23426187E-01  1.67034846E-03
4.36591757E-02  3.09533745E-01  1.60607498E-03
4.39531769E-02  3.23823661E-01  1.58171030E-03
