### DATA:
#
# 1802
#      Q             I(Q)           Error     
1.16130467E-02  1.33459082E+01  1.43379852E-01
1.19070479E-02  1.28134060E+01  1.26470551E-01
1.22010491E-02  1.22745152E+01  1.23446479E-01
1.24950503E-02  1.15625029E+01  1.04256332E-01
1.27890515E-02  1.06597242E+01  9.07378942E-02
1.30830527E-02  1.00987234E+01  9.29496214E-02
1.33770538E-02  9.67636585E+00  8.28615502E-02
1.36710550E-02  8.92784214E+00  8.19295198E-02
1.39650562E-02  8.37607002E+00  7.03521669E-02
1.42590574E-02  7.86925745E+00  6.96333274E-02
1.45530586E-02  7.44697428E+00  6.09344803E-02
1.48470598E-02  7.00445938E+00  5.38824983E-02
1.51410609E-02  6.56358719E+00  5.35049699E-02
1.54350621E-02  6.23617029E+00  5.04698232E-02
1.57290633E-02  5.93001986E+00  4.62336279E-02
1.60230645E-02  5.48185492E+00  4.00273763E-02
1.63170657E-02  5.27371550E+00  4.01296355E-02
1.66110669E-02  4.93763971E+00  3.47758681E-02
1.69050680E-02  4.62968397E+00  3.27291898E-02
1.71990692E-02  4.56577253E+00  3.24394889E-02
1.74930704E-02  4.29576063E+00  2.84561235E-02
1.77870716E-02  4.05705547E+00  2.65617054E-02
1.80810728E-02  3.76527619E+00  2.74498742E-02
1.83750740E-02  3.57416868E+00  2.38031559E-02
1.86690751E-02  3.53238487E+00  2.25450099E-02
1.89630763E-02  3.11188745E+00  2.21743509E-02
1.92570775E-02  2.86251593E+00  2.02290472E-02
1.95510787E-02  2.72658730E+00  2.05653217E-02
1.98450799E-02  2.60329437E+00  1.88565645E-02
2.01390811E-02  2.44847250E+00  1.68770943E-02
2.04330822E-02  2.27933455E+00  1.58213675E-02
2.07270834E-02  2.18154669E+00  1.39533244E-02
2.10210846E-02  2.17811370E+00  1.48908626E-02
2.13150858E-02  2.12373853E+00  1.31996283E-02
2.16090870E-02  1.94448948E+00  1.20168058E-02
2.19030882E-02  1.96167195E+00  1.17622809E-02
2.21970893E-02  1.85126233E+00  1.10987062E-02
2.24910905E-02  1.76394272E+00  1.07525336E-02
2.27850917E-02  1.74861872E+00  9.98173282E-03
2.30790929E-02  1.67388427E+00  9.89913568E-03
2.33730941E-02  1.70167983E+00  9.35138948E-03
2.36670953E-02  1.60755301E+00  8.72106291E-03
2.39610964E-02  1.55252898E+00  8.19225702E-03
2.42550976E-02  1.55785799E+00  7.67419301E-03
2.45490988E-02  1.50199163E+00  7.38622900E-03
2.48431000E-02  1.46015322E+00  7.86730275E-03
2.51371012E-02  1.39633000E+00  7.19344569E-03
2.54311024E-02  1.37843275E+00  6.91942684E-03
2.57251035E-02  1.40417564E+00  6.46519102E-03
2.60191047E-02  1.39430523E+00  6.35226909E-03
2.63131059E-02  1.34285283E+00  5.78180840E-03
2.66071071E-02  1.30410528E+00  5.79108158E-03
2.69011083E-02  1.25495923E+00  6.11750782E-03
2.71951094E-02  1.25936949E+00  5.70612727E-03
2.74891106E-02  1.24140549E+00  5.50865754E-03
2.77831118E-02  1.23863971E+00  5.37471287E-03
2.80771130E-02  1.23212552E+00  5.45956055E-03
2.83711142E-02  1.19772410E+00  5.03353914E-03
2.86651154E-02  1.18416154E+00  5.40162902E-03
2.89591165E-02  1.15272892E+00  5.16468100E-03
2.92531177E-02  1.16661143E+00  4.86219488E-03
2.95471189E-02  1.15908933E+00  5.37106302E-03
2.98411201E-02  1.13406444E+00  4.47645551E-03
3.01351213E-02  1.13331747E+00  4.74858377E-03
3.04291225E-02  1.09012687E+00  4.31562355E-03
3.07231236E-02  1.09467769E+00  4.59730765E-03
3.10171248E-02  1.08306026E+00  4.57360363E-03
3.13111260E-02  1.10859323E+00  4.19831695E-03
3.16051272E-02  1.07849252E+00  4.48212214E-03
3.18991284E-02  1.07557797E+00  4.30359598E-03
3.21931296E-02  1.09308445E+00  4.25267965E-03
3.24871307E-02  1.07519317E+00  4.06014919E-03
3.27811319E-02  1.08870590E+00  4.26550210E-03
3.30751331E-02  1.06634617E+00  4.17895894E-03
3.33691343E-02  1.07954705E+00  4.40284051E-03
