### DATA:
#
# 1802
#      Q             I(Q)           Error     
1.16130467E-02  2.42079468E+01  2.90217459E-01
1.19070479E-02  2.18304996E+01  2.59681553E-01
1.22010491E-02  2.01251640E+01  1.97650716E-01
1.24950503E-02  1.79939671E+01  1.73484966E-01
1.27890515E-02  1.66572704E+01  1.48812249E-01
1.30830527E-02  1.49910803E+01  1.43049002E-01
1.33770538E-02  1.41340981E+01  1.21495381E-01
1.36710550E-02  1.26388798E+01  1.15536913E-01
1.39650562E-02  1.21589079E+01  1.00549325E-01
1.42590574E-02  1.09884224E+01  8.25459659E-02
1.45530586E-02  1.04190321E+01  8.11330080E-02
1.48470598E-02  9.64986992E+00  6.79249391E-02
1.51410609E-02  8.98365593E+00  6.39133453E-02
1.54350621E-02  8.33132267E+00  5.91283180E-02
1.57290633E-02  8.15932274E+00  5.13177402E-02
1.60230645E-02  7.40468884E+00  5.04022017E-02
1.63170657E-02  7.12746048E+00  4.61950600E-02
1.66110669E-02  6.69170713E+00  4.25339490E-02
1.69050680E-02  6.28011513E+00  3.64366136E-02
1.71990692E-02  5.91815948E+00  3.66800986E-02
1.74930704E-02  5.81650114E+00  3.54864150E-02
1.77870716E-02  5.48741341E+00  3.61650549E-02
1.80810728E-02  5.05290127E+00  3.27922814E-02
1.83750740E-02  4.94256258E+00  2.92597525E-02
1.86690751E-02  4.59527969E+00  2.72764042E-02
1.89630763E-02  4.26360703E+00  2.58474387E-02
1.92570775E-02  4.03370190E+00  2.25988273E-02
1.95510787E-02  3.74040747E+00  2.29472816E-02
1.98450799E-02  3.58018923E+00  2.00833175E-02
2.01390811E-02  3.42462897E+00  2.00295914E-02
2.04330822E-02  3.26869035E+00  1.96385272E-02
2.07270834E-02  3.04848456E+00  1.85166337E-02
2.10210846E-02  2.94737005E+00  1.81488246E-02
2.13150858E-02  2.89203715E+00  1.65664162E-02
2.16090870E-02  2.72681117E+00  1.54506946E-02
2.19030882E-02  2.61136532E+00  1.55742029E-02
2.21970893E-02  2.50601649E+00  1.42894369E-02
2.24910905E-02  2.34667158E+00  1.21538732E-02
2.27850917E-02  2.37435055E+00  1.18104173E-02
2.30790929E-02  2.18950248E+00  1.17444908E-02
2.33730941E-02  2.17342281E+00  1.07921651E-02
2.36670953E-02  2.18472767E+00  1.11890156E-02
2.39610964E-02  2.06177926E+00  1.00926943E-02
2.42550976E-02  2.00690508E+00  9.69642680E-03
2.45490988E-02  1.93671513E+00  8.56729783E-03
2.48431000E-02  1.88779676E+00  9.57259443E-03
2.51371012E-02  1.81557941E+00  8.79067741E-03
2.54311024E-02  1.80392981E+00  8.27687327E-03
2.57251035E-02  1.77979863E+00  7.85899907E-03
2.60191047E-02  1.69542348E+00  7.71569181E-03
2.63131059E-02  1.70929146E+00  7.24707171E-03
2.66071071E-02  1.65156293E+00  7.21250009E-03
2.69011083E-02  1.65593648E+00  7.03533133E-03
2.71951094E-02  1.60978973E+00  7.13068806E-03
2.74891106E-02  1.56129670E+00  7.08913896E-03
2.77831118E-02  1.52616692E+00  6.55776542E-03
2.80771130E-02  1.49997115E+00  6.62881369E-03
2.83711142E-02  1.48920572E+00  6.59127207E-03
2.86651154E-02  1.48093092E+00  6.03864528E-03
2.89591165E-02  1.43960214E+00  5.71697764E-03
2.92531177E-02  1.42130816E+00  5.92953060E-03
2.95471189E-02  1.38715637E+00  5.66275790E-03
2.98411201E-02  1.36080253E+00  5.38765779E-03
3.01351213E-02  1.31725562E+00  5.31308819E-03
3.04291225E-02  1.33732212E+00  5.32020256E-03
3.07231236E-02  1.34384716E+00  5.12655638E-03
3.10171248E-02  1.32378078E+00  5.13961073E-03
3.13111260E-02  1.30183721E+00  4.68306616E-03
3.16051272E-02  1.24952626E+00  4.88650240E-03
3.18991284E-02  1.28680265E+00  4.93952539E-03
3.21931296E-02  1.19867337E+00  4.79156757E-03
3.24871307E-02  1.24489594E+00  4.72232001E-03
3.27811319E-02  1.23533535E+00  4.81220987E-03
3.30751331E-02  1.19939804E+00  4.66899993E-03
3.33691343E-02  1.20126522E+00  4.63294517E-03
3.36631355E-02  1.21613705E+00  4.23069717E-03
3.39571367E-02  1.19094718E+00  4.43031034E-03
3.42511378E-02  1.17552328E+00  4.17923462E-03
3.45451390E-02  1.17118537E+00  4.66715125E-03
3.48391402E-02  1.16495001E+00  4.17124340E-03
3.51331414E-02  1.16188693E+00  4.24110983E-03
3.54271426E-02  1.14930022E+00  3.72831454E-03
3.57211438E-02  1.16600239E+00  4.22678748E-03
3.60151449E-02  1.16825688E+00  4.47220076E-03
3.63091461E-02  1.18109429E+00  4.26714402E-03
3.66031473E-02  1.15187407E+00  4.25335765E-03
3.68971485E-02  1.14740455E+00  4.09154268E-03
3.71911497E-02  1.14740527E+00  3.88910528E-03
3.74851509E-02  1.15008724E+00  4.10246477E-03
3.77791520E-02  1.14882159E+00  3.94447194E-03
3.80731532E-02  1.14332056E+00  3.85886896E-03
3.83671544E-02  1.15212965E+00  3.63649335E-03
3.86611556E-02  1.13409662E+00  3.53824976E-03
3.89551568E-02  1.13356102E+00  3.81370774E-03
3.92491580E-02  1.12042201E+00  3.60883167E-03
3.95431591E-02  1.12978017E+00  3.61666502E-03
3.98371603E-02  1.13465214E+00  3.59369628E-03
4.01311615E-02  1.12583852E+00  3.39422422E-03
4.04251627E-02  1.12154412E+00  3.46448342E-03
4.07191639E-02  1.14665127E+00  3.47782928E-03
4.10131651E-02  1.10769522E+00  3.26417293E-03
4.13071662E-02  1.12523508E+00  3.44385323E-03
4.16011674E-02  1.13477373E+00  3.65710608E-03
4.18951686E-02  1.14407742E+00  3.35659343E-03
4.21891698E-02  1.16432142E+00  3.49998078E-03
4.24831710E-02  1.14415920E+00  3.61615303E-03
4.27771722E-02  1.13515770E+00  3.33816488E-03
4.30711733E-02  1.14015877E+00  3.43090412E-03
4.33651745E-02  1.14005411E+00  3.30396136E-03
4.36591757E-02  1.12310183E+00  3.52702010E-03
4.39531769E-02  1.17301464E+00  3.42805451E-03
4.42471781E-02  1.14738262E+00  3.38777550E-03
4.45411793E-02  1.16351211E+00  3.39887664E-03
4.48351804E-02  1.16013837E+00  3.39895790E-03
4.51291816E-02  1.18029082E+00  3.37426434E-03
4.54231828E-02  1.18048453E+00  3.36084864E-03
4.57171840E-02  1.20870483E+00  3.38098570E-03
4.60111852E-02  1.20327520E+00  3.22947046E-03
4.63051864E-02  1.20545173E+00  3.31615051E-03
4.65991875E-02  1.21706975E+00  3.36006563E-03
4.68931887E-02  1.23165298E+00  3.65085481E-03
4.71871899E-02  1.21563780E+00  3.30547197E-03
4.74811911E-02  1.23182619E+00  3.35234730E-03
4.77751923E-02  1.22946477E+00  3.35480203E-03
4.80691935E-02  1.25953043E+00  3.29845631E-03
4.83631946E-02  1.26013327E+00  3.22044897E-03
4.86571958E-02  1.26775217E+00  3.50748585E-03
4.89511970E-02  1.27675986E+00  3.70383332E-03
4.92451982E-02  1.30331695E+00  3.34393699E-03
4.95391994E-02  1.30399823E+00  3.43830185E-03
4.98332006E-02  1.30358911E+00  3.36514600E-03
5.01272017E-02  1.32191420E+00  3.37027013E-03
5.04212029E-02  1.34302521E+00  3.57519207E-03
5.07152041E-02  1.36041164E+00  3.47904186E-03
5.10092053E-02  1.38540435E+00  3.68268834E-03
5.13032065E-02  1.37494826E+00  3.63453524E-03
5.15972077E-02  1.39254832E+00  3.61995469E-03
5.18912088E-02  1.39765239E+00  3.84493964E-03
5.21852100E-02  1.44038475E+00  3.56114004E-03
5.24792112E-02  1.44334078E+00  3.87041876E-03
5.27732124E-02  1.46297824E+00  3.67169292E-03
5.30672136E-02  1.46187127E+00  3.69847054E-03
5.33612148E-02  1.47323954E+00  3.75146186E-03
5.36552159E-02  1.50067079E+00  3.82158835E-03
5.39492171E-02  1.52792251E+00  3.88042745E-03
5.42432183E-02  1.53621972E+00  3.77290091E-03
5.45372195E-02  1.54611158E+00  3.93379433E-03
5.48312207E-02  1.55246270E+00  4.03985335E-03
5.51252219E-02  1.59682894E+00  3.89214559E-03
5.54192230E-02  1.58658636E+00  3.89348483E-03
5.57132242E-02  1.63730168E+00  3.81732872E-03
5.60072254E-02  1.66536093E+00  4.24415525E-03
5.63012266E-02  1.67305911E+00  4.08861134E-03
5.65952278E-02  1.66725421E+00  4.17099288E-03
5.68892290E-02  1.69511724E+00  4.19822661E-03
5.71832301E-02  1.74889994E+00  4.26311092E-03
5.74772313E-02  1.76678097E+00  4.07650322E-03
5.77712325E-02  1.77671361E+00  4.28147241E-03
5.80652337E-02  1.80736685E+00  4.43642167E-03
5.83592349E-02  1.81586516E+00  4.44148388E-03
5.86532361E-02  1.85052001E+00  4.22209501E-03
5.89472372E-02  1.86212468E+00  4.36583767E-03
5.92412384E-02  1.90937495E+00  4.52444982E-03
5.95352396E-02  1.92930806E+00  4.46496392E-03
5.98292408E-02  1.94988334E+00  4.39599948E-03
6.01232420E-02  1.98051035E+00  4.50365013E-03
6.04172432E-02  2.00489855E+00  4.41257050E-03
6.07112443E-02  2.03783178E+00  4.41301288E-03
6.10052455E-02  2.08080339E+00  4.85853478E-03
6.12992467E-02  2.12743402E+00  4.81238402E-03
6.15932479E-02  2.17094040E+00  4.70480043E-03
6.18872491E-02  2.16962743E+00  4.88835666E-03
6.21812503E-02  2.23734570E+00  4.97862278E-03
6.24752514E-02  2.22185779E+00  5.07141184E-03
6.27692526E-02  2.27944446E+00  5.15070138E-03
6.30632538E-02  2.33828664E+00  5.24150860E-03
6.33572550E-02  2.35283208E+00  5.20743942E-03
6.36512562E-02  2.40272284E+00  5.44103421E-03
6.39452574E-02  2.43586445E+00  5.21989260E-03
6.42392585E-02  2.45637178E+00  5.45027805E-03
6.45332597E-02  2.52434254E+00  5.47498744E-03
6.48272609E-02  2.54373240E+00  5.67467045E-03
6.51212621E-02  2.60323763E+00  5.78238303E-03
6.54152633E-02  2.64943218E+00  5.87018067E-03
6.57092645E-02  2.70896912E+00  5.90067217E-03
6.60032656E-02  2.73822451E+00  5.97605528E-03
6.62972668E-02  2.79497027E+00  6.06500218E-03
6.65912680E-02  2.82697129E+00  6.25285879E-03
6.68852692E-02  2.92859936E+00  6.60760934E-03
6.71792704E-02  2.95523334E+00  6.56039501E-03
6.74732716E-02  3.03542757E+00  6.55739894E-03
6.77672727E-02  3.06752229E+00  6.78320415E-03
6.80612739E-02  3.15182328E+00  7.18678953E-03
6.83552751E-02  3.21939611E+00  7.28567224E-03
6.86492763E-02  3.27527308E+00  7.53256911E-03
6.89432775E-02  3.35001254E+00  7.90662412E-03
6.92372787E-02  3.44878078E+00  7.68983969E-03
6.95312798E-02  3.50775051E+00  8.25275388E-03
6.98252810E-02  3.59582067E+00  8.64485744E-03
7.01192822E-02  3.69116116E+00  8.67709611E-03
7.04132834E-02  3.77544761E+00  9.44350846E-03
7.07072846E-02  3.90275049E+00  9.67542082E-03
7.10012858E-02  3.98291302E+00  9.97234229E-03
7.12952869E-02  4.07285643E+00  1.02750035E-02
7.15892881E-02  4.21286106E+00  1.09337093E-02
7.18832893E-02  4.31050014E+00  1.18925963E-02
7.21772905E-02  4.45092154E+00  1.19431950E-02
7.24712917E-02  4.57119656E+00  1.30010070E-02
7.27652929E-02  4.72937727E+00  1.39867952E-02
7.30592940E-02  4.92029715E+00  1.41801331E-02
7.33532952E-02  5.07097626E+00  1.54918078E-02
7.36472964E-02  5.21920490E+00  1.66845582E-02
7.39412976E-02  5.43858242E+00  1.79766566E-02
7.42352988E-02  5.64247799E+00  1.89096667E-02
7.45293000E-02  5.84212446E+00  2.00988557E-02
7.48233011E-02  6.19217253E+00  2.22278293E-02
7.51173023E-02  6.40998125E+00  2.41482966E-02
7.54113035E-02  6.73060274E+00  2.59979516E-02
7.57053047E-02  7.01417160E+00  2.81768143E-02
7.59993059E-02  7.33047152E+00  3.01186144E-02
7.62933071E-02  7.73531342E+00  3.35363112E-02
7.65873082E-02  8.10284996E+00  3.54081988E-02
7.68813094E-02  8.51307487E+00  3.80834974E-02
7.71753106E-02  9.09939480E+00  4.11763564E-02
7.74693118E-02  9.54547215E+00  4.49594148E-02
7.77633130E-02  1.00621319E+01  4.85911556E-02
7.80573141E-02  1.06209459E+01  5.08958474E-02
7.83513153E-02  1.12412891E+01  5.55776320E-02
7.86453165E-02  1.17539368E+01  5.74866794E-02
7.89393177E-02  1.24480400E+01  6.11536205E-02
7.92333189E-02  1.31511049E+01  6.37873709E-02
7.95273201E-02  1.37428932E+01  6.43819273E-02
7.98213212E-02  1.43950300E+01  6.72508702E-02
8.01153224E-02  1.48949041E+01  6.58738390E-02
8.04093236E-02  1.56812401E+01  6.70525730E-02
8.07033248E-02  1.62316208E+01  6.58524483E-02
8.09973260E-02  1.67616901E+01  6.21298440E-02
8.12913272E-02  1.72157383E+01  5.95684908E-02
8.15853283E-02  1.76131935E+01  5.51850758E-02
8.18793295E-02  1.82506599E+01  5.16801029E-02
8.21733307E-02  1.86454868E+01  4.67257611E-02
8.24673319E-02  1.89878922E+01  4.16452326E-02
8.27613331E-02  1.93667030E+01  3.62595506E-02
8.30553343E-02  1.97560062E+01  3.25878859E-02
8.33493354E-02  2.00766182E+01  3.03133093E-02
8.36433366E-02  2.03300285E+01  2.93418281E-02
8.39373378E-02  2.05513515E+01  3.06524541E-02
8.42313390E-02  2.06838608E+01  3.41134630E-02
8.45253402E-02  2.08441505E+01  3.81053872E-02
8.48193414E-02  2.08722916E+01  4.31709886E-02
8.51133425E-02  2.09202194E+01  4.74643409E-02
8.54073437E-02  2.08338509E+01  5.40739670E-02
8.57013449E-02  2.05532627E+01  5.71121611E-02
8.59953461E-02  2.02579193E+01  6.03972934E-02
8.62893473E-02  1.98267956E+01  6.32641241E-02
8.65833485E-02  1.93617496E+01  6.38434812E-02
8.68773496E-02  1.87355690E+01  6.58872426E-02
8.71713508E-02  1.80108337E+01  6.61476478E-02
8.74653520E-02  1.72140388E+01  6.50138035E-02
8.77593532E-02  1.63549194E+01  6.34224713E-02
8.80533544E-02  1.55063372E+01  6.02410659E-02
8.83473556E-02  1.45479870E+01  5.81579655E-02
8.86413567E-02  1.35864096E+01  5.37877418E-02
8.89353579E-02  1.26906462E+01  4.96218540E-02
8.92293591E-02  1.18337431E+01  4.62953560E-02
8.95233603E-02  1.09976654E+01  4.21140417E-02
8.98173615E-02  1.01891212E+01  3.89404409E-02
9.01113627E-02  9.47570515E+00  3.48801650E-02
9.04053638E-02  8.77819824E+00  3.12434342E-02
9.06993650E-02  8.16692162E+00  2.81802025E-02
9.09933662E-02  7.60419655E+00  2.50838660E-02
