### DATA:
#
# 1802
#      Q             I(Q)           Error     
1.16130467E-02  3.22612495E+01  1.04116917E+00
1.19070479E-02  3.07293568E+01  9.36749697E-01
1.22010491E-02  2.73760281E+01  7.97084868E-01
1.24950503E-02  2.42570763E+01  6.18270993E-01
1.27890515E-02  2.20914516E+01  5.50754070E-01
1.30830527E-02  1.99384766E+01  4.37205046E-01
1.33770538E-02  1.86217880E+01  3.62455994E-01
1.36710550E-02  1.71056137E+01  3.10758442E-01
1.39650562E-02  1.56473055E+01  2.89176494E-01
1.42590574E-02  1.35528049E+01  2.26279065E-01
1.45530586E-02  1.27250967E+01  1.93114355E-01
1.48470598E-02  1.21664047E+01  2.01993406E-01
1.51410609E-02  1.10195370E+01  1.51154101E-01
1.54350621E-02  1.00048056E+01  1.32371455E-01
1.57290633E-02  9.63937664E+00  1.25909090E-01
1.60230645E-02  8.86119175E+00  1.25296727E-01
1.63170657E-02  8.30798531E+00  9.79508013E-02
1.66110669E-02  7.98498201E+00  9.41790864E-02
1.69050680E-02  7.27256918E+00  7.12061822E-02
1.71990692E-02  7.05535793E+00  7.64333159E-02
1.74930704E-02  6.52013922E+00  6.90923408E-02
1.77870716E-02  6.33693075E+00  6.19189553E-02
1.80810728E-02  6.12198353E+00  6.31919056E-02
1.83750740E-02  5.75691271E+00  5.47994114E-02
1.86690751E-02  5.35680103E+00  5.28070852E-02
1.89630763E-02  5.00434542E+00  4.63132709E-02
1.92570775E-02  4.67005348E+00  4.62151617E-02
1.95510787E-02  4.49411821E+00  4.52909805E-02
1.98450799E-02  4.30891609E+00  3.53289098E-02
2.01390811E-02  4.11931944E+00  3.76326479E-02
2.04330822E-02  3.93230653E+00  3.32854055E-02
2.07270834E-02  3.79401374E+00  2.89421454E-02
2.10210846E-02  3.74508834E+00  3.05917561E-02
2.13150858E-02  3.59338641E+00  2.54507698E-02
2.16090870E-02  3.48279452E+00  2.77763754E-02
2.19030882E-02  3.42803907E+00  2.62801796E-02
2.21970893E-02  3.40356350E+00  2.60440558E-02
2.24910905E-02  3.18938613E+00  2.22741105E-02
2.27850917E-02  3.19559193E+00  2.00790763E-02
2.30790929E-02  3.07805657E+00  2.07353570E-02
2.33730941E-02  3.00192142E+00  2.00551208E-02
2.36670953E-02  3.00022674E+00  1.99769195E-02
2.39610964E-02  2.92128611E+00  1.72606278E-02
2.42550976E-02  2.86149263E+00  1.89028662E-02
2.45490988E-02  2.78759170E+00  1.65180769E-02
2.48431000E-02  2.75276160E+00  1.54368784E-02
2.51371012E-02  2.74903822E+00  1.56640559E-02
2.54311024E-02  2.72402811E+00  1.47081176E-02
2.57251035E-02  2.71934891E+00  1.56271737E-02
2.60191047E-02  2.68334794E+00  1.58562958E-02
2.63131059E-02  2.60390544E+00  1.43284285E-02
2.66071071E-02  2.63125968E+00  1.49364257E-02
2.69011083E-02  2.56115413E+00  1.34614930E-02
2.71951094E-02  2.58146143E+00  1.37471082E-02
2.74891106E-02  2.60404682E+00  1.41716152E-02
2.77831118E-02  2.57066274E+00  1.39315650E-02
2.80771130E-02  2.54017830E+00  1.50552215E-02
2.83711142E-02  2.52884197E+00  1.25909410E-02
2.86651154E-02  2.56328225E+00  1.37721030E-02
2.89591165E-02  2.48638988E+00  1.33433063E-02
2.92531177E-02  2.45457435E+00  1.29693029E-02
2.95471189E-02  2.42893767E+00  1.28316898E-02
2.98411201E-02  2.46283197E+00  1.25690857E-02
3.01351213E-02  2.49666810E+00  1.28962118E-02
3.04291225E-02  2.51347232E+00  1.32504841E-02
3.07231236E-02  2.47617435E+00  1.21016353E-02
3.10171248E-02  2.49602342E+00  1.27807409E-02
3.13111260E-02  2.46806788E+00  1.24131497E-02
3.16051272E-02  2.51253796E+00  1.28035480E-02
3.18991284E-02  2.50889277E+00  1.15341851E-02
3.21931296E-02  2.51884961E+00  1.17768422E-02
3.24871307E-02  2.42935348E+00  1.15048122E-02
3.27811319E-02  2.44086647E+00  1.20908841E-02
3.30751331E-02  2.57232165E+00  1.14141619E-02
3.33691343E-02  2.51246667E+00  1.18775750E-02
3.36631355E-02  2.49182487E+00  1.09353364E-02
3.39571367E-02  2.56429911E+00  1.16710579E-02
3.42511378E-02  2.55926204E+00  1.14562940E-02
3.45451390E-02  2.58703876E+00  1.13008628E-02
3.48391402E-02  2.62256908E+00  1.16567221E-02
3.51331414E-02  2.56887579E+00  1.14446878E-02
3.54271426E-02  2.61737466E+00  1.10236462E-02
3.57211438E-02  2.67678499E+00  1.06042391E-02
3.60151449E-02  2.62527227E+00  1.18436012E-02
3.63091461E-02  2.69493079E+00  1.06742429E-02
3.66031473E-02  2.68395805E+00  1.07546560E-02
3.68971485E-02  2.65080953E+00  9.90475342E-03
3.71911497E-02  2.74797034E+00  1.03694955E-02
3.74851509E-02  2.76700950E+00  1.07185170E-02
3.77791520E-02  2.73168111E+00  1.02055045E-02
3.80731532E-02  2.74669194E+00  1.11793987E-02
3.83671544E-02  2.80910277E+00  1.03805205E-02
3.86611556E-02  2.85581350E+00  1.00454688E-02
3.89551568E-02  2.79729176E+00  1.04335714E-02
3.92491580E-02  2.90172291E+00  1.03151593E-02
3.95431591E-02  2.88880205E+00  1.09525025E-02
3.98371603E-02  2.86361432E+00  9.79570113E-03
4.01311615E-02  2.98298359E+00  1.11808497E-02
4.04251627E-02  2.94781160E+00  1.07995952E-02
4.07191639E-02  3.04429197E+00  1.07634598E-02
4.10131651E-02  3.05253863E+00  1.02634458E-02
4.13071662E-02  3.07456660E+00  1.07266661E-02
4.16011674E-02  3.05351758E+00  1.07235452E-02
4.18951686E-02  3.17126465E+00  1.03935683E-02
4.21891698E-02  3.14139700E+00  1.04756961E-02
4.24831710E-02  3.18970799E+00  1.08613204E-02
4.27771722E-02  3.21879864E+00  1.04197916E-02
4.30711733E-02  3.24771857E+00  1.11572836E-02
4.33651745E-02  3.30320168E+00  1.08871683E-02
4.36591757E-02  3.36854076E+00  1.06190052E-02
4.39531769E-02  3.37136889E+00  1.07455691E-02
4.42471781E-02  3.40213132E+00  1.09331012E-02
4.45411793E-02  3.40218186E+00  1.12690795E-02
4.48351804E-02  3.44551992E+00  1.10097257E-02
4.51291816E-02  3.49406981E+00  1.07486863E-02
4.54231828E-02  3.50170636E+00  1.15464935E-02
4.57171840E-02  3.57459927E+00  1.07032200E-02
4.60111852E-02  3.57848597E+00  1.07876100E-02
4.63051864E-02  3.59255242E+00  1.11130178E-02
4.65991875E-02  3.67514515E+00  1.09295174E-02
4.68931887E-02  3.67724633E+00  1.12692220E-02
4.71871899E-02  3.74798036E+00  1.09366206E-02
4.74811911E-02  3.79975009E+00  1.09100360E-02
4.77751923E-02  3.80293393E+00  1.08715445E-02
4.80691935E-02  3.83076262E+00  1.15916226E-02
4.83631946E-02  3.86018157E+00  1.15961256E-02
4.86571958E-02  3.90525699E+00  1.09112784E-02
4.89511970E-02  3.93018103E+00  1.10038109E-02
4.92451982E-02  3.99508429E+00  1.10656414E-02
4.95391994E-02  3.97899914E+00  1.08800000E-02
4.98332006E-02  4.11381197E+00  1.16273100E-02
5.01272017E-02  4.09220886E+00  1.11500891E-02
5.04212029E-02  4.14117241E+00  1.21638682E-02
5.07152041E-02  4.20213795E+00  1.21633708E-02
5.10092053E-02  4.21132994E+00  1.19345570E-02
5.13032065E-02  4.22475290E+00  1.17562488E-02
5.15972077E-02  4.35234070E+00  1.21204248E-02
5.18912088E-02  4.34149265E+00  1.20646171E-02
5.21852100E-02  4.40235043E+00  1.17951306E-02
5.24792112E-02  4.48801088E+00  1.20518589E-02
