### DATA:
#
# 2226
#      Q             I(Q)           Error     
8.33467270E-03  4.41026459E+01  4.85789746E-01
8.62711735E-03  3.91468353E+01  4.21006739E-01
8.91956201E-03  3.38125801E+01  3.58332098E-01
9.21200666E-03  2.97599354E+01  3.16380292E-01
9.50445132E-03  2.63136501E+01  2.78283864E-01
9.79689598E-03  2.36811466E+01  2.54621267E-01
1.00893406E-02  2.13075600E+01  2.33515382E-01
1.03817853E-02  1.86096230E+01  1.89509705E-01
1.06742299E-02  1.65828037E+01  1.62420467E-01
1.09666746E-02  1.54990597E+01  1.46511227E-01
1.12591193E-02  1.44762716E+01  1.29257575E-01
1.15515639E-02  1.33508730E+01  1.18460506E-01
1.18440086E-02  1.26620407E+01  1.12392843E-01
1.21364532E-02  1.20455666E+01  1.06937647E-01
1.24288979E-02  1.12072706E+01  1.01130694E-01
1.27213425E-02  1.06408157E+01  9.59723145E-02
1.30137872E-02  9.94910717E+00  9.01859403E-02
1.33062318E-02  9.49099445E+00  8.83926004E-02
1.35986765E-02  8.84121609E+00  8.44321176E-02
1.38911212E-02  8.13266754E+00  7.85920843E-02
1.41835658E-02  7.64985609E+00  7.23586828E-02
1.44760105E-02  7.31175756E+00  6.73073307E-02
1.47684551E-02  6.90634203E+00  6.55875579E-02
1.50608998E-02  6.45080376E+00  6.13139942E-02
1.53533444E-02  6.12099361E+00  5.74924983E-02
1.56457891E-02  5.86738825E+00  5.68125173E-02
1.59382338E-02  5.75033760E+00  5.36711998E-02
1.62306784E-02  5.39737082E+00  5.24461716E-02
1.65231231E-02  5.18368912E+00  5.04246093E-02
1.68155677E-02  5.14999294E+00  4.85697091E-02
1.71080124E-02  5.00972557E+00  4.83766198E-02
1.74004570E-02  4.80507994E+00  4.59422022E-02
1.76929017E-02  4.63999414E+00  4.49785851E-02
1.79853463E-02  4.44442463E+00  4.29217704E-02
1.82777910E-02  4.27221441E+00  4.17163894E-02
1.85702357E-02  4.14773130E+00  4.15375866E-02
1.88626803E-02  4.03462648E+00  3.97235155E-02
1.91551250E-02  3.79942870E+00  3.82320657E-02
1.94475696E-02  3.65198302E+00  3.67688648E-02
1.97400143E-02  3.51668119E+00  3.58565114E-02
2.00324589E-02  3.42416978E+00  3.60020287E-02
2.03249036E-02  3.22265172E+00  3.36021185E-02
2.06173482E-02  3.14627743E+00  3.26710790E-02
2.09097929E-02  3.04660606E+00  3.16959545E-02
2.12022376E-02  2.98933673E+00  3.18918154E-02
2.14946822E-02  2.95607162E+00  3.13978605E-02
2.17871269E-02  2.78706002E+00  2.98187900E-02
2.20795715E-02  2.77022076E+00  2.93725338E-02
2.23720162E-02  2.66359425E+00  2.88398881E-02
2.26644608E-02  2.64723015E+00  2.84879059E-02
2.29569055E-02  2.59884357E+00  2.78305579E-02
2.32493502E-02  2.52558398E+00  2.72976290E-02
