### DATA:
#
# 2226
#      Q             I(Q)           Error     
8.33467270E-03  2.46574631E+01  4.50256675E-01
8.62711735E-03  2.20049572E+01  3.91264945E-01
8.91956201E-03  2.00953789E+01  3.42424333E-01
9.21200666E-03  1.81140175E+01  3.05964321E-01
9.50445132E-03  1.70571537E+01  2.77728677E-01
9.79689598E-03  1.47523861E+01  2.49111861E-01
1.00893406E-02  1.31493254E+01  2.27389470E-01
1.03817853E-02  1.18462820E+01  1.87423348E-01
1.06742299E-02  1.05742598E+01  1.60770640E-01
1.09666746E-02  9.59738445E+00  1.42910659E-01
1.12591193E-02  8.70361710E+00  1.24236003E-01
1.15515639E-02  8.02825546E+00  1.13867380E-01
1.18440086E-02  7.68748856E+00  1.08554795E-01
1.21364532E-02  7.43367195E+00  1.04133070E-01
1.24288979E-02  6.85389137E+00  9.80328470E-02
1.27213425E-02  6.62348080E+00  9.38580632E-02
1.30137872E-02  6.21657085E+00  8.83674175E-02
1.33062318E-02  5.83124018E+00  8.58836472E-02
1.35986765E-02  5.60115767E+00  8.33029822E-02
1.38911212E-02  5.26776123E+00  7.84052834E-02
1.41835658E-02  5.08784389E+00  7.31477290E-02
1.44760105E-02  4.73245668E+00  6.71219751E-02
1.47684551E-02  4.61872482E+00  6.64857253E-02
1.50608998E-02  4.24268103E+00  6.16371930E-02
1.53533444E-02  3.96033335E+00  5.73239401E-02
1.56457891E-02  3.80022621E+00  5.66756241E-02
1.59382338E-02  3.64151525E+00  5.29426485E-02
1.62306784E-02  3.44773507E+00  5.19588515E-02
1.65231231E-02  3.28528404E+00  4.97598983E-02
1.68155677E-02  3.21366215E+00  4.75589521E-02
1.71080124E-02  2.97523689E+00  4.62124832E-02
1.74004570E-02  2.95419693E+00  4.46530543E-02
1.76929017E-02  2.91288686E+00  4.41752337E-02
1.79853463E-02  2.82852745E+00  4.24443632E-02
1.82777910E-02  2.68570805E+00  4.09995914E-02
1.85702357E-02  2.61929107E+00  4.09164354E-02
1.88626803E-02  2.51794314E+00  3.88990417E-02
1.91551250E-02  2.47502780E+00  3.82497497E-02
1.94475696E-02  2.32930040E+00  3.63997594E-02
1.97400143E-02  2.23127055E+00  3.54036130E-02
2.00324589E-02  2.18746924E+00  3.56689468E-02
2.03249036E-02  2.07154775E+00  3.33946906E-02
2.06173482E-02  2.04601812E+00  3.26580070E-02
2.09097929E-02  1.90713251E+00  3.10853720E-02
2.12022376E-02  1.86948097E+00  3.12623978E-02
2.14946822E-02  1.81806207E+00  3.05222757E-02
2.17871269E-02  1.72893655E+00  2.91122887E-02
2.20795715E-02  1.72892559E+00  2.87635382E-02
2.23720162E-02  1.64379001E+00  2.80835908E-02
2.26644608E-02  1.63125467E+00  2.77201459E-02
2.29569055E-02  1.60460329E+00  2.71111280E-02
2.32493502E-02  1.53184962E+00  2.63525136E-02
2.35417948E-02  1.53774261E+00  2.63372324E-02
2.38342395E-02  1.47591209E+00  2.53939740E-02
2.41266841E-02  1.47006631E+00  2.52523106E-02
2.44191288E-02  1.38284957E+00  2.45803520E-02
2.47115734E-02  1.38537371E+00  2.41970532E-02
2.50040181E-02  1.35946882E+00  2.43422966E-02
2.52964627E-02  1.29627168E+00  2.32742187E-02
2.55889074E-02  1.26824522E+00  2.28078067E-02
2.58813521E-02  1.26497006E+00  2.27305330E-02
2.61737967E-02  1.20990181E+00  2.23787446E-02
2.64662414E-02  1.18981314E+00  2.23461241E-02
2.67586860E-02  1.15123415E+00  2.15118211E-02
2.70511307E-02  1.16214824E+00  2.15693973E-02
2.73435753E-02  1.06806624E+00  2.07011346E-02
2.76360200E-02  1.09777415E+00  2.10064240E-02
2.79284646E-02  1.06872237E+00  2.07999796E-02
2.82209093E-02  1.05007672E+00  2.02877745E-02
2.85133540E-02  1.04416907E+00  2.01398414E-02
2.88057986E-02  1.01601481E+00  1.99487209E-02
2.90982433E-02  9.90788341E-01  1.96359381E-02
2.93906879E-02  1.00898647E+00  2.00320352E-02
2.96831326E-02  9.74206626E-01  1.92281716E-02
2.99755772E-02  9.79991376E-01  1.93423517E-02
3.02680219E-02  9.51669633E-01  1.91369746E-02
3.05604666E-02  9.39479053E-01  1.88234877E-02
3.08529112E-02  9.03683782E-01  1.84042323E-02
3.11453559E-02  9.00718987E-01  1.82946026E-02
3.14378005E-02  8.86795461E-01  1.82620939E-02
3.17302452E-02  8.76915991E-01  1.79561339E-02
3.20226898E-02  8.79585683E-01  1.79432314E-02
3.23151345E-02  8.54127288E-01  1.77981202E-02
3.26075791E-02  8.28101456E-01  1.73236653E-02
3.29000238E-02  7.83967674E-01  1.70106199E-02
3.31924685E-02  8.37104559E-01  1.74700078E-02
3.34849131E-02  8.16617787E-01  1.69176571E-02
3.37773578E-02  8.20870042E-01  1.70313399E-02
3.40698024E-02  8.22792709E-01  1.70418750E-02
3.43622471E-02  8.16681623E-01  1.71222575E-02
3.46546917E-02  8.07943046E-01  1.67414881E-02
3.49471364E-02  7.84078777E-01  1.64931417E-02
3.52395811E-02  7.85819888E-01  1.65444780E-02
3.55320257E-02  7.88082480E-01  1.64720155E-02
3.58244704E-02  7.97364295E-01  1.66514535E-02
3.61169150E-02  7.95233190E-01  1.64218135E-02
3.64093597E-02  7.76398301E-01  1.62419975E-02
3.67018043E-02  7.70552218E-01  1.61622129E-02
3.69942490E-02  7.69200265E-01  1.61586870E-02
3.72866936E-02  7.91061521E-01  1.61338989E-02
3.75791383E-02  7.96305239E-01  1.61704756E-02
3.78715830E-02  8.00176620E-01  1.63471140E-02
3.81640276E-02  7.82412887E-01  1.61330793E-02
3.84564723E-02  7.43122101E-01  1.54681727E-02
3.87489169E-02  7.80595601E-01  1.59837287E-02
3.90413616E-02  7.96498239E-01  1.61014218E-02
3.93338062E-02  7.73215353E-01  1.58193763E-02
3.96262509E-02  7.72922397E-01  1.57182701E-02
3.99186955E-02  7.94546485E-01  1.57435983E-02
4.02111402E-02  7.82056153E-01  1.57901905E-02
4.05035849E-02  7.96172321E-01  1.59393623E-02
4.07960295E-02  8.24860573E-01  1.61303263E-02
4.10884742E-02  8.83876383E-01  1.64929498E-02
4.13809188E-02  9.25680697E-01  1.69004649E-02
4.16733635E-02  9.09140706E-01  1.68648660E-02
4.19658081E-02  8.81084919E-01  1.63725838E-02
4.22582528E-02  7.96890676E-01  1.55507335E-02
4.25506975E-02  7.66979039E-01  1.52481329E-02
4.28431421E-02  7.58839548E-01  1.51524693E-02
4.31355868E-02  7.43497550E-01  1.50207402E-02
4.34280314E-02  7.83864021E-01  1.53580066E-02
4.37204761E-02  7.56696641E-01  1.49262706E-02
4.40129207E-02  7.93980300E-01  1.53170088E-02
4.43053654E-02  7.98543513E-01  1.54280663E-02
4.45978100E-02  8.03314149E-01  1.53689152E-02
4.48902547E-02  8.15168023E-01  1.53450007E-02
4.51826994E-02  8.23461831E-01  1.53656388E-02
4.54751440E-02  8.34487379E-01  1.55903306E-02
4.57675887E-02  9.02133942E-01  1.62315723E-02
4.60600333E-02  9.07598555E-01  1.60920527E-02
4.63524780E-02  9.48148906E-01  1.63062271E-02
4.66449226E-02  9.15646911E-01  1.62245091E-02
4.69373673E-02  9.11261380E-01  1.60738342E-02
4.72298119E-02  9.01932120E-01  1.59515236E-02
4.75222566E-02  9.33884621E-01  1.60301328E-02
4.78147013E-02  9.42933857E-01  1.62357055E-02
4.81071459E-02  9.53330934E-01  1.61953717E-02
4.83995906E-02  8.85501921E-01  1.56242810E-02
4.86920352E-02  8.55286062E-01  1.53071219E-02
4.89844799E-02  8.59723628E-01  1.52792865E-02
4.92769245E-02  8.57342780E-01  1.52877672E-02
4.95693692E-02  7.96701312E-01  1.47638023E-02
4.98618139E-02  7.90042222E-01  1.45705193E-02
5.01542585E-02  7.99830079E-01  1.45207299E-02
5.04467032E-02  7.93973804E-01  1.45468339E-02
5.07391478E-02  8.04811299E-01  1.46912299E-02
5.10315925E-02  8.20396304E-01  1.47704817E-02
5.13240371E-02  8.22944939E-01  1.47001147E-02
5.16164818E-02  8.27140391E-01  1.47328209E-02
5.19089264E-02  7.98501253E-01  1.44538051E-02
5.22013711E-02  8.28805804E-01  1.46696782E-02
5.24938158E-02  8.35370064E-01  1.47974724E-02
5.27862604E-02  8.39662015E-01  1.45440474E-02
5.30787051E-02  8.27140510E-01  1.45945428E-02
5.33711497E-02  8.15955520E-01  1.44648971E-02
5.36635944E-02  8.58881593E-01  1.47731481E-02
5.39560390E-02  8.36523950E-01  1.45619325E-02
5.42484837E-02  8.24672580E-01  1.43840127E-02
5.45409283E-02  8.34209859E-01  1.45636834E-02
5.48333730E-02  8.40525508E-01  1.45068886E-02
5.51258177E-02  8.81412745E-01  1.48016233E-02
5.54182623E-02  8.84801567E-01  1.47713041E-02
5.57107070E-02  8.89724851E-01  1.48204472E-02
5.60031516E-02  9.09169257E-01  1.49628334E-02
5.62955963E-02  8.85619581E-01  1.47520872E-02
5.65880409E-02  9.10782695E-01  1.48512404E-02
5.68804856E-02  8.73699188E-01  1.45656858E-02
5.71729303E-02  8.79351377E-01  1.46517865E-02
5.74653749E-02  9.05942798E-01  1.47860749E-02
5.77578196E-02  8.81767631E-01  1.44648952E-02
5.80502642E-02  8.75886500E-01  1.44014182E-02
5.83427089E-02  8.62258494E-01  1.43530359E-02
5.86351535E-02  8.53392780E-01  1.42529244E-02
5.89275982E-02  9.15006101E-01  1.46311661E-02
5.92200428E-02  8.88355494E-01  1.44319087E-02
5.95124875E-02  8.70745301E-01  1.42458202E-02
5.98049322E-02  8.90173972E-01  1.44710140E-02
6.00973768E-02  8.79198611E-01  1.43648982E-02
6.03898215E-02  8.83839190E-01  1.43358670E-02
6.06822661E-02  9.00222301E-01  1.42551595E-02
6.09747108E-02  9.06585634E-01  1.44706750E-02
6.12671554E-02  8.93774629E-01  1.42953554E-02
6.15596001E-02  9.04284835E-01  1.43105099E-02
6.18520447E-02  9.21556771E-01  1.44772893E-02
6.21444894E-02  9.44738805E-01  1.46546001E-02
6.24369341E-02  9.43118513E-01  1.45612843E-02
6.27293787E-02  9.72436845E-01  1.46968216E-02
6.30218234E-02  9.85833287E-01  1.48283243E-02
6.33142680E-02  9.45337355E-01  1.45264668E-02
6.36067127E-02  9.62909579E-01  1.45728150E-02
6.38991573E-02  1.00572860E+00  1.48723479E-02
6.41916020E-02  1.03060472E+00  1.50393099E-02
6.44840467E-02  1.03028226E+00  1.49947377E-02
6.47764913E-02  1.02019668E+00  1.48937786E-02
6.50689360E-02  1.03351998E+00  1.51124587E-02
6.53613806E-02  1.06817949E+00  1.51809063E-02
6.56538253E-02  1.08393002E+00  1.52439559E-02
6.59462699E-02  1.06056786E+00  1.50803486E-02
6.62387146E-02  1.09289956E+00  1.52737331E-02
6.65311592E-02  1.10745943E+00  1.53932599E-02
6.68236039E-02  1.18732750E+00  1.58592518E-02
6.71160486E-02  1.13019061E+00  1.54142352E-02
6.74084932E-02  1.16004086E+00  1.56662092E-02
6.77009379E-02  1.20758820E+00  1.59474052E-02
6.79933825E-02  1.16858268E+00  1.56325921E-02
6.82858272E-02  1.19436181E+00  1.57865100E-02
6.85782718E-02  1.17184687E+00  1.56010669E-02
6.88707165E-02  1.15115356E+00  1.54716000E-02
6.91631611E-02  1.14465964E+00  1.52920596E-02
6.94556058E-02  1.18656707E+00  1.56019237E-02
6.97480505E-02  1.19885075E+00  1.57119092E-02
7.00404951E-02  1.15204597E+00  1.54612660E-02
7.03329398E-02  1.17154038E+00  1.54256895E-02
7.06253844E-02  1.17360830E+00  1.53180733E-02
7.09178291E-02  1.19159555E+00  1.55807398E-02
7.12102737E-02  1.17188096E+00  1.53676914E-02
7.15027184E-02  1.17339063E+00  1.53848436E-02
7.17951631E-02  1.17471766E+00  1.53000066E-02
7.20876077E-02  1.19396627E+00  1.53502105E-02
7.23800524E-02  1.24226320E+00  1.57336760E-02
7.26724970E-02  1.23572683E+00  1.56308468E-02
7.29649417E-02  1.22408891E+00  1.56255364E-02
7.32573863E-02  1.23310745E+00  1.55802732E-02
7.35498310E-02  1.27181876E+00  1.57206468E-02
