### DATA:
#
# 2226
#      Q             I(Q)           Error     
8.33467270E-03  3.04582767E+01  4.82372135E-01
8.62711735E-03  2.62442722E+01  4.11880761E-01
8.91956201E-03  2.37353687E+01  3.58722061E-01
9.21200666E-03  2.14405251E+01  3.20866704E-01
9.50445132E-03  2.03528957E+01  2.92431474E-01
9.79689598E-03  1.84951725E+01  2.68866092E-01
1.00893406E-02  1.69857178E+01  2.49117449E-01
1.03817853E-02  1.52830706E+01  2.05201983E-01
1.06742299E-02  1.37156277E+01  1.76495314E-01
1.09666746E-02  1.26603880E+01  1.58217773E-01
1.12591193E-02  1.17927036E+01  1.39395222E-01
1.15515639E-02  1.06212387E+01  1.26246661E-01
1.18440086E-02  1.00484190E+01  1.19632512E-01
1.21364532E-02  9.57440567E+00  1.13916457E-01
1.24288979E-02  8.67304802E+00  1.06299810E-01
1.27213425E-02  8.45773506E+00  1.02234878E-01
1.30137872E-02  7.78711605E+00  9.53341797E-02
1.33062318E-02  7.39496088E+00  9.32269618E-02
1.35986765E-02  7.04616547E+00  9.00620073E-02
1.38911212E-02  6.75739241E+00  8.55983570E-02
1.41835658E-02  6.38949299E+00  7.90152177E-02
1.44760105E-02  6.04954386E+00  7.31520206E-02
1.47684551E-02  5.75075436E+00  7.15110898E-02
1.50608998E-02  5.56037331E+00  6.80171177E-02
1.53533444E-02  5.23476601E+00  6.35275915E-02
1.56457891E-02  5.12056541E+00  6.34153113E-02
1.59382338E-02  4.89613342E+00  5.91745265E-02
1.62306784E-02  4.67679405E+00  5.83324619E-02
1.65231231E-02  4.54623365E+00  5.64238206E-02
1.68155677E-02  4.32856417E+00  5.32044135E-02
1.71080124E-02  4.18035507E+00  5.28017953E-02
1.74004570E-02  4.00541019E+00  5.01185544E-02
1.76929017E-02  3.86058402E+00  4.90215570E-02
1.79853463E-02  3.89456248E+00  4.80079018E-02
1.82777910E-02  3.61782575E+00  4.58688177E-02
1.85702357E-02  3.56268835E+00  4.59979437E-02
1.88626803E-02  3.41329217E+00  4.36562337E-02
1.91551250E-02  3.43386531E+00  4.34283949E-02
1.94475696E-02  3.25460601E+00  4.14742529E-02
1.97400143E-02  3.17189908E+00  4.06887867E-02
2.00324589E-02  3.12034464E+00  4.10642773E-02
2.03249036E-02  3.04223990E+00  3.90094891E-02
2.06173482E-02  2.98551750E+00  3.80266719E-02
2.09097929E-02  2.95885515E+00  3.73225287E-02
2.12022376E-02  2.94703102E+00  3.78353447E-02
2.14946822E-02  2.82526898E+00  3.66763435E-02
2.17871269E-02  2.78976011E+00  3.56462486E-02
2.20795715E-02  2.78736448E+00  3.52042131E-02
2.23720162E-02  2.71674323E+00  3.48014496E-02
