### DATA:
#
# 2226
#      Q             I(Q)           Error     
8.33467270E-03  3.01803150E+01  4.91663903E-01
8.62711735E-03  2.64521408E+01  4.23410416E-01
8.91956201E-03  2.30042038E+01  3.61610144E-01
9.21200666E-03  2.23487301E+01  3.35436463E-01
9.50445132E-03  2.01983166E+01  2.98294693E-01
9.79689598E-03  1.84203186E+01  2.74746567E-01
1.00893406E-02  1.67286682E+01  2.53145218E-01
1.03817853E-02  1.49693737E+01  2.07948089E-01
1.06742299E-02  1.33611765E+01  1.78371131E-01
1.09666746E-02  1.22084026E+01  1.59088239E-01
1.12591193E-02  1.16041002E+01  1.41587138E-01
1.15515639E-02  1.04972229E+01  1.28512800E-01
1.18440086E-02  9.89178848E+00  1.21538714E-01
1.21364532E-02  9.45152378E+00  1.15893312E-01
1.24288979E-02  8.73959255E+00  1.09261982E-01
1.27213425E-02  8.14205551E+00  1.02710761E-01
1.30137872E-02  7.62486458E+00  9.65946913E-02
1.33062318E-02  7.32329750E+00  9.49956700E-02
1.35986765E-02  7.03402281E+00  9.21391025E-02
1.38911212E-02  6.66993475E+00  8.70790184E-02
1.41835658E-02  6.20125389E+00  7.97065794E-02
1.44760105E-02  5.93744326E+00  7.42064491E-02
1.47684551E-02  5.68822479E+00  7.28242844E-02
1.50608998E-02  5.47481203E+00  6.91079050E-02
1.53533444E-02  5.20474768E+00  6.48620203E-02
1.56457891E-02  5.06653452E+00  6.45903349E-02
1.59382338E-02  4.86347961E+00  6.03891090E-02
1.62306784E-02  4.65248251E+00  5.95738217E-02
1.65231231E-02  4.42221498E+00  5.69814406E-02
1.68155677E-02  4.26751280E+00  5.40928729E-02
1.71080124E-02  4.20604181E+00  5.42320199E-02
1.74004570E-02  4.03712511E+00  5.15214428E-02
1.76929017E-02  3.96610522E+00  5.08767813E-02
1.79853463E-02  3.74019122E+00  4.81733866E-02
1.82777910E-02  3.68706822E+00  4.74145040E-02
1.85702357E-02  3.45764518E+00  4.63998504E-02
1.88626803E-02  3.44465327E+00  4.49064970E-02
1.91551250E-02  3.41543460E+00  4.43488136E-02
1.94475696E-02  3.24887061E+00  4.24299426E-02
1.97400143E-02  3.11219740E+00  4.12691496E-02
2.00324589E-02  3.13275290E+00  4.21311036E-02
2.03249036E-02  3.05647159E+00  4.00369130E-02
2.06173482E-02  2.96719885E+00  3.88176031E-02
2.09097929E-02  2.93986154E+00  3.80933844E-02
2.12022376E-02  2.78479338E+00  3.76598649E-02
2.14946822E-02  2.87533545E+00  3.78858708E-02
2.17871269E-02  2.82850051E+00  3.67523767E-02
2.20795715E-02  2.69589186E+00  3.54507864E-02
2.23720162E-02  2.67780352E+00  3.53784934E-02
2.26644608E-02  2.73040557E+00  3.53971832E-02
2.29569055E-02  2.71637964E+00  3.48110795E-02
2.32493502E-02  2.64056849E+00  3.41494083E-02
2.35417948E-02  2.52325296E+00  3.32988463E-02
2.38342395E-02  2.55043125E+00  3.29478979E-02
2.41266841E-02  2.58448339E+00  3.30476053E-02
2.44191288E-02  2.60023332E+00  3.32680419E-02
2.47115734E-02  2.58599544E+00  3.26297209E-02
2.50040181E-02  2.61689901E+00  3.33342664E-02
2.52964627E-02  2.59398389E+00  3.24908607E-02
2.55889074E-02  2.57489920E+00  3.20761688E-02
2.58813521E-02  2.60663319E+00  3.22002955E-02
2.61737967E-02  2.60088992E+00  3.23848687E-02
2.64662414E-02  2.66858006E+00  3.30311321E-02
2.67586860E-02  2.71567655E+00  3.26103009E-02
2.70511307E-02  2.57227969E+00  3.16673741E-02
2.73435753E-02  2.68269801E+00  3.23757529E-02
2.76360200E-02  2.70354128E+00  3.25373821E-02
2.79284646E-02  2.68541908E+00  3.25367935E-02
2.82209093E-02  2.76109767E+00  3.24520767E-02
2.85133540E-02  2.79525495E+00  3.25117595E-02
2.88057986E-02  2.83662176E+00  3.28929275E-02
2.90982433E-02  2.93390512E+00  3.33441347E-02
2.93906879E-02  2.91047359E+00  3.35736945E-02
2.96831326E-02  3.01895237E+00  3.33958194E-02
2.99755772E-02  3.03917670E+00  3.36133689E-02
3.02680219E-02  3.13111782E+00  3.42265107E-02
3.05604666E-02  3.10398316E+00  3.37569006E-02
3.08529112E-02  3.25508475E+00  3.44612636E-02
3.11453559E-02  3.29890990E+00  3.45497169E-02
3.14378005E-02  3.32472420E+00  3.48640755E-02
3.17302452E-02  3.46750855E+00  3.52054015E-02
3.20226898E-02  3.56385851E+00  3.56190018E-02
3.23151345E-02  3.60650802E+00  3.60506624E-02
3.26075791E-02  3.70655608E+00  3.61430347E-02
3.29000238E-02  3.80356956E+00  3.69470194E-02
3.31924685E-02  3.91047001E+00  3.72358188E-02
3.34849131E-02  4.01346827E+00  3.69861722E-02
3.37773578E-02  4.02484179E+00  3.71826701E-02
3.40698024E-02  4.18568897E+00  3.78814787E-02
