### DATA:
#
# 1823
#      Q             I(Q)           Error     
8.75701299E-03  2.01460719E-02  2.55758804E-03
9.00368942E-03  2.35037562E-02  2.89237755E-03
9.25036584E-03  4.35590930E-02  4.15113848E-03
9.49704226E-03  3.52556482E-02  2.89278827E-03
9.74371868E-03  5.72332069E-02  3.46906646E-03
9.99039511E-03  4.83506247E-02  4.16738400E-03
1.02370715E-02  7.50899985E-02  5.01500443E-03
1.04837480E-02  6.77041188E-02  4.10815328E-03
1.07304244E-02  1.27151668E-01  8.95276107E-03
1.09771008E-02  1.66834995E-01  1.09263361E-02
1.12237772E-02  1.96739435E-01  1.39050819E-02
1.14704536E-02  2.24706754E-01  1.53788989E-02
1.17171301E-02  3.34369779E-01  2.41562929E-02
1.19638065E-02  5.66446483E-01  3.99064124E-02
1.22104829E-02  7.60690451E-01  5.55155724E-02
1.24571593E-02  6.69220505E+01  6.64116478E+00
1.27038358E-02  1.30270569E+02  1.23596735E+01
1.29505122E-02  1.53490021E+02  1.24458704E+01
1.31971886E-02  1.14671165E+02  8.99271393E+00
1.34438650E-02  1.07358727E+02  8.27782345E+00
1.36905414E-02  9.45862885E+01  7.09461832E+00
1.39372179E-02  7.28185501E+01  5.27308750E+00
1.41838943E-02  6.68185120E+01  4.63347530E+00
1.44305707E-02  5.25117607E+01  3.53428578E+00
1.46772471E-02  4.65837479E+01  3.04063296E+00
1.49239236E-02  4.07561264E+01  2.56113243E+00
1.51706000E-02  3.32931709E+01  2.07014990E+00
1.54172764E-02  3.34137039E+01  2.05952024E+00
1.56639528E-02  2.76876335E+01  1.66811919E+00
1.59106292E-02  2.57520065E+01  1.50554490E+00
1.61573057E-02  2.41424656E+01  1.34809947E+00
1.64039821E-02  1.93163128E+01  1.04266775E+00
1.66506585E-02  1.95007725E+01  1.01176858E+00
1.68973349E-02  1.61031189E+01  8.34178269E-01
1.71440114E-02  1.63624516E+01  8.21822166E-01
1.73906878E-02  1.34229956E+01  6.31770611E-01
1.76373642E-02  1.27555857E+01  5.95434785E-01
1.78840406E-02  1.18000774E+01  5.37237704E-01
1.81307170E-02  1.04420662E+01  4.74105150E-01
1.83773935E-02  1.03651323E+01  4.50838417E-01
1.86240699E-02  8.80407524E+00  3.79583299E-01
1.88707463E-02  8.28877640E+00  3.43935549E-01
1.91174227E-02  7.69313622E+00  3.15414965E-01
1.93640992E-02  6.63312435E+00  2.78602958E-01
1.96107756E-02  6.35508490E+00  2.63691336E-01
1.98574520E-02  5.83762074E+00  2.30042219E-01
2.01041284E-02  5.26977968E+00  2.03054130E-01
2.03508048E-02  4.55799150E+00  1.74589500E-01
2.05974813E-02  3.96415448E+00  1.47265136E-01
2.08441577E-02  3.62589669E+00  1.29695103E-01
2.10908341E-02  3.27129459E+00  1.09321497E-01
2.13375105E-02  3.08580184E+00  1.01691067E-01
2.15841870E-02  2.92083621E+00  9.24471989E-02
2.18308634E-02  2.78563309E+00  8.67857337E-02
2.20775398E-02  2.67107749E+00  8.00868794E-02
