### DATA:
#
# 2200
#      Q             I(Q)           Error     
9.55869783E-03  4.13880157E+00  7.19927698E-02
9.85281161E-03  3.79553723E+00  6.36312291E-02
1.01469254E-02  3.36317945E+00  5.68237603E-02
1.04410392E-02  3.05004048E+00  4.80813459E-02
1.07351529E-02  2.73992157E+00  4.09765877E-02
1.10292667E-02  2.50631285E+00  3.49789970E-02
1.13233805E-02  2.23060036E+00  2.98717301E-02
1.16174943E-02  2.05656433E+00  2.47116126E-02
1.19116081E-02  1.85483849E+00  2.12778561E-02
1.22057218E-02  1.70054376E+00  2.01194957E-02
1.24998356E-02  1.56097150E+00  1.83860138E-02
1.27939494E-02  1.44939601E+00  1.70860421E-02
1.30880632E-02  1.33261454E+00  1.62140634E-02
1.33821770E-02  1.26523125E+00  1.54838599E-02
1.36762907E-02  1.14527404E+00  1.45414779E-02
1.39704045E-02  1.09014213E+00  1.43726207E-02
1.42645183E-02  1.00397813E+00  1.31196938E-02
1.45586321E-02  9.30534065E-01  1.27065713E-02
1.48527459E-02  8.75775576E-01  1.23643354E-02
1.51468596E-02  8.47378016E-01  1.20174317E-02
1.54409734E-02  7.83926666E-01  1.13588711E-02
1.57350872E-02  7.37629831E-01  1.01802591E-02
1.60292010E-02  6.93618774E-01  9.80043504E-03
1.63233148E-02  6.56031847E-01  9.37475357E-03
1.66174285E-02  6.09078050E-01  8.69579241E-03
1.69115423E-02  6.14750266E-01  8.77409242E-03
1.72056561E-02  5.57555318E-01  8.07966292E-03
1.74997699E-02  5.39532900E-01  7.88416807E-03
1.77938836E-02  5.08886516E-01  7.61144608E-03
1.80879974E-02  4.89646882E-01  7.22730951E-03
1.83821112E-02  4.61479634E-01  6.99051097E-03
1.86762250E-02  4.45115238E-01  6.74262270E-03
1.89703388E-02  4.19510037E-01  6.51127426E-03
1.92644525E-02  4.08902049E-01  6.31852867E-03
1.95585663E-02  3.81660640E-01  5.98393520E-03
1.98526801E-02  3.74436587E-01  5.94643503E-03
2.01467939E-02  3.52259487E-01  5.69346594E-03
2.04409077E-02  3.46624106E-01  5.58562810E-03
2.07350214E-02  3.25713634E-01  5.29983593E-03
2.10291352E-02  3.12605858E-01  5.19210054E-03
