### DATA:
#
# 1786
#      Q             I(Q)           Error     
1.06204562E-02  4.53846025E+00  9.90271047E-02
1.09114276E-02  4.17007017E+00  7.78379813E-02
1.12023990E-02  3.86122775E+00  6.20448589E-02
1.14933704E-02  3.49416947E+00  5.91148399E-02
1.17843418E-02  3.28519368E+00  5.94410934E-02
1.20753132E-02  3.08673024E+00  4.74531129E-02
1.23662846E-02  2.86679912E+00  4.76218127E-02
1.26572560E-02  2.73475504E+00  4.47740369E-02
1.29482274E-02  2.62484288E+00  4.53069806E-02
1.32391988E-02  2.42979932E+00  4.44655530E-02
1.35301702E-02  2.36138296E+00  3.49251926E-02
1.38211416E-02  2.30840516E+00  4.21060398E-02
1.41121131E-02  2.15409517E+00  3.18566225E-02
1.44030845E-02  2.05727983E+00  3.18465382E-02
1.46940559E-02  2.00816298E+00  3.47221307E-02
1.49850273E-02  1.88274419E+00  2.52777170E-02
1.52759987E-02  1.86178064E+00  3.17119621E-02
1.55669701E-02  1.77789795E+00  2.51620039E-02
1.58579415E-02  1.73675811E+00  2.46176347E-02
1.61489129E-02  1.70756447E+00  2.31419448E-02
1.64398843E-02  1.61007905E+00  2.17918865E-02
1.67308557E-02  1.57833982E+00  2.44956166E-02
1.70218271E-02  1.58622944E+00  2.06788052E-02
1.73127985E-02  1.53496075E+00  1.93697717E-02
1.76037699E-02  1.55495834E+00  2.13973615E-02
1.78947413E-02  1.49385643E+00  2.24316251E-02
1.81857127E-02  1.46384871E+00  2.07251441E-02
1.84766841E-02  1.40140271E+00  2.13284325E-02
1.87676555E-02  1.40510964E+00  2.00054571E-02
1.90586269E-02  1.38612890E+00  2.13656258E-02
1.93495983E-02  1.38639045E+00  1.93139389E-02
1.96405697E-02  1.36537910E+00  1.76105388E-02
1.99315411E-02  1.33760595E+00  1.83581598E-02
2.02225125E-02  1.29175520E+00  1.66041553E-02
2.05134839E-02  1.31490803E+00  1.60579532E-02
2.08044553E-02  1.31312943E+00  1.63380112E-02
2.10954267E-02  1.32808256E+00  1.77888721E-02
2.13863981E-02  1.30671394E+00  1.68006457E-02
2.16773695E-02  1.25965154E+00  1.66787934E-02
2.19683409E-02  1.27880776E+00  1.42389378E-02
2.22593123E-02  1.29785955E+00  1.66028030E-02
2.25502837E-02  1.30459702E+00  1.32915359E-02
2.28412551E-02  1.29901242E+00  1.44088697E-02
2.31322265E-02  1.31329751E+00  1.40749514E-02
2.34231979E-02  1.31479490E+00  1.45704439E-02
2.37141694E-02  1.31811869E+00  1.42764384E-02
2.40051408E-02  1.31771863E+00  1.43545354E-02
2.42961122E-02  1.31869781E+00  1.44848321E-02
2.45870836E-02  1.31057441E+00  1.46179879E-02
2.48780550E-02  1.34929991E+00  1.30807310E-02
2.51690264E-02  1.33347976E+00  1.40295988E-02
2.54599978E-02  1.38370049E+00  1.29812546E-02
2.57509692E-02  1.38328111E+00  1.23837749E-02
2.60419406E-02  1.40609503E+00  1.44859562E-02
2.63329120E-02  1.42150676E+00  1.47848390E-02
2.66238834E-02  1.44393349E+00  1.43898781E-02
2.69148548E-02  1.48641407E+00  1.41812377E-02
2.72058262E-02  1.51738179E+00  1.39348144E-02
2.74967976E-02  1.52129042E+00  1.41835408E-02
2.77877690E-02  1.55619943E+00  1.43364212E-02
2.80787404E-02  1.60145199E+00  1.49135124E-02
2.83697118E-02  1.62687230E+00  1.46329924E-02
2.86606832E-02  1.64480257E+00  1.42166512E-02
2.89516546E-02  1.69925916E+00  1.67417917E-02
2.92426260E-02  1.74662030E+00  1.47497952E-02
2.95335974E-02  1.78662682E+00  1.62574537E-02
2.98245688E-02  1.86373866E+00  1.63392201E-02
3.01155402E-02  1.89381766E+00  1.60157625E-02
3.04065116E-02  1.97675538E+00  1.66928321E-02
3.06974830E-02  2.05678105E+00  1.86423324E-02
3.09884544E-02  2.15169954E+00  2.08278373E-02
3.12794258E-02  2.30346942E+00  2.46078838E-02
