### DATA:
#
# 1786
#      Q             I(Q)           Error     
1.06204562E-02  3.44515944E+00  6.53930530E-02
1.09114276E-02  3.35672617E+00  7.10405633E-02
1.12023990E-02  3.02170086E+00  5.58567718E-02
1.14933704E-02  2.75806999E+00  5.38300648E-02
1.17843418E-02  2.67367721E+00  5.52844256E-02
1.20753132E-02  2.42112446E+00  4.47036959E-02
1.23662846E-02  2.24109173E+00  4.26702388E-02
1.26572560E-02  2.10175371E+00  4.46618237E-02
1.29482274E-02  2.07059264E+00  4.04163264E-02
1.32391988E-02  1.94886672E+00  3.86806950E-02
1.35301702E-02  1.80049253E+00  3.42111774E-02
1.38211416E-02  1.72549510E+00  3.85706313E-02
1.41121131E-02  1.66024172E+00  3.02138645E-02
1.44030845E-02  1.63414407E+00  3.03685255E-02
1.46940559E-02  1.50811100E+00  2.98720170E-02
1.49850273E-02  1.49967837E+00  2.71904413E-02
1.52759987E-02  1.40009832E+00  2.69802716E-02
1.55669701E-02  1.35236692E+00  2.73650680E-02
1.58579415E-02  1.28648126E+00  2.66020596E-02
1.61489129E-02  1.23220050E+00  2.30843369E-02
1.64398843E-02  1.18698704E+00  2.12211460E-02
1.67308557E-02  1.18675482E+00  1.89158730E-02
1.70218271E-02  1.13529265E+00  2.23543532E-02
1.73127985E-02  1.13261914E+00  2.12324318E-02
1.76037699E-02  1.05220854E+00  2.02054977E-02
1.78947413E-02  1.04313946E+00  1.80260725E-02
1.81857127E-02  9.95438933E-01  2.02088524E-02
1.84766841E-02  1.03842235E+00  1.78606715E-02
1.87676555E-02  9.58018661E-01  1.70787834E-02
1.90586269E-02  9.33469355E-01  1.72402896E-02
1.93495983E-02  9.42819774E-01  1.52587723E-02
1.96405697E-02  9.06100452E-01  1.45762600E-02
1.99315411E-02  8.75382066E-01  1.75186824E-02
2.02225125E-02  8.72148216E-01  1.56790055E-02
2.05134839E-02  8.87028933E-01  1.57051869E-02
2.08044553E-02  8.59287798E-01  1.53559037E-02
2.10954267E-02  8.20197105E-01  1.43953552E-02
2.13863981E-02  8.30763936E-01  1.44569799E-02
2.16773695E-02  8.07813585E-01  1.43877463E-02
2.19683409E-02  7.99196362E-01  1.33126024E-02
2.22593123E-02  7.82711983E-01  1.24745630E-02
2.25502837E-02  7.80459106E-01  1.30498540E-02
2.28412551E-02  7.79782176E-01  1.18896281E-02
2.31322265E-02  7.83706427E-01  1.21923899E-02
2.34231979E-02  7.67297864E-01  1.10453237E-02
2.37141694E-02  7.28049695E-01  1.04258200E-02
2.40051408E-02  7.44338632E-01  1.10058067E-02
2.42961122E-02  7.14764893E-01  1.01351673E-02
2.45870836E-02  7.33343005E-01  1.08104246E-02
2.48780550E-02  7.30239868E-01  9.52446740E-03
2.51690264E-02  7.34295428E-01  1.11242449E-02
2.54599978E-02  7.40554750E-01  9.46175121E-03
2.57509692E-02  7.27683008E-01  1.02697574E-02
2.60419406E-02  7.15685725E-01  9.71344952E-03
2.63329120E-02  7.26824045E-01  1.02495393E-02
2.66238834E-02  7.28064299E-01  1.16315382E-02
2.69148548E-02  7.08815992E-01  9.73899942E-03
2.72058262E-02  7.12613642E-01  9.65861231E-03
2.74967976E-02  7.25780725E-01  1.02166822E-02
2.77877690E-02  7.35375285E-01  9.79397912E-03
2.80787404E-02  7.22137153E-01  9.99252964E-03
2.83697118E-02  7.46918917E-01  1.03835324E-02
2.86606832E-02  7.34671056E-01  9.61381104E-03
2.89516546E-02  7.20510006E-01  9.08352714E-03
2.92426260E-02  7.41067588E-01  8.85504298E-03
