feature,class,WT-W303-1bar-A,WT-W303-1bar-B,WT-W303-1bar-C,WT-W303-250bar-A,WT-W303-250bar-B,WT-W303-250bar-C
CL 60:1;0,CL,,,,,,
CL 61:1;0,CL,,,,,,
CL 62:1;0,CL,,,,,,
CL 62:2;0,CL,,,,,,
CL 64:2;0,CL,,,,,,
CL 64:3;0,CL,,,,,,
CL 66:2;0,CL,,,,,,
CL 66:3;0,CL,,,,,,
CL 68:2;0,CL,36.5177002,20.54599953,,,12.73390007,
CL 68:3;0,CL,22.3614006,,,,,
CL 68:4;0,CL,,,,,,
CL 70:3;0,CL,,,,,,
CL 70:4;0,CL,,,,,,
CL 72:4;0,CL,,,,,,
PA 10:0;0_16:0;0,PA,15.88799953,,,,,
PA 10:0;0_18:0;0,PA,1.726070046,1.334439993,,,,
PA 12:0;0_16:0;0,PA,17.40880013,12.96809959,7.09717989,0.867029011,,1.045029998
PA 12:0;0_16:1;0,PA,,,,,,
PA 12:0;0_18:0;0,PA,0.976199985,,,,,
PA 12:0;0_18:1;0,PA,1.815899968,1.024610043,0.801174998,,,
PA 14:0;0_14:0;0,PA,0.459113985,0.373587012,0.270837009,,,
PA 14:0;0_16:0;0,PA,4.797019958,3.710180044,1.579890013,,,
PA 14:0;0_16:1;0,PA,2.170540094,1.229529977,0.805963993,,,
PA 14:0;0_17:1;0,PA,,,,,,
PA 14:0;0_18:0;0,PA,,0.673367023,0.341174006,,,
PA 14:0;0_18:1;0,PA,12.22459984,7.925370216,4.4292202,,1.666970015,2.789989948
PA 14:1;0_16:0;0,PA,2.076220036,1.109249949,,,,
PA 14:1;0_18:0;0,PA,1.842229962,,,,,
PA 14:1;0_18:1;0,PA,,2.988500118,,,,
PA 15:0;0_16:1;0,PA,1.093250036,0.500580013,,,,
PA 15:0;0_17:1;0,PA,,,,,,
PA 15:0;0_18:1;0,PA,,,,,,
PA 16:0;0_16:0;0,PA,4.194479942,2.568779945,1.308050036,,0.874373019,
PA 16:0;0_16:1;0,PA,47.95510101,31.52890015,15.71640015,6.460780144,6.053850174,6.333950043
PA 16:0;0_17:1;0,PA,,,,,,
PA 16:0;0_18:0;0,PA,,3.467979908,,1.367409945,1.042479992,1.832929969
PA 16:0;0_18:1;0,PA,125.8809967,79.06400299,41.32580185,16.85059929,20.6413002,22.33279991
PA 16:0;0_19:1;0,PA,,,,,,
PA 16:1;0_16:1;0,PA,9.916939735,4.546350002,3.222660065,2.024980068,1.751330018,2.706629992
PA 16:1;0_17:0;0,PA,,,,,,
PA 16:1;0_18:0;0,PA,10.53460026,6.200160027,3.938549995,2.160459995,1.569970012,2.826230049
PA 16:1;0_18:1;0,PA,40.11259842,27.46929932,13.09070015,5.888120174,6.732130051,7.85187006
PA 16:1;0_19:1;0,PA,,,,,,
PA 16:1;0_20:1;0,PA,,,,,,
PA 17:0;0_17:0;0,PA,,,,,,
PA 17:0;0_17:1;0,PA,,,,,,
PA 17:0;0_19:1;0,PA,,,,,,
PA 17:1;0_17:1;0,PA,,,,,,
PA 17:1;0_18:0;0,PA,,,,,,
PA 17:1;0_18:1;0,PA,,,,,,
PA 17:1;0_19:1;0,PA,,,,,,
PA 18:0;0_18:0;0,PA,3.745369911,1.889320016,2.640170097,0.93197,,1.156569958
PA 18:0;0_18:1;0,PA,9.793950081,6.144879818,4.106679916,1.028699994,1.271980047,1.490180016
PA 18:0;0_19:1;0,PA,,,,,,
PA 18:1;0_18:1;0,PA,7.25812006,4.442289829,2.651809931,,0.707319021,
PA 19:1;0_19:1;0,PA,,,,,,
PC 10:0;0_16:0;0,PC,,3.058370113,,,,
PC 10:0;0_16:1;0,PC,,,,,,
PC 10:0;0_18:0;0,PC,,,,,,
PC 10:0;0_18:1;0,PC,,,,,,
PC 10:1;0_16:0;0,PC,,,,,,
PC 10:1;0_16:1;0,PC,,,,,,
PC 12:0;0_12:0;0,PC,,,,,,
PC 12:0;0_14:0;0,PC,3.595180035,2.647969961,2.662719965,,,
PC 12:0;0_14:1;0,PC,,,,,,
PC 12:0;0_16:0;0,PC,27.1637001,31.82550049,16.77160072,0.954849005,1.167840004,1.348119974
PC 12:0;0_16:1;0,PC,10.97290039,9.777779579,5.239369869,0.951134026,1.150900006,1.339949965
PC 12:0;0_18:0;0,PC,3.662990093,2.291160107,2.17118001,,,
PC 12:0;0_18:1;0,PC,13.50529957,6.211780071,4.179150105,,,1.550869942
PC 12:1;0_16:0;0,PC,,,,,,
PC 12:1;0_16:1;0,PC,,,,,,
PC 12:1;0_18:0;0,PC,,,,,,
PC 13:0;0_16:0;0,PC,,,,,,
PC 14:0;0_14:0;0,PC,2.408669949,2.566359997,1.240869999,,,
PC 14:0;0_14:1;0,PC,,,,,,
PC 14:0;0_15:0;0,PC,,,,,,
PC 14:0;0_15:1;0,PC,,,,,,
PC 14:0;0_16:0;0,PC,16.99570084,14.1104002,8.595170021,,1.377210021,
PC 14:0;0_16:1;0,PC,27.61700058,19.7852993,12.54080009,1.790279984,2.74951005,1.498870015
PC 14:0;0_17:1;0,PC,,1.13496995,,,,
PC 14:0;0_18:0;0,PC,,,,,,
PC 14:0;0_18:1;0,PC,73.51529694,47.86090088,21.53980064,3.661050081,4.739449978,4.664490223
PC 14:0;0_18:2;0,PC,,,,,,
PC 14:0;0_19:1;0,PC,,,,,,
PC 14:0;0_20:1;0,PC,,0.649132013,,,,
PC 14:1;0_14:1;0,PC,,,,,,
PC 14:1;0_15:0;0,PC,,,,,,
PC 14:1;0_16:0;0,PC,13.94820023,12.29800034,4.883150101,1.404610038,1.962849975,1.143589973
PC 14:1;0_16:1;0,PC,3.578949928,2.917059898,1.741459966,0.444196999,0.867717028,0.55923003
PC 14:1;0_17:1;0,PC,,,,,,
PC 14:1;0_18:0;0,PC,16.7798996,23.30080032,4.102980137,0.917326987,1.547330022,1.555600047
PC 14:1;0_18:1;0,PC,23.76390076,17.39599991,7.964379787,3.947419882,4.284029961,5.214119911
PC 14:1;0_18:2;0,PC,,,,,,
PC 14:1;0_19:1;0,PC,,,,,,
PC 15:0;0_15:0;0,PC,,,,,,
PC 15:0;0_16:1;0,PC,6.916039944,4.419670105,3.010349989,,1.303140044,
PC 15:0;0_17:1;0,PC,,,,,,
PC 15:0;0_18:1;0,PC,2.737210035,1.370300055,,0.364102989,0.43444699,0.375409991
PC 15:0;0_18:2;0,PC,,,,,,
PC 15:0;0_19:1;0,PC,,,,,,
PC 15:1;0_16:0;0,PC,32.48920059,26.50320053,11.07649994,,9.946880341,
PC 15:1;0_16:1;0,PC,,,,,0.496603012,
PC 15:1;0_18:0;0,PC,0.950767994,0.435586005,0.32772401,,,0.154531002
PC 15:1;0_18:1;0,PC,,0.847482979,0.439644009,,,
PC 16:0;0_16:0;0,PC,,,,,,
PC 16:0;0_16:1;0,PC,691.9039917,261.1860046,166.9299927,22.91570091,33.03490067,30.41550064
PC 16:0;0_16:2;0,PC,,4.284999847,,,,
PC 16:0;0_17:1;0,PC,2.78869009,1.227190018,1.135329962,,0.288296998,0.51581198
PC 16:0;0_18:1;0,PC,492.2669983,191.901001,110.137001,10.88519955,24.20499992,15.28800011
PC 16:0;0_18:2;0,PC,6.420770168,,,,,
PC 16:0;0_18:3;0,PC,,,,,,
PC 16:0;0_19:1;0,PC,,,,,,
PC 16:0;0_19:2;0,PC,,,,,,
PC 16:0;0_20:1;0,PC,1.510259986,0.699423015,,,,
PC 16:1;0_16:1;0,PC,350.3599854,117.1740036,73.19799805,38.34600067,51.34960175,40.07490158
PC 16:1;0_16:2;0,PC,,,,,,
PC 16:1;0_17:0;0,PC,2.757970095,1.419589996,1.099149942,0.623604,0.44936499,
PC 16:1;0_17:1;0,PC,4.301529884,0.819885015,0.534814,0.763278008,0.806191027,0.692740977
PC 16:1;0_18:0;0,PC,338.6400146,135.5449982,86.09719849,22.35969925,27.69499969,31.57390022
PC 16:1;0_18:1;0,PC,859.5960083,292.3330078,177.2259979,79.82189941,132.3809967,91.7457962
PC 16:1;0_18:2;0,PC,,,,,,
PC 16:1;0_19:1;0,PC,,,,,,
PC 16:1;0_20:0;0,PC,9.472780228,3.308259964,,,,
PC 16:1;0_20:1;0,PC,6.694169998,3.169179916,1.857849956,,0.633287013,
PC 16:1;0_22:0;0,PC,,,,,,
PC 16:1;0_24:0;0,PC,,,,,,
PC 16:1;0_26:0;0,PC,11.53129959,2.750629902,1.316720009,,,
PC 16:2;0_18:1;0,PC,,,,,,
PC 17:0;0_17:1;0,PC,,,,,,
PC 17:0;0_18:2;0,PC,,,,,,
PC 17:1;0_17:1;0,PC,,0.221438006,0.27076301,0.217498004,0.306481004,0.281152993
PC 17:1;0_18:0;0,PC,,,,,,
PC 17:1;0_18:1;0,PC,,,,,0.440133989,
PC 17:1;0_19:1;0,PC,,,,,,
PC 18:0;0_18:1;0,PC,137.6430054,54.21220016,34.79489899,5.402070045,6.384260178,6.97631979
PC 18:0;0_18:2;0,PC,2.097429991,0.704680026,,,,
PC 18:0;0_20:1;0,PC,,,,,,
PC 18:0;0_22:1;0,PC,,,,,,
PC 18:1;0_18:1;0,PC,115.2170029,38.09690094,22.28540039,6.836289883,8.350910187,8.733590126
PC 18:1;0_18:2;0,PC,,,,,,
PC 18:1;0_19:1;0,PC,,,,,,
PC 18:1;0_20:1;0,PC,4.484059811,1.921360016,,,,
PC 18:1;0_26:0;0,PC,,1.653069973,,,,
PC 19:1;0_19:1;0,PC,,,,,,
PE 10:0;0_16:0;0,PE,,0.589649022,,,,
PE 10:0;0_16:1;0,PE,,,,,,
PE 10:0;0_18:0;0,PE,,,,,,
PE 10:0;0_18:1;0,PE,,0.343787998,,,,
PE 12:0;0_14:0;0,PE,0.94660902,0.500374973,0.699111998,,,
