feature,class,fad2-Lkluyveri-0bar-A,fad2-Lkluyveri-0bar-B,fad2-Lkluyveri-0bar-C,fad2-Lkluyveri-250bar-A,fad2-Lkluyveri-250bar-B,fad2-Lkluyveri-250bar-C,FM628-Lkluyveri-0bar-A,FM628-Lkluyveri-0bar-B,FM628-Lkluyveri-0bar-C,FM628-Lkluyveri-250bar-A,FM628-Lkluyveri-250bar-B,FM628-Lkluyveri-250bar-C
Cer 32:0;2,Cer,0.595444024,1.046010017,1.473160028,NA,0.852303982,NA,NA,NA,0.776202023,0.969702005,0.827870011,NA
Cer 34:0;2,Cer,1.246600032,1.659160018,2.193779945,0.459843993,1.085970044,0.808147013,1.297369957,1.230190039,1.298220038,1.394449949,1.079640031,0.447912991
Cer 34:0;3,Cer,0.300287008,0.212102994,0.348327994,NA,NA,NA,0.226922005,0.328393012,0.255849987,NA,NA,NA
Cer 36:0;2,Cer,2.590909958,4.088870049,4.494649887,1.16700995,3.998539925,3.171319962,3.760519981,3.13815999,2.439500093,5.938270092,5.708079815,2.685230017
Cer 36:0;3,Cer,4.549950123,3.79798007,5.332960129,0.222682998,0.404924005,0.314568013,4.387959957,5.340680122,3.996609926,0.531247973,0.462271005,0.381727993
Cer 38:0;2,Cer,0.354252011,0.333512008,0.523141026,0.259193003,0.36509499,NA,0.416664988,0.431129009,0.369302988,0.451242,0.306340992,0.311120003
Cer 38:0;3,Cer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 40:0;2,Cer,0.322600991,0.403555989,0.430833995,NA,NA,NA,0.359239012,0.387977988,0.341426998,NA,NA,NA
Cer 42:0;2,Cer,6.311580181,7.841259956,9.843779564,1.897099972,3.316900015,4.14993,8.406629562,7.866260052,6.228919983,4.117619991,3.630949974,2.370359898
Cer 42:0;3,Cer,4.513259888,4.169280052,5.973760128,1.565379977,2.029910088,2.604969978,4.750730038,4.943779945,4.215760231,2.592799902,2.046129942,1.819190025
Cer 42:0;4,Cer,0.598145008,0.675768971,0.795984983,NA,NA,NA,0.699912012,0.835294008,0.620859981,NA,NA,NA
Cer 44:0;2,Cer,3.788140059,3.623399973,5.12018013,1.548140049,2.867449999,3.133249998,3.679389954,4.863480091,3.254699945,3.721210003,3.063309908,1.979689956
Cer 44:0;3,Cer,2.097549915,2.23232007,3.717590094,1.437710047,3.03557992,3.269350052,3.219700098,2.76748991,2.069600105,3.392699957,3.376140118,3.069030046
Cer 44:0;4,Cer,14.21590042,17.44499969,21.29450035,3.391469955,6.780700207,5.707660198,19.72900009,18.46549988,13.49230003,8.430060387,7.687980175,5.217939854
Cer 44:0;5,Cer,3.498950005,3.704859972,4.510350227,1.220059991,1.868520021,1.570680022,4.09292984,4.138400078,3.444360018,2.345099926,1.912350059,1.506469965
Cer 46:0;2,Cer,NA,0.204071999,0.217729002,0.218492001,0.561888993,0.447438002,NA,NA,NA,0.743252993,0.729758024,0.352798998
Cer 46:0;3,Cer,0.400281012,0.52926898,1.008170009,0.396495998,1.08841002,0.939122975,0.701636016,0.64991802,0.427747995,1.140810013,1.221320033,0.888220012
Cer 46:0;4,Cer,8.149330139,7.603950024,10.9968996,2.34032011,4.309209824,3.382009983,8.800840378,11.66600037,7.229430199,5.45442009,4.540880203,3.544070005
Cer 46:0;5,Cer,0.526076019,0.473396003,0.723558009,0.248783007,0.340077996,NA,0.586522996,0.739022017,0.533007026,0.404713988,0.329079002,0.305658013
CL 56:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 56:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 58:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 58:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 58:3;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 60:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 60:2;0,CL,3.104870081,1.503029943,4.670119762,NA,NA,NA,3.397599936,3.166349888,2.196749926,NA,NA,NA
CL 60:3;0,CL,4.465459824,3.20953989,4.953820229,NA,NA,NA,4.674880028,3.55208993,3.86548996,NA,NA,NA
CL 62:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 62:2;0,CL,NA,1.810979962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 62:3;0,CL,2.938159943,1.490640044,2.994800091,0.849097013,2.080760002,1.980209947,NA,NA,NA,NA,NA,NA
CL 64:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 64:3;0,CL,NA,NA,NA,NA,NA,1.425390005,NA,NA,NA,NA,NA,NA
CL 64:4;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 66:3;0,CL,1.957859993,NA,NA,NA,1.809820056,NA,NA,NA,NA,NA,NA,NA
CL 66:4;0,CL,11.91139984,8.368709564,14.72879982,12.06610012,11.91419983,17.62360001,8.688570023,10.29080009,11.15989971,11.00889969,8.66794014,13.80589962
CL 66:5;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.900160074,2.084180117,2.464210033
CL 68:2;0,CL,9.36166954,7.484920025,16.32360077,1.369619966,1.715229988,3.583529949,13.37849998,NA,10.73880005,2.347079992,1.560379982,2.579380035
CL 68:3;0,CL,14.30510044,14.23040009,19.83499908,3.337589979,3.40031004,NA,14.01469994,15.65909958,15.39690018,2.846290112,3.838020086,3.807440042
CL 68:4;0,CL,38.18510056,26.46750069,51.68970108,29.88459969,29.27319908,44.02090073,22.78289986,24.14620018,21.22060013,19.11630058,18.55780029,27.82119942
CL 68:5;0,CL,NA,NA,NA,NA,NA,NA,7.910550117,7.840060234,7.409279823,11.10270023,6.853340149,12.7784996
CL 68:6;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,2.171509981,3.895639896,1.76177001,2.420919895
CL 70:4;0,CL,NA,NA,NA,NA,62.98059845,NA,13.16629982,13.92790031,NA,NA,NA,14.17749977
CL 70:5;0,CL,NA,NA,NA,NA,NA,NA,6.193570137,8.630620003,4.551459789,6.720079899,5.219079971,6.975550175
CL 70:6;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.396450043,4.005819798,6.982140064
CL 70:7;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.113780022,NA,NA
CL 72:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,4.752049923,NA,NA,NA
CL 72:4;0,CL,5.01556015,3.923140049,7.080840111,2.836100101,3.282200098,6.390110016,2.553499937,NA,2.047189951,1.163450003,NA,NA
CL 72:5;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 72:6;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.263590097,0.819194019,NA
CL 72:7;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.745300055,NA,NA
DAG 10:0;0_16:0;0,DAG,1.728700042,1.827399969,2.586750031,NA,2.045660019,1.59552002,2.390399933,1.775359988,1.407619953,2.647510052,1.915899992,1.202209949
DAG 10:0;0_16:1;0,DAG,1.259940028,1.144829988,1.26602006,NA,1.116889954,1.311490059,1.349660039,0.861023009,NA,1.520110011,1.12421,1.035099983
DAG 10:0;0_17:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 10:0;0_18:0;0,DAG,NA,0.171487004,0.175143003,NA,0.327331007,0.220645994,0.193333998,0.125736997,0.128536001,0.358722001,0.306555003,0.161532998
DAG 10:0;0_18:1;0,DAG,0.763806999,0.772738993,0.929917991,0.503641009,0.744521976,0.823711991,0.685836017,0.525502026,0.488198012,0.691317976,0.643756986,0.608887017
DAG 10:0;0_18:2;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246286005,NA,NA
DAG 10:0;0_20:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 10:0;0_22:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 10:0;0_24:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 10:1;0_16:0;0,DAG,0.551373005,0.48655501,0.654017985,NA,0.348329991,0.271108001,0.74250102,0.420599997,NA,0.423231989,0.244580001,0.188968003
DAG 10:1;0_18:0;0,DAG,NA,NA,0.0405683,NA,0.088823102,NA,NA,NA,NA,0.095220797,NA,NA
DAG 10:1;0_18:1;0,DAG,NA,NA,NA,NA,NA,0.142995998,NA,0.204993993,NA,NA,NA,NA
DAG 11:0;0_16:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 12:0;0_14:0;0,DAG,0.218792006,0.255055994,0.318073004,NA,0.411718994,0.378574014,0.252512008,0.211447001,0.140160993,0.538272977,0.458797991,0.237836003
DAG 12:0;0_14:1;0,DAG,NA,NA,NA,NA,0.059323698,0.115659997,NA,NA,NA,NA,0.062040798,NA
DAG 12:0;0_15:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 12:0;0_16:0;0,DAG,1.36540997,1.446359992,2.2988801,NA,2.192480087,1.682170033,1.882840037,1.531669974,1.222319961,2.726399899,2.41215992,1.765580058
DAG 12:0;0_16:1;0,DAG,1.768620014,2.190269947,2.143349886,2.324090004,3.846740007,4.049759865,1.767539978,1.828050017,1.420539975,3.982439995,3.596470118,3.274450064
DAG 12:0;0_17:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 12:0;0_18:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 12:0;0_18:1;0,DAG,1.101979971,1.060799956,1.267969966,1.120849967,1.940369964,2.385349989,0.882053971,0.862471998,0.806643009,1.87954998,1.86995995,1.494879961
DAG 12:0;0_18:2;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543018997,0.379346013,0.340528995
DAG 12:0;0_20:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 12:0;0_22:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 12:1;0_14:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043080799,NA
DAG 12:1;0_16:0;0,DAG,0.333945006,0.37105301,0.452888995,0.225278005,0.675316989,0.593614995,0.436354995,0.338077992,0.27481401,0.690209985,0.728935003,0.538119972
DAG 12:1;0_16:1;0,DAG,NA,NA,NA,NA,NA,1.279569983,NA,0.934145987,NA,0.958540022,NA,1.257009983
DAG 12:1;0_18:0;0,DAG,NA,NA,NA,NA,0.073192298,NA,NA,NA,NA,NA,0.111063004,NA
DAG 12:1;0_18:1;0,DAG,0.248546004,0.222567007,0.343331993,0.283293009,0.456557006,0.501904011,0.247373998,0.217118993,0.240575999,0.305559993,0.319099993,0.276802003
DAG 13:0;0_16:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 13:0;0_18:1;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_14:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_14:1;0,DAG,0.207442999,0.228511006,0.316911012,NA,0.263128996,NA,0.213966995,0.227827996,0.157676995,0.294963002,0.252678007,NA
DAG 14:0;0_15:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_16:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_16:1;0,DAG,2.385469913,2.846810102,3.272200108,1.515959978,2.766469955,2.316260099,2.693919897,2.936470032,2.380880117,3.474950075,3.057120085,2.821059942
DAG 14:0;0_17:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_17:1;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_18:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_18:1;0,DAG,11.38169956,11.14430046,15.26729965,5.816530228,12.85270023,10.8114996,11.44460011,10.99960041,8.647939682,13.48340034,13.24779987,10.48960018
DAG 14:0;0_18:2;0,DAG,NA,NA,NA,NA,NA,NA,0.393875003,0.228659004,0.227312997,1.514000058,1.166919947,0.978690982
DAG 14:0;0_18:3;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27165401,0.199294999,NA
DAG 14:0;0_24:0;0,DAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
