feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,fad2-Lkluyveri-0bar-A,fad2-Lkluyveri-0bar-B,fad2-Lkluyveri-0bar-C,fad2-Lkluyveri-250bar-A,fad2-Lkluyveri-250bar-B,fad2-Lkluyveri-250bar-C,FM628-Lkluyveri-0bar-A,FM628-Lkluyveri-0bar-B,FM628-Lkluyveri-0bar-C,FM628-Lkluyveri-250bar-A,FM628-Lkluyveri-250bar-B,FM628-Lkluyveri-250bar-C,PtefM1-OLE1-wholeCell-trial1,PtefM1-OLE1-wholeCell-trial2,PtefM1-OLE1-wholeCell-trial3,PtefM2-OLE1-wholeCell-trial1,PtefM2-OLE1-wholeCell-trial2,PtefM2-OLE1-wholeCell-trial3,PtefM3-OLE1-wholeCell-trial1,PtefM3-OLE1-wholeCell-trial2,PtefM3-OLE1-wholeCell-trial3,PtefM4-OLE1-wholeCell-trial1,PtefM4-OLE1-wholeCell-trial2,PtefM4-OLE1-wholeCell-trial3,wildtype-isolatedMitoplasts-trial1,wildtype-isolatedMitoplasts-trial2,wildtype-isolatedMitoplasts-trial3,wildtype-wholeCell-trial1,wildtype-wholeCell-trial2,wildtype-wholeCell-trial3
,,,,,,,shortname,d1,d2,d3,d7,d8,d9,d4,d5,d6,d10,d11,d12,a16,a17,a18,a4,a5,a6,a7,a8,a9,a19,a20,a21,c1,c2,c3,a1,a2,a3
,,,,,,,cohort,Healthy4,Healthy4,Healthy4,Disease6,Disease6,Disease6,Healthy5,Healthy5,Healthy5,Disease6,Disease6,Disease6,Disease7-Cells,Disease7-Cells,Disease7-Cells,Disease1-Cells,Disease1-Cells,Disease1-Cells,Disease2-Cells,Disease2-Cells,Disease2-Cells,Disease8-Cells,Disease8-Cells,Disease8-Cells,Healthy3,Healthy3,Healthy3,Healthy1,Healthy1,Healthy1
Cer 32:0;2,Cer,SL,MEM,32,0,2,,0.00718931,0.013800174,0.014899836,NA,0.011140785,NA,NA,NA,0.01059971,0.010362592,0.010063513,NA,0.10467407,0.05233043,0.075109713,0.140234257,0.111422687,0.097539056,0.11449901,0.110476968,0.115926406,0.092400302,0.098531654,0.06461922,NA,NA,NA,0.057067279,0.082303463,0.069343545
Cer 34:0;2,Cer,SL,MEM,34,0,2,,0.01505128,0.021889558,0.02218833,0.01113879,0.014195122,0.009462566,0.014943354,0.013556474,0.017728317,0.014901605,0.013124006,0.006261903,0.098492798,0.04194632,0.069046218,0.189792711,0.135950394,0.095528376,0.108861756,0.085353649,0.082317955,0.051116398,0.062184826,0.045320906,NA,0.024552867,0.015571358,0.036189691,0.071101868,0.051667542
Cer 34:0;3,Cer,SL,MEM,34,0,3,,0.003625625,0.002798308,0.003523059,NA,NA,NA,0.002613731,0.003618832,0.003493853,NA,NA,NA,NA,NA,NA,0.00556479,0.004062351,0.003101912,0.003673656,0.003880573,0.005592235,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 36:0;2,Cer,SL,MEM,36,0,2,,0.031282296,0.053945102,0.04545979,0.028268453,0.052266416,0.037132877,0.043314384,0.034581961,0.033313484,0.063458539,0.0693869,0.037539994,0.044226685,0.018405456,0.03845009,0.084997197,0.062634365,0.044661447,0.066887716,0.04820409,0.053954556,0.027724644,0.034830158,0.03102505,NA,0.013370036,0.009331054,0.017937851,0.049604996,0.034686908
Cer 36:0;3,Cer,SL,MEM,36,0,3,,0.054935481,0.050107345,0.053938628,0.005394045,0.005292914,0.003683266,0.050541357,0.058853338,0.054577165,0.005677111,0.005619324,0.005336625,NA,NA,NA,0.004525314,0.002976497,NA,0.004715971,NA,0.005386787,NA,NA,NA,NA,NA,NA,NA,NA,0.00234847
Cer 38:0;2,Cer,SL,MEM,38,0,2,,0.004277191,0.004400076,0.005291153,0.006278426,0.004772294,NA,0.004799227,0.004750964,0.005043152,0.004822138,0.003723853,0.004349513,0.006369881,0.003231779,0.005968202,0.008308527,0.007693495,0.005344743,0.005868644,0.005607666,0.00671393,NA,0.004245097,0.003814297,NA,0.007097545,0.004414739,0.003334739,0.006035396,0.004515975
Cer 38:0;3,Cer,SL,MEM,38,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004752004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 40:0;2,Cer,SL,MEM,40,0,2,,0.003895041,0.005324177,0.004357541,NA,NA,NA,0.004137783,0.004275448,0.004662481,NA,NA,NA,0.005081548,0.004857292,0.005158205,0.006738732,0.008320993,0.008033807,0.008874256,0.009659325,0.01004926,NA,0.004280766,0.003441294,NA,NA,NA,0.003191884,0.003858422,0.004251084
Cer 42:0;2,Cer,SL,MEM,42,0,2,,0.076205164,0.103450968,0.099561959,0.045953406,0.043356445,0.048591388,0.096829158,0.086684776,0.08506129,0.044002402,0.044137498,0.033138053,0.062392777,0.053487576,0.064831577,0.086704741,0.098939124,0.089707291,0.078892956,0.089447885,0.085106487,0.068290055,0.054699078,0.049076499,0.025237523,0.010864018,0.016941981,0.053879044,0.057954251,0.06750391
Cer 42:0;3,Cer,SL,MEM,42,0,3,,0.054492488,0.055005964,0.060419807,0.03791816,0.026533717,0.030501504,0.054719812,0.054479569,0.057569852,0.027707614,0.02487257,0.0254326,0.032532645,0.027084591,0.028186402,0.018547037,0.020586526,0.018185729,0.019363152,0.019089473,0.025417013,0.020448245,0.016297335,0.013245906,0.016823954,0.012911467,0.009847168,0.013374187,0.012945817,0.012671936
Cer 42:0;4,Cer,SL,MEM,42,0,4,,0.007221922,0.008915526,0.008050752,NA,NA,NA,0.00806172,0.00920479,0.00847838,NA,NA,NA,0.009472191,0.009597209,0.009490226,0.013510796,0.014514041,0.014337423,0.013841054,0.016866427,0.016460658,0.008314252,0.005947466,0.005776898,NA,NA,NA,0.006240116,0.006317051,0.006619595
Cer 44:0;2,Cer,SL,MEM,44,0,2,,0.04573749,0.047804082,0.051786528,0.037500558,0.037481515,0.036687117,0.042379913,0.053594679,0.044445743,0.039766219,0.037237317,0.027676418,0.023311909,0.023101386,0.024780214,0.024069915,0.023973158,0.023759412,0.019589749,0.022485522,0.022643628,0.018556506,0.015655372,0.015006612,0.051522072,0.022894418,0.03557179,0.020153396,0.019783303,0.023986247
Cer 44:0;3,Cer,SL,MEM,44,0,3,,0.025325533,0.029451348,0.037600451,0.034825615,0.039679205,0.038280708,0.037085118,0.030497243,0.028262179,0.03625564,0.041040053,0.042905586,0.009855208,0.008900053,0.010003341,0.017354888,0.017621792,0.015561147,0.047172076,0.040338623,0.067427766,0.036875325,0.040531273,0.033014918,0.026090101,0.012597975,0.018214571,0.048088561,0.031745527,0.03823304
Cer 44:0;4,Cer,SL,MEM,44,0,4,,0.171640855,0.230154608,0.215376844,0.082151493,0.088633078,0.066830798,0.227242376,0.2034865,0.184249026,0.090086727,0.093454389,0.072947728,0.113400186,0.118543394,0.120770364,0.136737746,0.174486224,0.160605603,0.144287929,0.170327379,0.161730413,0.139801529,0.101295851,0.103866788,0.059360917,0.023130791,0.036382716,0.122434615,0.098022487,0.127809249
Cer 44:0;5,Cer,SL,MEM,44,0,5,,0.042245848,0.048878797,0.045618586,0.029553483,0.024424127,0.018391039,0.047143144,0.045604427,0.047035715,0.025060601,0.023246354,0.021060718,0.027232994,0.026457711,0.022778972,0.013465709,0.015202189,0.013097299,0.011738262,0.012637485,0.012563609,0.014904055,0.009711752,0.010130508,0.015081524,0.012279711,0.010017583,0.008719351,0.007246926,0.008522296
Cer 46:0;2,Cer,SL,MEM,46,0,2,,NA,0.002692354,0.002202155,0.005292526,0.007344662,0.005239036,NA,NA,NA,0.007942675,0.008870872,0.004932193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009415245,NA,0.009001677,NA,NA,NA
