id	annot	class	structuralcategory	functionalcategory	carbon	dbonds	hydrox	eid	frac_molar	sp	collection	depth	temp	tissue	mass	remarks
DAG 10:0;0_16:0;0	10:0;0_16:0;0	DG	GL	MEM	26	0	0	FM628-Lkluyveri-0bar-A	2.753308099752202e-4	NA	NA	NA	NA	NA	NA	NA
DAG 12:0;0_14:0;0	12:0;0_14:0;0	DG	GL	MEM	26	0	0	FM628-Lkluyveri-0bar-A	2.9084809997382367e-5	NA	NA	NA	NA	NA	NA	NA
DAG 10:0;0_16:1;0	10:0;0_16:1;0	DG	GL	MEM	26	1	0	FM628-Lkluyveri-0bar-A	1.5545640998600893e-4	NA	NA	NA	NA	NA	NA	NA
DAG 10:1;0_16:0;0	10:1;0_16:0;0	DG	GL	MEM	26	1	0	FM628-Lkluyveri-0bar-A	8.552267999230296e-5	NA	NA	NA	NA	NA	NA	NA
DAG 10:0;0_18:0;0	10:0;0_18:0;0	DG	GL	MEM	28	0	0	FM628-Lkluyveri-0bar-A	2.2268579997995823e-5	NA	NA	NA	NA	NA	NA	NA
DAG 12:0;0_16:0;0	12:0;0_16:0;0	DG	GL	MEM	28	0	0	FM628-Lkluyveri-0bar-A	2.1686909998048175e-4	NA	NA	NA	NA	NA	NA	NA
DAG 10:0;0_18:1;0	10:0;0_18:1;0	DG	GL	MEM	28	1	0	FM628-Lkluyveri-0bar-A	7.899589999289036e-5	NA	NA	NA	NA	NA	NA	NA
DAG 12:0;0_16:1;0	12:0;0_16:1;0	DG	GL	MEM	28	1	0	FM628-Lkluyveri-0bar-A	2.03588619981677e-4	NA	NA	NA	NA	NA	NA	NA
DAG 12:1;0_16:0;0	12:1;0_16:0;0	DG	GL	MEM	28	1	0	FM628-Lkluyveri-0bar-A	5.026019999547658e-5	NA	NA	NA	NA	NA	NA	NA
DAG 14:0;0_14:1;0	14:0;0_14:1;0	DG	GL	MEM	28	1	0	FM628-Lkluyveri-0bar-A	2.464512999778194e-5	NA	NA	NA	NA	NA	NA	NA
DAG 12:0;0_18:1;0	12:0;0_18:1;0	DG	GL	MEM	30	1	0	FM628-Lkluyveri-0bar-A	1.015966499908563e-4	NA	NA	NA	NA	NA	NA	NA
DAG 14:0;0_16:1;0	14:0;0_16:1;0	DG	GL	MEM	30	1	0	FM628-Lkluyveri-0bar-A	3.102908199720738e-4	NA	NA	NA	NA	NA	NA	NA
