eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar,group
1A,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.023928173,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,0.191407565,1bar
1B,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.011341134,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,0.090720628,1bar
250A,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.042594397,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,0.340723464,250bar
250B,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.047147931,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,0.377148343,250bar
1A,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.040777465,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,0.160966676,1bar
1B,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.044224558,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,0.174573876,1bar
250A,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.08110353,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,0.320151474,250bar
250B,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.087223063,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,0.344307974,250bar
1A,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.006801358,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,0.189707989,1bar
1B,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.009000822,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,0.251056889,1bar
250A,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.006600602,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,0.18410835,250bar
250B,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.013448941,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,0.375126773,250bar
1A,CL 62:3_28.55,0.040520271,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,0.158339687,1bar
250A,CL 62:3_28.55,0.076669579,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,0.299599108,250bar
250B,CL 62:3_28.55,0.118072534,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,0.461388029,250bar
250C,CL 62:3_28.55,0.020644849,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,0.080673176,250bar
1A,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.696472674,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.188451802,1bar
1B,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.535758501,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.17059895,1bar
1C,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.847283596,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.205204556,1bar
250A,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,2.815580647,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.312767341,250bar
250C,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.1070614,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.122977351,250bar
1A,CL 63:2_28.57 | 14:1_16:0_16:0_17:1,0.026515951,CL,1,NA,63,2,28.57,NA,14,1,NA,16,0,NA,NA,NA,FALSE,14:1_16:0_16:0_17:1,0.190043954,1bar
250A,CL 63:2_28.57 | 14:1_16:0_16:0_17:1,0.062344829,CL,1,NA,63,2,28.57,NA,14,1,NA,16,0,NA,NA,NA,FALSE,14:1_16:0_16:0_17:1,0.44683511,250bar
250B,CL 63:2_28.57 | 14:1_16:0_16:0_17:1,0.050664579,CL,1,NA,63,2,28.57,NA,14,1,NA,16,0,NA,NA,NA,FALSE,14:1_16:0_16:0_17:1,0.363120936,250bar
1A,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.213851203,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,0.20856277,1bar
1B,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.194340869,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,0.189534917,1bar
1C,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.377959598,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,0.368612847,1bar
250A,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.068610044,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,0.066913352,250bar
250B,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.121720767,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,0.118710673,250bar
250C,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.048874073,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,0.047665441,250bar
1A,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.021139067,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,0.160939754,1bar
1C,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.022476303,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,0.171120642,1bar
250A,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.027422753,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,0.208779841,250bar
250B,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.060309581,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,0.459159763,250bar
1B,CL 64:1_28.94 | 14:0_16:0_17:0_17:1,0.009777815,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:0_17:1,0.290024955,1bar
250A,CL 64:1_28.94 | 14:0_16:0_17:0_17:1,0.01931378,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:0_17:1,0.572876283,250bar
250B,CL 64:1_28.94 | 14:0_16:0_17:0_17:1,0.004622107,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:0_17:1,0.137098761,250bar
1A,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.066182419,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,0.176324795,1bar
1B,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.044561876,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,0.118722824,1bar
1C,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.05694679,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,0.151719008,1bar
