eid	id	rab	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar_2	group	sp	collection	depth
1A	PE 28:0_11.58 | 14:0/14:0	3.684505916	PE	2	NA	28	0	11.58	NA	14	0	NA	14	0	NA	NA	NA	TRUE	14:0/14:0	0.001017026	1bar	Ecoli	NA	1
1A	PE 28:0_11.58 | 16:0/12:0	1.271764011	PE	2	NA	28	0	11.58	NA	16	0	NA	12	0	NA	NA	NA	TRUE	16:0/12:0	3.51042e-4	1bar	Ecoli	NA	1
1A	PE 29:0_12.53 | 15:0/14:0	1.501011049	PE	2	NA	29	0	12.53	NA	15	0	NA	14	0	NA	NA	NA	TRUE	15:0/14:0	4.14321e-4	1bar	Ecoli	NA	1
1A	PE 29:0_12.53 | 16:0/13:0	1.409469217	PE	2	NA	29	0	12.53	NA	16	0	NA	13	0	NA	NA	NA	TRUE	16:0/13:0	3.89053e-4	1bar	Ecoli	NA	1
1A	PE 29:1_11.25 | 12:0/17:1	0.434016516	PE	2	NA	29	1	11.25	NA	12	0	NA	17	1	NA	NA	NA	TRUE	12:0/17:1	1.19801e-4	1bar	Ecoli	NA	1
1A	PE 30:0_13.67 | 16:0/14:0	85.6903039	PE	2	NA	30	0	13.67	NA	16	0	NA	14	0	NA	NA	NA	TRUE	16:0/14:0	0.023652905	1bar	Ecoli	NA	1
1A	PE 30:1_11.94 | 16:1/14:0	0.31779579	PE	2	NA	30	1	11.94	NA	16	1	NA	14	0	NA	NA	NA	TRUE	16:1/14:0	8.77205e-5	1bar	Ecoli	NA	1
1A	PE 30:1_12.22 | 16:0/14:1	2.430812336	PE	2	NA	30	1	12.22	NA	16	0	NA	14	1	NA	NA	NA	TRUE	16:0/14:1	6.70972e-4	1bar	Ecoli	NA	1
1A	PE 31:0_15.01 | 16:0/15:0	9.505643698	PE	2	NA	31	0	15.01	NA	16	0	NA	15	0	NA	NA	NA	TRUE	16:0/15:0	0.002623822	1bar	Ecoli	NA	1
1A	PE 31:1_13.18 | 14:0/17:1	9.220006256	PE	2	NA	31	1	13.18	NA	14	0	NA	17	1	NA	NA	NA	TRUE	14:0/17:1	0.002544978	1bar	Ecoli	NA	1
1A	PE 32:0_16.64 | 16:0/16:0	50.16752657	PE	2	NA	32	0	16.64	NA	16	0	NA	16	0	NA	NA	NA	TRUE	16:0/16:0	0.013847632	1bar	Ecoli	NA	1
1A	PE 32:1_14.36 | 15:0/17:1	5.92017529	PE	2	NA	32	1	14.36	NA	15	0	NA	17	1	NA	NA	NA	TRUE	15:0/17:1	0.001634133	1bar	Ecoli	NA	1
1A	PE 32:1_14.36 | 16:0/16:1	8.713736938	PE	2	NA	32	1	14.36	NA	16	0	NA	16	1	NA	NA	NA	TRUE	16:0/16:1	0.002405234	1bar	Ecoli	NA	1
1A	PE 33:0_18.55 | 16:0/17:0	1.727418373	PE	2	NA	33	0	18.55	NA	16	0	NA	17	0	NA	NA	NA	TRUE	16:0/17:0	4.76815e-4	1bar	Ecoli	NA	1
1A	PE 33:1_16.00 | 16:0/17:1	131.5022545	PE	2	NA	33	1	16	NA	16	0	NA	17	1	NA	NA	NA	TRUE	16:0/17:1	0.036298277	1bar	Ecoli	NA	1
1A	PE 33:2_13.89 | 16:1_17:1	0.221255733	PE	2	NA	33	2	13.89	NA	16	1	NA	17	1	NA	NA	NA	FALSE	16:1_17:1	6.10727e-5	1bar	Ecoli	NA	1
1A	PE 34:0_20.50 | 16:0/18:0	3.613289253	PE	2	NA	34	0	20.5	NA	16	0	NA	18	0	NA	NA	NA	TRUE	16:0/18:0	9.97368e-4	1bar	Ecoli	NA	1
1A	PE 34:1_17.17 | 16:0/18:1	11.76388118	PE	2	NA	34	1	17.17	NA	16	0	NA	18	1	NA	NA	NA	TRUE	16:0/18:1	0.003247158	1bar	Ecoli	NA	1
