eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
1A,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.023928173,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,6.60484E-06,1bar
1B,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.011341134,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,3.13047E-06,1bar
250A,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.042594397,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,1.17572E-05,250bar
250B,CL 62:1_28.64 | 14:0_15:0_16:0_17:1,0.047147931,CL,1,NA,62,1,28.64,NA,14,0,NA,15,0,NA,NA,NA,FALSE,14:0_15:0_16:0_17:1,1.30141E-05,250bar
1A,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.040777465,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,1.12557E-05,1bar
1B,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.044224558,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,1.22072E-05,1bar
250A,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.08110353,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,2.23868E-05,250bar
250B,CL 62:1_28.64 | 14:0_16:0_16:0_16:1,0.087223063,CL,1,NA,62,1,28.64,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_16:1,2.4076E-05,250bar
1A,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.006801358,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,1.87736E-06,1bar
1B,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.009000822,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,2.48448E-06,1bar
250A,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.006600602,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,1.82195E-06,250bar
250B,CL 62:1_28.64 | 15:0_15:0_16:0_16:1,0.013448941,CL,1,NA,62,1,28.64,NA,15,0,NA,15,0,NA,NA,NA,FALSE,15:0_15:0_16:0_16:1,3.71228E-06,250bar
1A,CL 62:3_28.55,0.040520271,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,1.11847E-05,1bar
250A,CL 62:3_28.55,0.076669579,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,2.11629E-05,250bar
250B,CL 62:3_28.55,0.118072534,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,3.25913E-05,250bar
250C,CL 62:3_28.55,0.020644849,CL,1,NA,62,3,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,62:03:00,5.69855E-06,250bar
1A,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.696472674,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.000468274,1bar
1B,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.535758501,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.000423912,1bar
1C,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.847283596,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.000509902,1bar
250A,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,2.815580647,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.000777179,250bar
250C,CL 63:1_28.82 | 14:0_16:0_16:0_17:1,1.1070614,CL,1,NA,63,1,28.82,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_17:1,0.00030558,250bar
1A,CL 63:2_28.57 | 14:1_16:0_16:0_17:1,0.026515951,CL,1,NA,63,2,28.57,NA,14,1,NA,16,0,NA,NA,NA,FALSE,14:1_16:0_16:0_17:1,7.31914E-06,1bar
250A,CL 63:2_28.57 | 14:1_16:0_16:0_17:1,0.062344829,CL,1,NA,63,2,28.57,NA,14,1,NA,16,0,NA,NA,NA,FALSE,14:1_16:0_16:0_17:1,1.72089E-05,250bar
250B,CL 63:2_28.57 | 14:1_16:0_16:0_17:1,0.050664579,CL,1,NA,63,2,28.57,NA,14,1,NA,16,0,NA,NA,NA,FALSE,14:1_16:0_16:0_17:1,1.39848E-05,250bar
1A,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.213851203,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,5.90289E-05,1bar
1B,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.194340869,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,5.36435E-05,1bar
1C,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.377959598,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,0.000104327,1bar
250A,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.068610044,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,1.89383E-05,250bar
250B,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.121720767,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,3.35983E-05,250bar
250C,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.048874073,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,1.34906E-05,250bar
1A,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.021139067,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,5.83497E-06,1bar
1C,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.022476303,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,6.20408E-06,1bar
250A,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.027422753,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,7.56944E-06,250bar
250B,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.060309581,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,1.66471E-05,250bar
1B,CL 64:1_28.94 | 14:0_16:0_17:0_17:1,0.009777815,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:0_17:1,2.69895E-06,1bar
