eid	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	ms2	annot	frac_molar
K562 1b 6hrs 1	PC 28:0_12.24 | 14:0/14:0	135.86581161558246		PC	2	NA	28	0	12.24	NA	14	0	NA	14	0	NA	NA	NA	TRUE	TRUE	14:0/14:0	0.0034001022375849564
K562 1b 6hrs 1	PC 28:1_10.76 | 14:0_14:1	0.7993466774961212		PC	2	NA	28	1	10.76	NA	14	0	NA	14	1	NA	NA	NA	FALSE	TRUE	14:0_14:1	2.0004005381799454e-5
K562 1b 6hrs 1	PC 28:1_10.76 | 12:0_16:1	0.43298123236271985		PC	2	NA	28	1	10.76	NA	12	0	NA	16	1	NA	NA	NA	FALSE	TRUE	12:0_16:1	1.0835547511791637e-5
K562 1b 6hrs 1	PC 28:1_10.76 | 10:0_18:1	0.1567338001554934		PC	2	NA	28	1	10.76	NA	10	0	NA	18	1	NA	NA	NA	FALSE	TRUE	10:0_18:1	3.922332912724947e-6
K562 1b 6hrs 1	PC 29:0_13.10 | 14:0_15:0	1.3233709745619184		PC	2	NA	29	0	13.1	NA	14	0	NA	15	0	NA	NA	NA	FALSE	TRUE	14:0_15:0	3.311794599581889e-5
K562 1b 6hrs 1	PC 29:0_13.10 | 13:0_16:0	0.2496242171082346		PC	2	NA	29	0	13.1	NA	13	0	NA	16	0	NA	NA	NA	FALSE	TRUE	13:0_16:0	6.246956824918848e-6
K562 1b 6hrs 1	PC 29:0_13.46 | 14:0_15:0	7.108531969068649		PC	2	NA	29	0	13.46	NA	14	0	NA	15	0	NA	NA	NA	FALSE	TRUE	14:0_15:0	1.7789416753612855e-4
K562 1b 6hrs 1	PC 29:0_13.46 | 13:0_16:0	1.2382986071547608		PC	2	NA	29	0	13.46	NA	13	0	NA	16	0	NA	NA	NA	FALSE	TRUE	13:0_16:0	3.098897224342163e-5
K562 1b 6hrs 1	PC 30:0_14.88 | 16:0/14:0	592.3667371202546		PC	2	NA	30	0	14.88	NA	16	0	NA	14	0	NA	NA	NA	TRUE	TRUE	16:0/14:0	0.014824240509100077
K562 1b 6hrs 1	PC 30:1_12.67 | 14:0/16:1	146.22717192313405		PC	2	NA	30	1	12.67	NA	14	0	NA	16	1	NA	NA	NA	TRUE	TRUE	14:0/16:1	0.003659399878008352
K562 1b 6hrs 1	PC 31:0_16.01 | 16:0/15:0	16.845107888542422		PC	2	NA	31	0	16.01	NA	16	0	NA	15	0	NA	NA	NA	TRUE	TRUE	16:0/15:0	4.215563013471463e-4
K562 1b 6hrs 1	PC 31:0_16.01 | 14:0_17:0	3.0123056495737237		PC	2	NA	31	0	16.01	NA	14	0	NA	17	0	NA	NA	NA	FALSE	TRUE	14:0_17:0	7.538428584509887e-5
K562 1b 6hrs 1	PC 31:0_16.57 | 16:0/15:0	8.766657320644864		PC	2	NA	31	0	16.57	NA	16	0	NA	15	0	NA	NA	NA	TRUE	TRUE	16:0/15:0	2.1938949039219894e-4
K562 1b 6hrs 1	PC 31:0_16.57 | 14:0_17:0	1.0374842968586855		PC	2	NA	31	0	16.57	NA	14	0	NA	17	0	NA	NA	NA	FALSE	TRUE	14:0_17:0	2.5963504999987034e-5
K562 1b 6hrs 1	PC 31:1_13.99 | 15:0/16:1	8.34275774073322		PC	2	NA	31	1	13.99	NA	15	0	NA	16	1	NA	NA	NA	TRUE	TRUE	15:0/16:1	2.0878121526374417e-4
K562 1b 6hrs 1	PC 31:1_13.99 | 14:0_17:1	5.765733285545749		PC	2	NA	31	1	13.99	NA	14	0	NA	17	1	NA	NA	NA	FALSE	TRUE	14:0_17:1	1.4429003450087784e-4
K562 1b 6hrs 1	PC 32:0_18.62 | 16:0/16:0	615.5496162313179		PC	2	NA	32	0	18.62	NA	16	0	NA	16	0	NA	NA	NA	TRUE	TRUE	16:0/16:0	0.015404402348210952
K562 1b 6hrs 1	PC 32:0_21.50 | 16:0/16:0	1.874195802808852		PC	2	NA	32	0	21.5	NA	16	0	NA	16	0	NA	NA	NA	TRUE	TRUE	16:0/16:0	4.69025817976408e-5
K562 1b 6hrs 1	PC 32:1_15.42 | 16:0/16:1	1528.7147462436594		PC	2	NA	32	1	15.42	NA	16	0	NA	16	1	NA	NA	NA	TRUE	TRUE	16:0/16:1	0.03825676502076002
K562 1b 6hrs 1	PC 32:1_15.42 | 14:0/18:1	444.94274505819743		PC	2	NA	32	1	15.42	NA	14	0	NA	18	1	NA	NA	NA	TRUE	TRUE	14:0/18:1	0.011134889675925366
K562 1b 6hrs 1	PC 32:2_13.16 | 16:1/16:1	77.93427936740183		PC	2	NA	32	2	13.16	NA	16	1	NA	16	1	NA	NA	NA	TRUE	TRUE	16:1/16:1	0.0019503399310741906
K562 1b 6hrs 1	PC 33:0_19.58 | 16:0/17:0	4.3166330749602855		PC	2	NA	33	0	19.58	NA	16	0	NA	17	0	NA	NA	NA	TRUE	TRUE	16:0/17:0	1.0802565857062449e-4
K562 1b 6hrs 1	PC 33:0_20.01 | 16:0/17:0	7.582197707761525		PC	2	NA	33	0	20.01	NA	16	0	NA	17	0	NA	NA	NA	TRUE	TRUE	16:0/17:0	1.8974786287601102e-4
K562 1b 6hrs 1	PC 33:0_20.01 | 15:0_18:0	0.8982568333041954		PC	2	NA	33	0	20.01	NA	15	0	NA	18	0	NA	NA	NA	FALSE	TRUE	15:0_18:0	2.2479275930614538e-5
K562 1b 6hrs 1	PC 33:1_17.37 | 16:0/17:1	66.10259000991772		PC	2	NA	33	1	17.37	NA	16	0	NA	17	1	NA	NA	NA	TRUE	TRUE	16:0/17:1	0.0016542466535937948
K562 1b 6hrs 1	PC 33:1_17.37 | 15:0/18:1	39.78728154983686		PC	2	NA	33	1	17.37	NA	15	0	NA	18	1	NA	NA	NA	TRUE	TRUE	15:0/18:1	9.95694379744224e-4
K562 1b 6hrs 1	PC 33:1_17.37 | 16:1_17:0	10.74892224550926		PC	2	NA	33	1	17.37	NA	16	1	NA	17	0	NA	NA	NA	FALSE	TRUE	16:1_17:0	2.68996549934061e-4
K562 1b 6hrs 1	PC 34:0_22.87 | 18:0/16:0	313.5532085414219		PC	2	NA	34	0	22.87	NA	18	0	NA	16	0	NA	NA	NA	TRUE	TRUE	18:0/16:0	0.007846808209412401
K562 1b 6hrs 1	PC 34:0_25.35 | 16:0_18:0	0.9650333925779719		PC	2	NA	34	0	25.35	NA	16	0	NA	18	0	NA	NA	NA	FALSE	TRUE	16:0_18:0	2.4150388964167066e-5
K562 1b 6hrs 1	PC 34:1_19.12 | 16:0/18:1	3993.9370243582193		PC	2	NA	34	1	19.12	NA	16	0	NA	18	1	NA	NA	NA	TRUE	TRUE	16:0/18:1	0.09995004668073772
K562 1b 6hrs 1	PC 34:1_20.44 | 16:0/18:1	139.25904117678527		PC	2	NA	34	1	20.44	NA	16	0	NA	18	1	NA	NA	NA	TRUE	TRUE	16:0/18:1	0.0034850193133856644
K562 1b 6hrs 1	PC 34:2_16.05 | 18:1/16:1	395.450364468214		PC	2	NA	34	2	16.05	NA	18	1	NA	16	1	NA	NA	NA	TRUE	TRUE	18:1/16:1	0.009896320885245806
K562 1b 6hrs 1	PC 34:2_16.46 | 16:1/18:1	192.6693528310967		PC	2	NA	34	2	16.46	NA	16	1	NA	18	1	NA	NA	NA	TRUE	TRUE	16:1/18:1	0.004821636067862155
K562 1b 6hrs 1	PC 34:2_16.46 | 16:0/18:2	162.10977847443527		PC	2	NA	34	2	16.46	NA	16	0	NA	18	2	NA	NA	NA	TRUE	TRUE	16:0/18:2	0.004056869156199947
K562 1b 6hrs 1	PC 34:2_17.05 | 18:1/16:1	133.30848435383675		PC	2	NA	34	2	17.05	NA	18	1	NA	16	1	NA	NA	NA	TRUE	TRUE	18:1/16:1	0.00333610398783026
K562 1b 6hrs 1	PC 34:2_17.05 | 16:0/18:2	110.53855009858059		PC	2	NA	34	2	17.05	NA	16	0	NA	18	2	NA	NA	NA	TRUE	TRUE	16:0/18:2	0.002766276277015043
