eid	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	ms2	annot	frac_molar	sp	pres_gro	time_gro	rep	remarks
K562 1b 6hrs 1	P-PE 28:1_12.05 | P-10:0/18:1	0.6606682830829113	NA	P-PE	2	NA	28	1	12.05	NA	10	0	NA	18	1	NA	NA	NA	TRUE	TRUE	P-10:0/18:1	1.65335170113832e-5	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 29:1_13.21 | P-11:0/18:1	0.33552041235290847	NA	P-PE	2	NA	29	1	13.21	NA	11	0	NA	18	1	NA	NA	NA	TRUE	TRUE	P-11:0/18:1	8.396547234592992e-6	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 30:0_17.46 | P-16:0/14:0	3.5868332645762906	NA	P-PE	2	NA	30	0	17.46	NA	16	0	NA	14	0	NA	NA	NA	TRUE	TRUE	P-16:0/14:0	8.976209440558986e-5	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 30:1_14.57 | P-12:0/18:1	3.9937566869373433	NA	P-PE	2	NA	30	1	14.57	NA	12	0	NA	18	1	NA	NA	NA	TRUE	TRUE	P-12:0/18:1	9.994553365674036e-5	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 30:1_14.57 | P-14:0/16:1	1.424728813745561	NA	P-PE	2	NA	30	1	14.57	NA	14	0	NA	16	1	NA	NA	NA	TRUE	TRUE	P-14:0/16:1	3.565447090747337e-5	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 32:0_18.76 | P-16:0	4.181702344689685	NA	P-PE	2	NA	32	0	18.76	NA	16	0	NA	16	0	NA	NA	NA	FALSE	TRUE	P-16:0	1.0464895715871888e-4	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 32:0_21.60 | P-16:0	11.376976706488488	NA	P-PE	2	NA	32	0	21.6	NA	16	0	NA	16	0	NA	NA	NA	FALSE	TRUE	P-16:0	2.847138915721672e-4	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 32:0_21.60 | P-18:0/14:0	3.392081661378654	NA	P-PE	2	NA	32	0	21.6	NA	18	0	NA	14	0	NA	NA	NA	TRUE	TRUE	P-18:0/14:0	8.488834909813095e-5	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 32:1_18.23 | P-16:0/16:1	108.07955186504722	NA	P-PE	2	NA	32	1	18.23	NA	16	0	NA	16	1	NA	NA	NA	TRUE	TRUE	P-16:0/16:1	0.00270473875483315	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 32:4_12.41 | P-12:0/20:4	1.2680880756219437	NA	P-PE	2	NA	32	4	12.41	NA	12	0	NA	20	4	NA	NA	NA	TRUE	TRUE	P-12:0/20:4	3.173446691340025e-5	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 33:1_20.23 | P-16:0/17:1	4.941076378510644	NA	P-PE	2	NA	33	1	20.23	NA	16	0	NA	17	1	NA	NA	NA	TRUE	TRUE	P-16:0/17:1	1.2365262939131776e-4	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 33:1_20.23 | P-15:0/18:1	3.820896350792123	NA	P-PE	2	NA	33	1	20.23	NA	15	0	NA	18	1	NA	NA	NA	TRUE	TRUE	P-15:0/18:1	9.561962702336297e-5	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 34:0_22.76 | P-18:0/16:0	65.45033249854939	NA	P-PE	2	NA	34	0	22.76	NA	18	0	NA	16	0	NA	NA	NA	TRUE	TRUE	P-18:0/16:0	0.00163792361987755	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 34:0_25.26 | P-18:0/16:0	32.88727622915849	NA	P-PE	2	NA	34	0	25.26	NA	18	0	NA	16	0	NA	NA	NA	TRUE	TRUE	P-18:0/16:0	8.230186841353375e-4	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 34:1_22.23 | P-16:0/18:1	676.5667682622327	NA	P-PE	2	NA	34	1	22.23	NA	16	0	NA	18	1	NA	NA	NA	TRUE	TRUE	P-16:0/18:1	0.01693138365928848	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 34:2_18.85 | P-18:1/16:1	28.8926241921645	NA	P-PE	2	NA	34	2	18.85	NA	18	1	NA	16	1	NA	NA	NA	TRUE	TRUE	P-18:1/16:1	7.230507439460425e-4	Homo_sapi	1	6	1	NA
K562 1b 6hrs 1	P-PE 34:2_19.28 | P-16:0/18:2	27.67006515600887	NA	P-PE	2	NA	34	2	19.28	NA	16	0	NA	18	2	NA	NA	NA	TRUE	TRUE	P-16:0/18:2	6.924556614526353e-4	Homo_sapi	1	6	1	NA
