time (s),POPE A,POPE B,POPE C,SoyPI A,SoyPI B,SoyPI C,xPE A,xPE B,xPE C,POPG A,POPG B,POPG C
0.05,0.0013474,0.006000869,0.009708187,0.009485273,0.007816293,0.014653729,0.014773777,0.000906014,0.003587012,3.037E-08,-4.92E-07,-4.75E-07
0.15,0,0.005459618,0.0164709,0.027783978,0.017985544,0.008141759,-4.32E-11,0.013141997,0.004956656,0.004460292,-0.005247687,-0.003870523
0.25,0.005824583,0.006987556,0.017356641,0,0,0.011097888,0.01349414,0.003177307,0.021373003,0.008676849,-0.005953119,-0.008019854
0.35,0.001517489,0,0,0.00120463,0.028519757,0.016396058,0.023199077,0.002675983,0.006180477,0.017685895,-0.00752679,-0.003251513
0.45,0.011499833,0.018309464,0.041717773,0.011001154,0.008566005,0,0.010136907,0.003708134,-3.06E-11,0.007780951,-0.002754311,0.005836085
0.55,0.008905938,0.01591291,0.027985971,0.017969744,0.018794005,0.013411578,0.009742649,0.001339965,0.000215634,0.005960619,-0.002363092,0.00254851
0.65,0.009106671,0.014962071,0.029314508,0.010243135,0.01630283,0.013166146,0.013589931,0.01366933,0.003295465,0.02250622,-0.007595447,-0.008306457
0.75,0.011276079,0.038423915,0.0168621,0.017259473,0.021229035,0.006618982,0.018953889,0.002800279,0.003629049,0.012323779,-0.00174931,0.008528644
0.85,0.013671077,0.027220574,0.023855547,0.009440033,0.01573486,0.025198535,0.015286824,0.006838881,0.000103341,0.017085927,-0.007290385,-0.006955707
0.95,0.033970422,0.024979058,0.001980436,0.022395473,0.00695514,0.016445242,0.016247442,0.003617169,0.005697062,0.002710795,-0.008812223,0.005889202
1.05,0.024912932,0.017017954,0.032335145,0.032768131,0.024036285,0.022480141,0.022750422,0.014751971,0.002617891,0.015197255,-0.018100524,-0.001592764
1.15,0.023147992,0.027257957,0.015093851,0.017498071,0.011952989,0.023897333,0.018969454,0.006274241,0.003981607,0.009290033,0.003247937,-0.001655099
1.25,0.009029595,0.018868001,0.019994756,0.020210338,0.027407124,0.020991296,0.023014881,0.011424897,0.00148602,0.008657641,-0.012958175,-0.000166967
1.35,0.025753902,0.025354789,0.025834281,0.012262236,0.005269818,0.001931346,0.016767618,0.000157884,-6.54E-05,0.004717552,-0.000764059,0.009289027
1.45,0.013125613,0.018941593,0.011116625,0.022824078,0.009601647,0.024053001,0.009901452,0.009854208,0.000800065,0.002186229,0.000846897,-0.002923245
1.55,0.024366115,0.023997765,0.017341323,0.015798575,0.002798104,0.013225516,0.017619074,0.014326175,0.005378516,0.015766454,0.002867306,-0.021275033
1.65,0.022410744,0.033730552,0.026821828,0.016595451,0.014838532,0.02407147,0.017866897,3.46098E-11,-0.000493661,0.024423974,0.004910938,-0.001354443
1.75,0.014294703,0.024752728,0.028009866,0.016835004,0.007231782,0.016659768,0.013376993,0.005909736,0.002466909,0.015729454,-0.017148533,0.000560899
1.85,0.036405032,0.02807499,0.025320254,0.010591309,0.015165474,0.024188748,0.01525568,0.011124506,0.003717574,0.012817704,-0.008834042,-0.013964578
1.95,0.021471791,0.017760701,0.018013789,0.02329464,0.012028089,0.016984815,0.020486051,0.007568659,0.008652987,0.010650427,-0.001464097,0.006921059
2.05,0.029142476,0.038761197,0.036287737,0.015205345,0.015903235,0.027088859,0.011318341,0.002539484,0.002987883,0.010423354,-0.003694639,-0.000397164
2.15,0.025954685,0.048744283,0.030769709,0.005014882,0.027262885,0.006829785,0.010002791,0.0121021,0.00254221,0.008465335,-0.009710955,-0.001191116
2.25,0.02243634,0.037996282,0.036371936,0.009529381,0.021141726,0.027470267,0.016444592,0.009014006,-0.000669308,-0.004926449,-0.008624879,0.00348494
2.35,0.019267852,0.033930392,0.025268819,0.022983228,0.010751953,0.014957772,0.010232256,0.00598451,0.009346408,0.011673879,0.000851002,-0.009087344
2.45,0.01429293,0.03934241,0.0393013,0.020731897,0.008775496,0.006428094,0.017333405,0.004897179,0.003932529,0.017514699,-0.005111199,-0.00058825
2.55,0.02166958,0.029277395,0.02850858,0.011368375,0.025738806,0.011364391,0.022292992,0.008180989,0.003617295,0.002158591,0.002696875,0.012237855
2.65,0.034184871,0.029097362,0.044885384,0.026410774,0.002990656,0.017025383,0.00939032,-0.001421655,-0.002899441,0.012403963,-0.006643239,-0.007358648
2.75,0.04862571,0.041541453,0.041776323,0.023149407,0.030297817,0.019771564,0.020760099,0.002520075,0.006767923,0.005621769,-0.009076578,-0.002314385
2.85,0.055046215,0.0297132,0.032079695,0.020259782,0.011838156,0.017841353,0.013408597,0.017867824,0.003079294,0.030558842,-0.001315027,-0.001834317
2.95,0.036046074,0.046038435,0.040774176,0.012340552,0.005703127,0.021106074,0.012016701,0.008469851,0.003602792,0.004173404,0.003788095,-0.003527654
