feature,class,WT-W303-1bar-A,WT-W303-1bar-B,WT-W303-1bar-C,WT-W303-250bar-A,WT-W303-250bar-B,WT-W303-250bar-C,FM628-Lkluyveri-0bar-A,FM628-Lkluyveri-0bar-B,FM628-Lkluyveri-0bar-C,FM628-Lkluyveri-250bar-A,FM628-Lkluyveri-250bar-B,FM628-Lkluyveri-250bar-C
CL 56:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 56:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 58:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 58:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 58:3;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 60:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 60:2;0,CL,NA,NA,NA,NA,NA,NA,0.084448656,0.078255846,0.069117481,NA,NA,NA
CL 60:3;0,CL,NA,NA,NA,NA,NA,NA,0.11619594433602504,0.087789351,0.12162191390168953,NA,NA,NA
CL 61:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 62:1;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 62:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 62:3;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 64:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 64:3;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 64:4;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 66:2;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 66:3;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 66:4;0,CL,NA,NA,NA,NA,NA,NA,0.2159577556440693,0.25433552611393173,0.3511297081938638,0.25870347090893075,0.21340515339168326,0.513965068
CL 66:5;0,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091651752,0.051312627,0.091737439
CL 68:2;0,CL,0.5966325149198765,0.5879417830198193,NA,NA,0.855862506,NA,0.33252777176415543,NA,0.33788043135638074,0.055155170591921834,0.038416639,0.09602498
CL 68:3;0,CL,0.36534443856102516,NA,NA,NA,NA,NA,0.348340767,0.38701221433888994,0.4844406498070087,0.066886351,0.094492261,0.1417431122048071
CL 68:4;0,CL,NA,NA,NA,NA,NA,NA,0.5662777543145526,0.5967695876630924,0.6676747394664146,0.4492232148755646,0.4568940432830072,1.0357256706765954
