samp,lipid_guest,frac_guest,ts,la_midpt
DM0001,DOPE,1,0.12,
DM0002,DOPE,1,0.12,
DM0003,DOPE,1,0,
DM0004,DOPE,1,0,
DM0005,Soy PI (10%),0.1,0.12,
DM0006,Soy PI (10%),0.1,0.12,
DM0009,Soy PI,1,0.12,
DM0010,Soy PI,1,0.12,
DM0011,Soy PI ,1,0,
DM0012,Soy PI ,1,0,
DM0013,DOPI (10%),0.1,0.12,
DM0017,W303 ,1,0,
DM0018,W303 ,1,0,
D1M0013,W303a,1,0,
D1M0014,W303a,1,0,
D1M0007,pem2-,1,0,
D1M0008,pem2-,1,0,
D1M0009,psd1- ,1,0,
D1M0010,PSD1- ,1,0,
D1M0011,CHO,1,0,
D1M0012,CHO,1,0,
D2M0010,DOPC (20%),0.2,0.12,
KV0001,DOPE (5 mM Ca++)k,1,0.12,
D3M0001,DOPG,0.2,0.12,
D3M0003,DOPE (5 mM Ca++),1,0.12,
D3M0004,DOPE,1,0.12,
D3M0006,POPC,0.2,0.12,
D3M0010,W303,1,0,
D3M0011,1 bar,1,0,
D3M0012,125 bar,1,0,
D3M0013,250 bar,1,0,
