GP values,W303_1,W303_250,FM628_1,FM628_250,K562_1,K562_250
-1,0,0,0,0,3.79E-06,0.0002933
-0.98,0,0,0,0,0.0001252,0.001432
-0.96,0,0,0,0,0.0002845,0.002805
-0.94,0,0,0,0,0.0003604,0.00363
-0.92,0,0,0,0.00002315,0.0004324,0.004058
-0.9,0,0,0.00002023,0.00002315,0.0006411,0.004041
-0.88,0,0,0.00001011,0.00003858,0.0009218,0.004482
-0.86,0,0,0.00009101,0.0001312,0.001252,0.004824
-0.84,0,0.00001029,0.0002427,0.0001157,0.001578,0.005494
-0.82,0,0.00001029,0.000182,0.0001543,0.002234,0.005835
-0.8,0,0,0.0004955,0.0002315,0.002655,0.006529
-0.78,0,0.00001029,0.0005158,0.0003395,0.003456,0.007333
-0.76,0,0.00002059,0.000809,0.0006019,0.004093,0.008092
-0.74,0,0.00006177,0.0007787,0.000926,0.004715,0.008796
-0.72,0.00002441,0.0001132,0.001547,0.001127,0.005534,0.009048
-0.7,0.00002441,0.00009265,0.002063,0.001389,0.007048,0.01032
-0.68,0.00002441,0.0001132,0.002609,0.001883,0.008,0.01115
-0.66,0.00009765,0.0002574,0.003408,0.00233,0.009187,0.01223
-0.64,0.0001953,0.0002985,0.004055,0.003156,0.01084,0.01243
-0.62,0.0001465,0.00035,0.00541,0.004098,0.01202,0.01337
-0.6,0.0003174,0.0006074,0.006664,0.004931,0.01264,0.01443
-0.58,0.0003784,0.0008544,0.008232,0.005903,0.01459,0.01529
-0.56,0.0006347,0.001071,0.01009,0.007346,0.01617,0.01594
-0.54,0.001013,0.001349,0.01187,0.00926,0.01735,0.01695
-0.52,0.001269,0.001781,0.01314,0.01078,0.01872,0.01745
-0.5,0.001855,0.002429,0.01578,0.01213,0.02044,0.01838
-0.48,0.002429,0.002594,0.01736,0.01506,0.02182,0.01852
-0.46,0.0031,0.003428,0.01962,0.01664,0.02283,0.01933
-0.44,0.004089,0.004334,0.02213,0.01934,0.02331,0.01949
-0.42,0.005639,0.006012,0.02489,0.02165,0.02491,0.0199
-0.4,0.006896,0.006743,0.02655,0.02347,0.02563,0.02057
-0.38,0.008459,0.008524,0.02799,0.02702,0.02633,0.02044
-0.36,0.0104,0.01051,0.03103,0.02918,0.0267,0.02123
