1bar_Ex340_Em440,,1bar_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,567.9370117,0.01439583302,236.7766876,
0.5041666627,565.7476196,0.5145416856,242.1322327,
1.004166722,564.4136963,1.01447916,236.9442749,
1.504166722,558.180542,1.51447916,233.4971161,
2.004166603,556.8291016,2.01447916,236.6708679,
2.504166603,556.553833,2.51447916,238.4843445,
3.004166603,560.3388062,3.01447916,244.2624817,
3.504166603,553.5056152,3.51447916,242.647583,
4.004166603,553.5792847,4.01447916,236.2966614,
4.504166603,545.5742188,4.51447916,235.5375366,
5.004166603,543.8772583,5.01447916,243.5508423,
5.504166603,539.4678345,5.51447916,243.4530334,
6.004166603,546.842041,6.01447916,242.5912018,
6.504166603,532.7593384,6.51447916,243.8249054,
7.004166603,531.7938232,7.01447916,250.1677856,
7.504166603,531.6438599,7.51447916,246.1881561,
8.004166603,529.4293213,8.014478683,248.484848,
8.504166603,527.2474976,8.514478683,248.6686707,
9.004166603,526.7608643,9.014479637,253.7254944,
9.504166603,514.99646,9.514479637,252.8807831,
10.0041666,513.3447876,10.01447964,246.5179443,
10.5041666,516.800354,10.51447964,253.4052124,
11.0041666,510.8671265,11.01447964,254.3073578,
11.5041666,532.1569824,11.51447964,257.3579102,
12.0041666,517.5166016,12.01447964,246.812973,
12.5041666,524.7625732,12.51447964,247.9285126,
13.0041666,529.581665,13.01447964,249.5835571,
13.5041666,527.4918213,13.51447964,248.1794891,
14.0041666,530.0366211,14.01447964,244.022995,
14.5041666,538.109375,14.51447964,241.8868256,
15.0041666,537.9240723,15.01447964,247.9885864,
15.5041666,552.9660034,15.51447964,238.3008575,
16.00416756,548.7069702,16.01447868,241.8148193,
16.50416756,554.8721924,16.51447868,242.1605072,
17.00416756,547.5366821,17.01447868,237.0404816,
17.50416756,557.4418945,17.51447868,237.0679626,
18.00416756,554.4135742,18.01447868,243.2598267,
18.50416756,557.0388184,18.51447868,236.2488556,
19.00416756,559.427124,19.01447868,240.1377563,
19.50416756,559.7334595,19.51447868,236.9483337,
20.00416756,557.8806152,20.01447868,238.9162903,
20.50416756,562.3486328,20.51447868,235.0705109,
21.00416756,561.2094727,21.01447868,239.5296478,
21.50416756,556.6478271,21.51447868,232.8591003,
22.00416756,567.7658691,22.01447868,232.652771,
22.50416756,560.2544556,22.51447868,235.9180298,
23.00416756,564.2987671,23.01447868,237.1581268,
23.50416756,570.9688721,23.51447868,234.8863525,
24.00416756,564.1138916,24.01447868,231.7729645,
24.50416756,572.166626,24.51447868,236.0746918,
25.00416756,568.6148682,25.01447868,238.2881622,
25.50416756,562.3922119,25.51447868,234.6748657,
26.00416756,563.6178589,26.01447868,234.334137,
26.50416756,564.1724854,26.51447868,236.2484589,
27.00416756,552.6271973,27.01447868,240.1857147,
27.50416756,562.9438477,27.51447868,235.9558716,
28.00416756,560.0393066,28.01447868,232.6178741,
28.50416756,562.3500366,28.51447868,240.1200256,
29.00416756,553.6697998,29.01447868,231.9005432,
29.50416756,552.9744263,29.51447868,237.3600922,
30.00416756,558.5463867,30.01447868,236.3698578,
30.50416756,553.3748779,30.51447868,241.5482025,
31.00416756,552.8772583,31.01447868,243.8265533,
31.50416756,556.7166138,31.51447868,235.5196838,
32.00416565,556.2391968,32.01448059,242.9661255,
32.50416565,550.8567505,32.51448059,241.4870148,
33.00416565,551.0189819,33.01448059,239.7011108,
33.50416565,544.8319702,33.51448059,242.0428162,
34.00416565,547.6124878,34.01448059,242.2246246,
34.50416565,539.2746582,34.51447678,242.4071045,
35.00416565,543.7342529,35.01447678,245.3190765,
35.50416565,540.0835571,35.51447678,237.3156128,
36.00416565,528.0983276,36.01447678,248.5291748,
36.50416565,538.4394531,36.51447678,243.5931702,
37.00416565,531.4163208,37.01447678,245.8006897,
37.50416565,534.0855713,37.51447678,245.1485901,
38.00416565,519.8199463,38.01447678,247.0789642,
38.50416565,526.1797485,38.51447678,241.3642731,
39.00416565,527.6853638,39.01447678,244.5302277,
39.50416565,525.081665,39.51447678,244.1631927,
40.00416565,524.5735474,40.01447678,250.6640015,
40.50416565,514.4326172,40.51447678,241.6876984,
41.00416565,526.5397949,41.01447678,240.8662109,
41.50416565,519.6733398,41.51447678,247.9501953,
42.00416565,521.6885376,42.01447678,241.6415863,
42.50416565,519.8583374,42.51447678,239.3901215,
43.00416565,522.6942139,43.01447678,244.9854584,
43.50416565,517.9970703,43.51447678,243.1665192,
44.00416565,520.4570923,44.01447678,244.1567688,
44.50416565,523.1578369,44.51447678,246.7945709,
45.00416565,519.3173828,45.01447678,249.0440216,
45.50416565,517.1075439,45.51447678,246.2028351,
46.00416565,518.4833374,46.01447678,245.3202667,
46.50416565,516.0961914,46.51447678,244.8158417,
47.00416565,518.1077881,47.01447678,246.0768127,
47.50416565,529.272644,47.51447678,248.7469025,
48.00416565,520.4317627,48.01447678,248.4368896,
48.50416565,521.4856567,48.51447678,248.0491486,
49.00416565,517.907959,49.01447678,258.3731995,
49.50416565,522.6057739,49.51447678,245.8978577,
50.00416565,516.1127319,50.01447678,245.9708099,
50.50416565,516.9240112,50.51447678,246.9680023,
51.00416565,521.1937866,51.01447678,249.0612488,
51.50416565,522.0021973,51.51447678,249.4081726,
52.00416565,509.6118469,52.01447678,245.1452484,
52.50416565,513.3476563,52.51447678,249.3595276,
53.00416565,517.1755371,53.01447678,254.3150177,
53.50416565,506.2710571,53.51447678,249.5473175,
54.00416565,507.1095276,54.01447678,249.9124908,
54.50416565,493.506012,54.51447678,256.8009338,
55.00416565,494.1870728,55.01447678,254.8410645,
55.50416565,489.5869446,55.51447678,251.0000458,
56.00416565,489.7993469,56.01447678,256.5062866,
56.50416565,484.1178589,56.51447678,255.4145813,
57.00416565,479.969635,57.01447678,256.6879883,
57.50416565,475.0873718,57.51447678,257.008606,
58.00416565,468.990387,58.01447678,262.122467,
58.50416565,465.4711304,58.51447678,263.3802795,
59.00416565,462.3042297,59.01450348,263.084198,
59.50416565,448.4035339,59.51447678,259.2479553,
60.00416565,454.7070007,60.01447678,262.2254028,
60.50416565,439.1713257,60.51447678,270.5984192,
61.00416565,445.6428528,61.01447678,261.6932068,
61.50416565,442.2220459,61.51447678,263.008728,
62.00416565,441.5645142,62.01447678,264.2362061,
62.50416565,447.0139465,62.51447678,259.2750854,
63.00416565,453.8371277,63.01447678,261.4107361,
63.50416565,459.0973206,63.51447678,260.6208496,
64.00416565,464.4832458,64.01448059,258.6238403,
64.50416565,463.9735718,64.51448059,257.5044556,
65.00416565,465.0140991,65.01448059,263.1483154,
65.50416565,471.2950134,65.51448059,253.6526947,
66.00416565,474.9474792,66.01448059,258.8979187,
66.50416565,478.5669861,66.51448059,258.6303101,
67.00416565,481.6049805,67.01448059,250.8528595,
67.50416565,492.0631104,67.51448059,255.4051819,
68.00416565,486.8677673,68.01448059,255.3040924,
68.50416565,494.8523254,68.51448059,252.1785736,
69.00416565,501.6222534,69.01448059,254.715271,
69.50416565,495.8802185,69.51448059,255.1512451,
70.00416565,501.0289612,70.01448059,250.4014435,
70.50416565,516.8343506,70.51450348,246.8426819,
71.00416565,508.7312927,71.01448059,253.0147095,
71.50416565,513.1621094,71.51448059,253.1118622,
72.00416565,511.6096802,72.01448059,251.2269897,
72.50416565,519.852417,72.51448059,251.4848633,
73.00416565,503.1411743,73.01448059,245.0771484,
73.50416565,514.3059082,73.51448059,244.6991577,
74.00416565,513.7369385,74.01454163,247.9098663,
74.50416565,507.3129578,74.51448059,246.7448273,
75.00416565,510.2384033,75.01448059,242.4900665,
75.50416565,507.90625,75.51448059,248.6280518,
76.00416565,507.4274597,76.01448059,242.8150787,
76.50416565,505.8770752,76.51448059,249.2724609,
77.00416565,502.1673584,77.01448059,243.9255066,
77.50416565,501.9858398,77.51448059,251.5199432,
78.00416565,497.2757874,78.01448059,245.6690979,
78.50416565,488.2265015,78.51448059,252.863739,
79.00416565,489.5922852,79.01448059,250.932312,
79.50416565,485.7433777,79.51448059,251.3594971,
80.00416565,474.8193665,80.01448059,248.4567108,
80.50416565,472.5904541,80.51448059,252.9647064,
81.00416565,464.9957581,81.01448059,252.5556335,
81.50416565,473.1192017,81.51448059,253.3562469,
82.00416565,465.9892273,82.01448059,250.9420166,
82.50416565,463.1074524,82.51450348,251.3987122,
83.00416565,466.993988,83.01448059,255.4329987,
83.50416565,462.1091919,83.51448059,251.7006683,
84.00416565,458.3248291,84.01448059,254.4664154,
84.50416565,459.7691345,84.51448059,251.5544281,
85.00416565,458.2727051,85.01448059,255.6425934,
85.50416565,455.4206848,85.51448059,252.1408234,
86.00416565,457.5147095,86.01448059,251.086441,
86.50416565,448.7825012,86.51448059,256.2225037,
87.00416565,452.3324585,87.01448059,251.0790558,
87.50416565,452.1932678,87.51454163,254.3775177,
88.00416565,449.9224243,88.01448059,254.1101837,
88.50416565,450.2163086,88.51448059,254.2682648,
89.00416565,451.8525696,89.01448059,252.8282471,
89.50416565,444.9417114,89.51448059,252.3257141,
90.00416565,451.1180115,90.01448059,250.9947968,
90.50416565,438.3604736,90.51448059,250.7943878,
91.00416565,444.3000793,91.01448059,256.9212952,
91.50416565,450.4903564,91.51448059,256.1268921,
92.00416565,442.4822388,92.01448059,252.0261993,
92.50416565,442.1432495,92.51448059,253.5727081,
93.00416565,441.9771118,93.01448059,248.7310944,
93.50416565,440.7842407,93.51448059,254.7783813,
94.00416565,444.4471436,94.01448059,256.172821,
94.50416565,452.1199646,94.51448059,257.2939758,
95.00416565,441.3646545,95.01448059,252.4964752,
95.50416565,450.5558167,95.51448059,253.9117584,
96.00416565,448.9673767,96.01448059,258.4251709,
96.50416565,446.2341003,96.51448059,248.6380463,
97.00416565,447.8778687,97.01448059,250.9362335,
97.50416565,445.6054077,97.51448059,254.8289337,
98.00416565,447.1093445,98.01448059,253.6872253,
98.50416565,446.3252869,98.51448059,255.4621735,
99.00416565,446.5108643,99.01448059,252.6417084,
99.50416565,440.7542725,99.51448059,246.4109802,
100.0041656,447.3259583,100.0144806,253.7541656,
100.5041656,446.9159851,100.5144806,252.2320099,
101.0041656,447.9441528,101.0144806,252.7264099,
101.5041656,450.3014221,101.5144806,249.4084015,
102.0041656,448.7890015,102.0145416,251.8113556,
102.5041656,445.2757263,102.5144806,251.9051208,
103.0041656,445.1864929,103.0144806,255.9286346,
103.5041656,438.9055176,103.5144806,254.6750031,
104.0041656,430.5289307,104.0144806,253.1628571,
104.5041656,426.4216614,104.5145416,253.167038,
105.0041656,424.9159241,105.0144806,255.8607483,
105.5041656,418.2843323,105.5145416,260.7153625,
106.0041656,424.3520813,106.0144806,258.004303,
106.5041656,412.0405273,106.5144806,254.258667,
107.0041656,410.7783813,107.0144806,253.5515747,
107.5041656,400.3575439,107.5144806,262.0448608,
108.0041656,400.9045105,108.0144806,256.7375488,
108.5041656,384.855957,108.5144806,259.2524719,
109.0041656,388.894165,109.0144806,264.7152405,
109.5041656,375.1848755,109.5144806,258.2849121,
110.0041656,382.7322083,110.0144806,260.5709229,
110.5041656,372.3401794,110.5144806,263.3510437,
111.0041656,365.277771,111.0144806,264.4567261,
111.5041656,358.2032166,111.5144806,265.1157532,
112.0041656,365.0120544,112.0144806,265.8554993,
112.5041656,356.1800842,112.5144806,260.943573,
113.0041656,361.435791,113.0144806,264.0799866,
113.5041656,365.6809998,113.5144806,262.7662354,
114.0041656,364.7194214,114.0144806,265.4726868,
114.5041656,371.8503113,114.5144806,266.2071533,
115.0041656,372.959198,115.0144806,255.3136902,
115.5041656,385.9762573,115.5144806,261.274292,
116.0041656,383.8143311,116.0144806,255.7358704,
116.5041656,390.0566711,116.5144806,253.8375549,
117.0041656,388.2466125,117.0144806,260.4257202,
117.5041656,396.2955627,117.5144806,259.3063965,
118.0041656,400.9252014,118.0145416,260.5104675,
118.5041656,404.7664795,118.5144806,257.0957947,
119.0041656,410.1914063,119.0144806,255.916748,
119.5041656,414.9012756,119.5144806,260.4316711,
120.0041656,416.99823,120.0144806,258.3795166,
120.5041656,421.6938477,120.5144806,257.8414001,
121.0041656,426.0816956,121.0144806,257.6753235,
121.5041656,423.4013062,121.5144806,248.9161682,
122.0041656,432.1028137,122.0144806,256.6889954,
122.5041656,438.2193604,122.5144806,252.5331726,
123.0041656,433.5850525,123.0144806,248.4353485,
123.5041656,436.8956299,123.5144806,255.5955353,
124.0041656,440.8252563,124.0144806,253.6859741,
124.5041656,441.4707642,124.5144806,253.4131775,
125.0041656,437.2046204,125.0144806,250.8505859,
125.5041656,434.6491394,125.5144806,255.1452789,
126.0041656,438.5516663,126.0144806,256.884552,
126.5041656,432.8167419,126.5144806,247.3271484,
127.0041656,432.7061768,127.0144806,254.9505463,
127.5041656,430.2333984,127.5144806,258.8299561,
128.0041656,430.4690552,128.0144806,258.0300293,
128.5041656,422.1580505,128.5144806,254.6931763,
129.0041656,418.742157,129.0144806,252.4208984,
129.5041656,407.6737671,129.5144806,246.1888275,
130.0041656,412.7245483,130.0144806,254.5604706,
130.5041656,406.5299683,130.5144806,249.3831329,
131.0041656,399.6325073,131.0144806,252.09198,
131.5041656,398.7676086,131.5144958,247.2131805,
132.0041656,387.8329773,132.0144806,253.2554932,
132.5041656,399.0583801,132.5144806,252.1446075,
133.0041656,382.2122192,133.0145416,251.1856842,
133.5041656,382.0447998,133.5144806,249.7409363,
134.0041656,379.7162476,134.0144806,255.6283722,
134.5041656,381.3656006,134.5144806,249.0524445,
135.0041656,377.3150635,135.0144806,246.183075,
135.5041656,373.8249207,135.5145416,254.3963776,
136.0041656,371.9117737,136.0144806,242.9646301,
136.5041656,380.0236206,136.5144806,251.2807312,
137.0041656,373.6390381,137.0144806,247.0063934,
137.5041656,370.8659363,137.5144806,250.2536774,
138.0041656,373.2112122,138.0144806,249.3379669,
138.5041656,374.8762512,138.5144806,248.6964417,
139.0041656,373.6516113,139.0144806,248.0386047,
139.5041656,361.9016724,139.5144806,251.5355377,
140.0041656,371.4893494,140.0144806,248.254364,
140.5041656,364.9953308,140.5144806,252.3306274,
141.0041656,374.2779541,141.0144806,247.6451263,
141.5041656,368.2766724,141.5144806,247.5829163,
142.0041656,372.5119934,142.0144806,248.2600708,
142.5041656,367.6827698,142.5144806,247.427948,
143.0041656,365.3027649,143.0144806,248.2909546,
143.5041656,364.8539429,143.5144806,243.4235687,
144.0041656,364.1690063,144.0144806,247.5630188,
144.5041656,361.3297729,144.5144806,243.6040497,
145.0041656,360.66745,145.0144958,251.2270203,
145.5041656,364.4050293,145.5144806,244.3457642,
146.0041656,361.4979248,146.0144806,250.7046204,
146.5041656,367.5163269,146.5144806,252.8166199,
147.0041656,367.0150146,147.0144958,244.164093,
147.5041656,360.1563416,147.5144806,248.7464447,
148.0041656,360.0726624,148.0144806,243.6453857,
148.5041656,358.4960022,148.5144806,251.8311462,
149.0041656,365.7874756,149.0144806,249.7245026,
149.5041656,365.6566772,149.5144806,253.3500519,
150.0041656,364.5820923,150.0144806,243.233902,
150.5041656,370.776947,150.5144806,243.052063,
151.0041656,361.3813782,151.0144806,246.6651154,
151.5041656,361.5837097,151.5144806,250.0521545,
152.0041656,368.3943481,152.0144806,249.4452972,
152.5041656,363.2080078,152.5144806,247.3026123,
153.0041656,366.4785461,153.0144806,245.3237152,
153.5041656,354.491394,153.5144806,251.3617249,
154.0041656,362.622406,154.0144806,246.2133331,
154.5041656,352.2102051,154.5144806,249.3459015,
155.0041656,357.8627014,155.0144806,245.3167572,
155.5041656,344.5571899,155.5144806,252.1940155,
156.0041656,342.800354,156.0144806,248.6561737,
156.5041656,337.0996704,156.5144806,250.8708496,
157.0041656,336.730011,157.0144806,251.0381317,
157.5041656,330.8621826,157.5144806,251.5373535,
158.0041656,328.76828,158.0144806,248.0684967,
158.5041656,320.8268738,158.5144806,247.8092041,
159.0041656,317.9085083,159.0144806,244.8106689,
159.5041656,307.3843689,159.5144806,240.8732452,
160.0041656,304.4891357,160.0144806,247.687973,
160.5041656,297.2070923,160.5144806,247.6526489,
161.0041656,296.4941711,161.0144806,243.5198364,
161.5041656,291.1594849,161.5144806,247.3754272,
162.0041656,285.5022583,162.0144806,248.5038757,
162.5041656,269.5649109,162.5144806,243.2940979,
163.0041656,273.6523438,163.0144806,244.9385986,
163.5041656,271.1637268,163.5144806,243.2575989,
164.0041656,274.0191345,164.0144806,246.6496887,
164.5041656,279.5145264,164.5144806,244.0830688,
165.0041656,281.2026062,165.0144806,247.0119629,
165.5041656,286.1212769,165.5144806,245.5161285,
166.0041656,285.7056885,166.0144806,243.9631348,
166.5041656,299.368042,166.5144806,253.3613129,
167.0041656,302.9842224,167.0144806,249.5788879,
167.5041656,303.7797546,167.5144806,244.5355682,
168.0041656,305.5223389,168.0144806,243.1177521,
168.5041656,312.8114624,168.5144806,249.3066254,
169.0041656,313.1138611,169.0144806,248.9385529,
169.5041656,323.0671997,169.5144806,245.6303558,
170.0041656,326.8340759,170.0144806,247.2488708,
170.5041656,331.4170532,170.5144806,247.3317261,
171.0041656,334.1338196,171.0144806,246.9054718,
171.5041656,342.3809814,171.5144806,251.0055847,
172.0041656,346.3879089,172.0144806,246.5107117,
172.5041656,340.4242249,172.5144806,252.4947815,
173.0041656,347.2511597,173.0144806,242.3845062,
173.5041656,353.5725403,173.5144806,248.3803864,
174.0041656,355.0651855,174.0144806,244.7788849,
174.5041656,352.4909973,174.5144806,245.7473297,
175.0041656,361.8338623,175.0144806,250.7957458,
175.5041656,357.3299255,175.5144806,249.417984,
176.0041656,352.8452148,176.0144806,251.526062,
176.5041656,354.2146912,176.5144806,244.9599609,
177.0041656,359.0958557,177.0144806,245.1360321,
177.5041656,352.5622253,177.5144806,248.9777832,
178.0041656,353.0336304,178.0144806,246.7387543,
178.5041656,351.2241821,178.5144806,246.3068085,
179.0041656,344.6272278,179.0144806,244.3119507,
179.5041656,343.8423767,179.5145416,243.4644623,
180.0041656,336.2448425,180.0144806,246.5457611,
180.5041656,339.4545898,180.5144806,247.9655762,
181.0041656,331.5585938,181.0144806,242.2878418,
181.5041656,329.3826904,181.5144806,240.5841064,
182.0041656,323.7818909,182.0144806,240.4099884,
182.5041656,318.7042847,182.5144806,242.4563293,
183.0041656,319.4901733,183.0144806,236.8297882,
183.5041656,313.5363159,183.5144806,240.9939117,
184.0041656,315.9735413,184.0144806,236.7258759,
184.5041656,307.9710083,184.5144806,237.234436,
185.0041656,306.6536255,185.0144806,235.2235413,
185.5041656,301.9046021,185.5144806,229.1125946,
186.0041656,303.7036133,186.0144806,236.7057495,
186.5041656,301.6168213,186.5144806,231.6116791,
187.0041656,300.5493469,187.0144806,228.5850983,
187.5041656,288.6022339,187.5144806,234.9929962,
188.0041656,288.7725525,188.0144806,229.7859344,
188.5041656,294.3701172,188.5144806,230.9144745,
189.0041656,296.0906067,189.0144806,231.1276703,
189.5041656,291.199646,189.5144806,234.9244385,
190.0041656,289.180603,190.0144806,228.6134949,
190.5041656,289.0671082,190.5144806,230.9502106,
191.0041656,291.8834839,191.0144806,228.7105408,
191.5041656,282.7223206,191.5144806,229.7805328,
192.0041656,284.367157,192.0144806,229.8066254,
192.5041656,284.4550476,192.5144806,228.3462524,
193.0041656,287.2236938,193.0144806,227.736084,
193.5041656,284.76828,193.5144806,228.0647583,
194.0041656,290.3318787,194.0144806,237.3498383,
194.5041656,289.3251648,194.5144806,229.7360535,
195.0041656,289.3448792,195.0145416,228.5109558,
195.5041656,285.1170654,195.5144806,229.5417786,
196.0041656,286.2904053,196.0144806,232.092041,
196.5041656,285.0837708,196.5144806,230.0866547,
197.0041656,285.5937805,197.0144806,233.1655579,
197.5041656,286.4336548,197.5144806,227.0712585,
198.0041656,290.0986938,198.0145416,226.6073608,
198.5041656,287.1046448,198.5144806,229.1272125,
199.0041656,284.1165466,199.0144806,227.5717468,
199.5041656,285.0049438,199.5144806,228.9998016,
200.0041656,284.6977844,200.0144958,233.1077728,
200.5041656,287.6576843,200.5144806,229.1298981,
201.0041656,287.7828064,201.0144806,225.8585815,
201.5041656,287.607605,201.5144806,232.8192749,
202.0041656,281.7300415,202.0144806,230.7758636,
202.5041656,288.6074524,202.5144806,230.4207153,
203.0041656,284.6955261,203.0144806,224.3206482,
203.5041656,283.0796509,203.5144806,224.7228394,
204.0041656,283.8815918,204.0144806,229.2322083,
204.5041656,284.4620667,204.5144806,227.0473938,
205.0041656,282.0127563,205.0144806,223.9673309,
205.5041656,277.0618286,205.5144806,230.9787292,
206.0041656,267.2333374,206.0144806,227.6966705,
206.5041656,269.9788818,206.5144806,226.317215,
207.0041656,263.1240845,207.0144806,226.0852356,
207.5041656,258.5657959,207.5144806,225.4385834,
208.0041656,255.5177765,208.0144806,230.7559662,
208.5041656,250.9356384,208.5144806,224.9654999,
209.0041656,259.0418091,209.0144806,225.4788971,
209.5041656,244.1241302,209.5144806,221.282959,
210.0041656,249.9426117,210.0144806,222.4751587,
210.5041656,235.5548553,210.5144806,215.7624664,
211.0041656,238.8079529,211.0144806,217.0540619,
211.5041656,229.7164612,211.5144806,216.7228699,
212.0041656,224.4363556,212.0144806,220.2454681,
212.5041656,220.3533325,212.5144806,212.313446,
213.0041656,217.409317,213.0144806,218.9193878,
213.5041656,215.3296509,213.5144806,217.7667542,
214.0041656,214.5008087,214.0144806,210.8967438,
214.5041656,209.7094421,214.5145416,209.9480133,
215.0041656,212.3318329,215.0144806,211.0749207,
215.5041656,219.3559265,215.5144806,210.2710419,
216.0041656,211.8872375,216.0144806,211.8574371,
216.5041656,214.9668884,216.5144806,217.8768768,
217.0041656,219.0336914,217.0144806,212.1304626,
217.5041656,228.1204681,217.5144806,215.9994049,
218.0041656,228.838501,218.0144806,217.2527161,
218.5041656,234.4328156,218.5144806,217.2035065,
219.0041656,233.8841095,219.0144806,221.9648438,
219.5041656,243.0272064,219.5144806,220.7395325,
220.0041656,236.1284637,220.0144806,221.6084442,
220.5041656,248.1982269,220.5144806,222.4398041,
221.0041656,249.7566223,221.0144806,224.9721069,
221.5041656,252.312088,221.5144806,223.9199982,
222.0041656,258.0923157,222.0144806,223.8560333,
222.5041656,264.8760681,222.5144806,221.6318512,
223.0041656,262.3555298,223.0144806,226.0247192,
223.5041656,270.8981934,223.5144806,224.9698486,
224.0041656,270.2564087,224.0144806,225.4809418,
224.5041656,277.6483154,224.5144806,222.8325653,
225.0041656,277.1417236,225.0144806,222.3371887,
225.5041656,274.3919373,225.5144806,226.9250641,
226.0041656,277.4953003,226.0144806,225.3967896,
