250bar_Ex340_Em440,,250bar_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,541.7238159,0.01439583302,223.4394989,
0.5041666627,539.4639893,0.5144791603,219.5893097,
1.004166722,542.4721069,1.01447916,221.7414856,
1.504166722,542.628479,1.51447916,219.0449982,
2.004166603,540.4694824,2.01447916,220.1266937,
2.504166603,535.3220825,2.51447916,224.7365112,
3.004166603,542.4625244,3.01447916,219.8179169,
3.504166603,534.4605103,3.51447916,222.8145599,
4.004166603,540.9749756,4.01447916,223.3040009,
4.504166603,530.9712524,4.51447916,222.4710541,
5.004166603,522.9522705,5.01447916,220.9026337,
5.504166603,524.3236084,5.51447916,219.0315704,
6.004166603,533.0099487,6.01447916,217.1333466,
6.504166603,521.0679932,6.51447916,226.1703796,
7.004166603,522.7321167,7.01447916,227.0454559,
7.504166603,517.6110229,7.51447916,223.0107574,
8.004166603,519.0560913,8.014478683,224.2294159,
8.504166603,515.0581665,8.514478683,225.8466797,
9.004166603,513.4033203,9.014479637,229.4477844,
9.504166603,512.6132813,9.514479637,231.6009979,
10.0041666,509.0178833,10.01447964,227.9986115,
10.5041666,517.9665527,10.51447964,231.4926758,
11.0041666,508.0900269,11.01447964,227.9232025,
11.5041666,517.8046265,11.51447964,226.4706268,
12.0041666,513.7034912,12.01447964,225.5280914,
12.5041666,518.4852905,12.51447964,226.9141235,
13.0041666,520.2573242,13.01447964,230.8882599,
13.5041666,514.6156616,13.51447964,220.5023651,
14.0041666,528.7035522,14.01447964,223.9651031,
14.5041666,527.579834,14.51447964,226.2506714,
15.0041666,520.1834717,15.01447964,221.5981293,
15.5041666,532.657959,15.51447964,221.9118652,
16.00416756,529.2718506,16.01447868,223.5212097,
16.50416756,528.4082642,16.51447868,218.2425385,
17.00416756,542.1233521,17.01447868,218.2673035,
17.50416756,528.3578491,17.51447868,221.5891876,
18.00416756,537.3043823,18.01447868,223.6585846,
18.50416756,540.2409058,18.51447868,216.4021606,
19.00416756,536.2403564,19.01447868,218.9844818,
19.50416756,546.8699951,19.51447868,219.4741669,
20.00416756,540.6807861,20.01447868,218.5758667,
20.50416756,545.8477173,20.51447868,214.4005737,
21.00416756,547.5204468,21.01447868,218.879776,
21.50416756,547.6379395,21.51447868,213.2854004,
22.00416756,552.1676025,22.01447868,221.1843262,
22.50416756,535.9115601,22.51447868,222.3538513,
23.00416756,544.861084,23.01447868,219.1995239,
23.50416756,556.3261108,23.51447868,212.4661713,
24.00416756,547.8259888,24.01447868,217.7608795,
24.50416756,539.8053589,24.51447868,222.1031036,
25.00416756,551.9298096,25.01447868,219.7796783,
25.50416756,540.8057861,25.51447868,220.6868134,
26.00416756,542.6203613,26.01447868,213.6029358,
26.50416756,553.2188721,26.51454353,223.2135315,
27.00416756,548.8139648,27.01447868,217.2089539,
27.50416756,539.8713989,27.51454353,217.5878143,
28.00416756,544.7789307,28.01447868,219.543869,
28.50416756,540.4616699,28.51447868,217.1699371,
29.00416756,534.5814209,29.01447868,221.9078369,
29.50416756,540.1223755,29.51447868,219.5545502,
30.00416756,543.4140625,30.01454353,224.7381897,
30.50416756,537.213623,30.51447868,218.8075409,
31.00416756,538.2324219,31.01447868,222.0000458,
31.50416756,541.8896484,31.51447868,219.1660614,
32.00416565,543.118042,32.01448059,222.9943695,
32.50416565,546.1320801,32.51448059,222.3794861,
33.00416565,543.7828979,33.01448059,223.7006683,
33.50416565,531.7028809,33.51448059,223.4981995,
34.00416565,528.7716064,34.01448059,224.5308228,
34.50416565,533.6547241,34.51447678,221.9895325,
35.00416565,529.0030518,35.01447678,222.117691,
35.50416565,522.9091187,35.51447678,223.4021912,
36.00416565,525.9896851,36.01447678,223.8995514,
36.50416565,527.4570313,36.51447678,222.4357605,
37.00416565,519.3212891,37.01447678,223.9573822,
37.50416565,515.3848877,37.51447678,225.4436035,
38.00416565,512.1767578,38.01447678,221.4658051,
38.50416565,522.8691406,38.51447678,227.5110474,
39.00416565,520.3234863,39.01447678,223.9297638,
39.50416565,520.7659302,39.51447678,227.0619049,
40.00416565,516.6825562,40.01447678,227.0529175,
40.50416565,518.684082,40.51447678,225.0799103,
41.00416565,510.7749634,41.01447678,231.2369843,
41.50416565,522.6204834,41.51454163,229.4437256,
42.00416565,510.5056763,42.01447678,224.8409424,
42.50416565,513.8190308,42.51447678,222.6696472,
43.00416565,516.0926514,43.01447678,226.0140533,
43.50416565,514.5424805,43.51447678,224.7648621,
44.00416565,511.821106,44.01447678,224.8666534,
44.50416565,517.1204834,44.51447678,224.6632385,
45.00416565,518.5363159,45.01447678,224.7502747,
45.50416565,516.1132813,45.51447678,223.798584,
46.00416565,519.3955688,46.01447678,225.8355255,
46.50416565,513.1368408,46.51454163,226.2447815,
47.00416565,514.3788452,47.01447678,220.3633575,
47.50416565,514.4911499,47.51447678,231.7816315,
48.00416565,515.5669556,48.01447678,225.0112152,
48.50416565,521.7097168,48.51447678,226.6930695,
49.00416565,515.5681763,49.01447678,225.0133209,
49.50416565,511.391449,49.51447678,219.3157196,
50.00416565,513.5620728,50.01447678,224.9562225,
50.50416565,514.6098022,50.51447678,224.6967468,
51.00416565,519.2208862,51.01447678,224.0763245,
51.50416565,515.5508423,51.51447678,224.3746033,
52.00416565,519.2537231,52.01447678,227.2699738,
52.50416565,513.3834229,52.51447678,230.573349,
53.00416565,505.4203796,53.01447678,223.3209381,
53.50416565,508.2408142,53.51447678,230.1043091,
54.00416565,508.4530029,54.01447678,226.2938232,
54.50416565,499.3504944,54.51447678,232.4322357,
55.00416565,491.2467651,55.01447678,233.4977112,
55.50416565,494.8653259,55.51447678,233.1479034,
56.00416565,494.170929,56.01447678,235.7612305,
56.50416565,485.6633301,56.51447678,231.1317291,
57.00416565,490.0286865,57.01447678,230.5314636,
57.50416565,482.7904968,57.51447678,235.9464569,
58.00416565,484.3434753,58.01447678,241.8918152,
58.50416565,471.3748779,58.51447678,238.230896,
59.00416565,471.7355042,59.01447678,235.7009735,
59.50416565,467.5946045,59.51447678,239.7841644,
60.00416565,468.0399475,60.01447678,246.0830078,
60.50416565,451.2107849,60.51447678,242.5382996,
61.00416565,452.77948,61.01447678,248.4488525,
61.50416565,461.8912659,61.51447678,245.4822388,
62.00416565,454.2324524,62.01454163,243.8139038,
62.50416565,464.9462891,62.51447678,244.6100311,
63.00416565,464.1631775,63.01447678,241.0080261,
63.50416565,476.4154358,63.51447678,242.9243011,
64.00416565,475.5043945,64.01448059,239.9854889,
64.50416565,473.3992004,64.51448059,238.6092377,
65.00416565,472.9671326,65.01448059,234.0630035,
65.50416565,481.0710754,65.51448059,236.7106018,
66.00416565,490.5162048,66.01448059,236.3882446,
66.50416565,490.4297485,66.51448059,235.7239838,
67.00416565,491.576355,67.01448059,231.9149933,
67.50416565,484.8840332,67.51448059,225.6536255,
68.00416565,484.6630859,68.01448059,234.5350189,
68.50416565,503.1804504,68.51448059,233.4130707,
69.00416565,498.1208191,69.01448059,229.5605774,
69.50416565,502.2965698,69.51448059,232.9599457,
70.00416565,501.5592651,70.01448059,232.9902344,
70.50416565,502.1693726,70.51448059,229.7997284,
71.00416565,504.250061,71.01448059,227.9247284,
71.50416565,510.7062988,71.51448059,231.8560028,
72.00416565,508.6135864,72.01448059,227.4149323,
72.50416565,511.5629883,72.51448059,224.9804993,
73.00416565,514.22052,73.01454163,227.835434,
73.50416565,518.545105,73.51448059,228.3148499,
74.00416565,514.3600464,74.01448059,226.9978638,
74.50416565,512.4348145,74.51448059,224.5843048,
75.00416565,513.8253174,75.01448059,232.3176727,
75.50416565,508.6881409,75.51448059,232.7648468,
76.00416565,503.6668701,76.01448059,226.6842499,
76.50416565,504.1515198,76.51448059,227.4245911,
77.00416565,503.697998,77.01450348,230.609375,
77.50416565,500.3675842,77.51448059,232.9015503,
78.00416565,489.023468,78.01448059,227.035614,
78.50416565,495.9884644,78.51448059,232.0015411,
79.00416565,484.7758789,79.01448059,233.5028534,
79.50416565,490.5100708,79.51448059,228.5146942,
80.00416565,479.2280579,80.01448059,229.2122345,
80.50416565,482.1932678,80.51448059,230.2907562,
81.00416565,471.8099365,81.01448059,230.4199677,
81.50416565,483.9718323,81.51448059,229.8383789,
82.00416565,472.1416016,82.01448059,227.3731995,
82.50416565,463.8719482,82.51448059,231.504364,
83.00416565,473.4595642,83.01448059,233.1209564,
83.50416565,465.592041,83.51448059,233.1914063,
84.00416565,469.0312195,84.01448059,233.6657867,
84.50416565,463.7980347,84.51448059,233.1022339,
85.00416565,465.749176,85.01448059,234.6040802,
85.50416565,468.5781555,85.51448059,233.7503357,
86.00416565,458.3113098,86.01448059,234.3006897,
86.50416565,464.9957886,86.51448059,229.2548065,
87.00416565,468.1967468,87.01448059,239.319458,
87.50416565,459.2011719,87.51448059,232.332016,
88.00416565,460.6483765,88.01448059,235.9025421,
88.50416565,463.5273132,88.51448059,235.3759003,
89.00416565,458.4229736,89.01454163,235.14534,
89.50416565,457.1421814,89.51448059,232.6703796,
90.00416565,457.2310486,90.01448059,231.3731232,
90.50416565,464.712738,90.51450348,235.3634949,
