Sample 5,,
Wavelength (nm),Intensity (a.u.),
400,64.74428558,
401.9599915,85.21028137,
403.9299927,116.6158066,
406.0599976,131.997818,
408.0299988,172.4680634,
410,210.6807251,
412,247.186264,
414,289.6740723,
416,342.1585083,
418,375.8948364,
420,444.7156372,
421.9599915,463.0822449,
423.9299927,515.7987671,
426.0599976,574.5287476,
428.0299988,584.9669189,
430,634.6323242,
432,647.8474121,
434,649.0384521,
436,666.7921143,
438,678.6384277,
440,669.7799683,
441.9599915,667.557312,
443.9299927,666.7734985,
446.0599976,679.6430054,
448.0299988,663.0393066,
450,636.1841431,
451.9599915,679.3248901,
453.9299927,637.5455322,
456.0599976,624.0476074,
458.0299988,623.8118896,
460,611.3825684,
461.9599915,577.6099854,
463.9299927,561.6412964,
466.0599976,545.5834351,
468.0299988,510.2925415,
470,503.2521362,
471.9400024,489.69104,
474.019989,477.0889587,
475.9700012,467.3692322,
478.0499878,405.6096497,
480,430.0056763,
481.9599915,412.2607727,
483.9299927,389.3198853,
486.0599976,388.559906,
488.0299988,362.528717,
490,356.1428833,
491.9400024,328.6205444,
494.019989,322.3018799,
495.9700012,316.8355408,
498.0499878,305.2867737,
500,284.6724548,
501.9599915,274.7775879,
503.9299927,248.0585327,
506.0599976,232.0494843,
508.0299988,233.1223602,
510,232.2771454,
511.9400024,210.7629089,
514.0200195,200.7425385,
515.9699707,191.5464325,
518.0499878,189.2857056,
520,180.2270203,
521.9400024,169.4658356,
524.0200195,156.2578583,
525.9699707,135.0350952,
528.0499878,140.6737366,
530,125.3364944,
531.9400024,124.4735031,
534.0200195,113.81604,
535.9699707,111.2360992,
538.0499878,107.4902115,
540,99.25373077,
542.0499878,91.37478638,
543.9699707,85.5642395,
546.0200195,82.44514465,
547.9400024,79.27505493,
550,70.37386322,
551.9400024,62.10220718,
554.0200195,61.2705574,
555.9699707,61.00425339,
558.0499878,53.80666733,
560,46.70793533,
562.0499878,45.52600098,
563.9699707,46.50727463,
566.0200195,43.78097153,
567.9400024,38.67084885,
570,35.20637131,
571.9400024,35.25867081,
574.0200195,35.0279007,
575.9699707,29.46853638,
578.0499878,30.11123848,
580,25.79403305,
582.0499878,25.91656113,
583.9699707,22.1712532,
586.0200195,22.73298264,
587.9400024,22.59886932,
590,17.53605652,
592.0499878,20.91658211,
593.9699707,20.63492203,
596.0200195,18.80626297,
597.9400024,15.15340519,
600,15.42626858,

Sample 5,
Sample 5
Collection Time: 5/16/2025 3:59:13 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY15240001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/14/2025 11:36:43 AM
Method Modifications:
PMT Volts Changed: 5/14/2025 11:40:39 AM, Old:600, New:800
Autoconvert Changed: 5/14/2025 11:40:39 AM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 5/14/2025 11:40:39 AM, Old:5, New:2.5
Scan Control Changed: 5/14/2025 11:40:39 AM, Old:Medium, New:Fast
Emission PMT (V): Changed: 5/14/2025 11:40:39 AM, Old: 600, New: 800
Excitation Wavelength Changed: 5/14/2025 11:40:39 AM, Old: 350.00, New: 340.00
Data interval: Changed: 5/14/2025 11:40:39 AM, Old:   1.00, New:   2.00
PMT Volts Changed: 5/14/2025 11:59:46 AM, Old:800, New:780
Emission PMT (V): Changed: 5/14/2025 11:59:46 AM, Old: 800, New: 780
PMT Volts Changed: 5/14/2025 7:05:17 PM, Old:780, New:800
Emission PMT (V): Changed: 5/14/2025 7:05:17 PM, Old: 780, New: 800
End Method Modifications

