Sample5_Ex340_Em440,,Sample5_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,668.7910767,0.01439583302,348.3829346,
0.5041666627,673.5130615,0.5144374967,350.2953491,
1.004166722,677.7305908,1.014437437,346.7756042,
1.504166722,670.1324463,1.514437437,358.1848145,
2.004166603,661.1329956,2.014437437,355.6336975,
2.504166603,665.1461182,2.514437675,352.8848267,
3.004166603,654.8366699,3.01447916,356.3629761,
3.504166603,637.5751953,3.514437675,358.925293,
4.004166603,650.9695435,4.014437675,359.7159424,
4.504166603,634.9135132,4.514437199,364.500061,
5.004166603,623.6322021,5.014437199,364.6029968,
5.504166603,619.9265747,5.514437199,373.1191711,
6.004166603,625.7139282,6.014437199,366.0018005,
6.504166603,612.6484985,6.514437199,368.9686279,
7.004166603,610.5151367,7.014437199,371.602478,
7.504166603,598.3417358,7.514437199,372.4401855,
8.004166603,600.5581665,8.014437675,369.6762085,
8.504166603,593.0292969,8.514437675,382.1260376,
9.004166603,576.4002686,9.014437675,381.8937988,
9.504166603,570.1096191,9.514437675,385.8106689,
10.0041666,559.1947632,10.01447964,380.3832397,
10.5041666,569.2093506,10.51443768,371.4802551,
11.0041666,566.1246338,11.01447964,384.1645813,
11.5041666,585.1292114,11.51443768,378.8232117,
12.0041666,582.40271,12.01447964,379.1647034,
12.5041666,590.9588013,12.51443768,377.73172,
13.0041666,594.2834473,13.01443768,378.1268921,
13.5041666,596.1669922,13.51443768,369.35672,
14.0041666,601.9266968,14.01443768,366.9685059,
14.5041666,613.7316895,14.51443768,362.3500366,
15.0041666,611.0148926,15.01443768,361.5060425,
15.5041666,625.0750732,15.51443768,360.3748779,
16.00416756,631.0515747,16.01443863,361.5484314,
16.50416756,634.199707,16.51443863,361.145813,
17.00416756,633.3549194,17.01447868,359.0226135,
17.50416756,641.3453369,17.51443672,352.735199,
18.00416756,650.333252,18.01447868,357.2252197,
18.50416756,656.6348877,18.51443672,353.7209473,
19.00416756,645.4639893,19.01443672,351.9511414,
19.50416756,660.4602051,19.51443672,350.8955994,
20.00416756,658.6547852,20.01443672,341.1336365,
20.50416756,665.6671753,20.51447868,340.0428772,
21.00416756,671.71521,21.01443672,345.131958,
21.50416756,670.4318237,21.51447868,349.5951843,
22.00416756,668.00354,22.01443672,350.1236267,
22.50416756,665.1003418,22.51447868,346.1376648,
23.00416756,668.4726563,23.01443672,347.3578186,
23.50416756,665.7643433,23.51447868,348.2369385,
24.00416756,665.291748,24.01443672,350.4455261,
24.50416756,666.069397,24.51443672,347.6092529,
25.00416756,665.0067139,25.01443672,353.7052307,
25.50416756,665.5280762,25.51443672,346.2917786,
26.00416756,660.4754028,26.01447868,349.5299377,
26.50416756,655.9920654,26.51443672,351.1694641,
27.00416756,664.2229004,27.01447868,350.916626,
27.50416756,665.1503906,27.51443672,358.1143188,
28.00416756,649.690918,28.01443672,346.4854431,
28.50416756,652.7046509,28.51443672,351.5935669,
29.00416756,656.3484497,29.01443672,346.9144897,
29.50416756,648.1715088,29.51443672,346.1820984,
30.00416756,646.4206543,30.01443672,350.9887695,
30.50416756,648.0238037,30.51443672,354.4742432,
31.00416756,644.7424927,31.01443672,355.0003662,
31.50416756,648.557373,31.51447868,354.3884277,
32.00416565,636.8109741,32.01443863,362.1424866,
32.50416565,640.4850464,32.51443863,362.2833557,
33.00416565,627.8474731,33.01443863,360.5285645,
33.50416565,621.1383057,33.51443863,362.8236694,
34.00416565,617.3413696,34.01443863,357.5154114,
34.50416565,605.2074585,34.51443863,358.2132263,
35.00416565,610.3619995,35.01443863,364.4501038,
35.50416565,610.5657959,35.51447678,359.4416504,
36.00416565,606.6860352,36.01443863,356.6098633,
36.50416565,598.598877,36.51443863,359.0986633,
37.00416565,590.6191406,37.01443863,357.236969,
37.50416565,591.3721313,37.51443863,363.6093445,
38.00416565,591.0268555,38.01443863,361.2055664,
38.50416565,589.6178589,38.51443863,355.6047363,
39.00416565,588.9978027,39.01443863,366.2541199,
39.50416565,586.821228,39.51447678,363.2507019,
40.00416565,599.1045532,40.01447678,363.9492493,
40.50416565,594.8910522,40.51447678,362.1874695,
41.00416565,590.9748535,41.01447678,366.9469604,
41.50416565,583.7346191,41.51443863,366.4985657,
42.00416565,589.3999634,42.01447678,366.6777649,
42.50416565,575.458313,42.51443863,362.3648987,
43.00416565,580.5598145,43.01443863,363.7652588,
43.50416565,581.5341187,43.51447678,362.4647827,
44.00416565,583.8358154,44.01443863,369.0832214,
44.50416565,580.1624756,44.51443863,365.119873,
45.00416565,586.7026978,45.01443863,364.5747986,
45.50416565,584.4330444,45.51443863,361.9671021,
46.00416565,585.1261597,46.01443863,360.1851807,
46.50416565,583.6018677,46.51443863,367.995636,
47.00416565,581.6555176,47.01443863,367.9031677,
47.50416565,576.0181274,47.51443863,369.9786682,
48.00416565,574.0422974,48.01443863,361.151886,
48.50416565,580.8439941,48.51443863,359.4192505,
49.00416565,574.8296509,49.01443863,361.5322266,
49.50416565,580.9714355,49.51443863,368.3585815,
50.00416565,583.3446045,50.01443863,369.0155029,
50.50416565,582.1106567,50.51443863,365.9527588,
51.00416565,577.708252,51.01443863,365.3158875,
51.50416565,576.1320801,51.51447678,375.0308838,
52.00416565,575.0479736,52.01443863,370.3422852,
52.50416565,565.472168,52.51443863,375.3100891,
53.00416565,563.6241455,53.01443863,368.6812744,
53.50416565,551.9471436,53.51443863,374.8857727,
54.00416565,552.8791504,54.01443863,372.4047546,
54.50416565,542.0526733,54.51443863,374.7845764,
55.00416565,544.2286987,55.01443863,377.4867859,
55.50416565,531.4029541,55.51447678,379.5103455,
56.00416565,543.0523071,56.01447678,373.6502991,
56.50416565,520.0706177,56.51447678,382.9924622,
57.00416565,519.3860474,57.01443863,384.1744995,
57.50416565,504.8946838,57.51447678,386.2593994,
58.00416565,502.7285767,58.01443863,381.5660095,
58.50416565,489.1915588,58.51447678,381.4057617,
59.00416565,488.0949707,59.01443863,388.2381897,
59.50416565,482.3999329,59.51447678,385.4143677,
60.00416565,476.3465881,60.01443863,387.1471252,
60.50416565,474.1122437,60.51443863,389.7277832,
61.00416565,473.5895691,61.01443863,395.674469,
61.50416565,464.6078796,61.51443863,380.9683228,
62.00416565,465.4824524,62.01443863,387.5148621,
62.50416565,481.5198059,62.51450348,388.0526733,
63.00416565,476.5603943,63.01443863,382.3923035,
63.50416565,488.0047913,63.51450348,383.6557007,
64.00416565,491.7529602,64.01443481,392.5813293,
64.50416565,506.1509094,64.51443481,385.025238,
65.00416565,501.4328308,65.01448059,381.9884033,
65.50416565,511.586853,65.51443481,382.1535645,
66.00416565,515.5159302,66.01448059,378.1146851,
66.50416565,529.3724365,66.51443481,381.8580933,
67.00416565,530.8143921,67.01448059,383.1954041,
67.50416565,543.7575073,67.51443481,380.9535828,
68.00416565,539.3247681,68.01443481,383.415863,
68.50416565,538.928833,68.51443481,370.7185364,
69.00416565,552.1523438,69.01448059,371.4208984,
69.50416565,565.6744385,69.51443481,375.7098999,
70.00416565,565.0379639,70.01448059,367.2628479,
70.50416565,568.4653931,70.51443481,374.1560669,
71.00416565,576.4428711,71.01448059,372.1182861,
71.50416565,587.5629272,71.51443481,369.5799255,
72.00416565,584.8903198,72.01443481,368.5307922,
72.50416565,582.871521,72.51443481,374.9051208,
73.00416565,582.4822998,73.01448059,366.3018188,
73.50416565,587.9024658,73.51443481,367.302887,
74.00416565,586.4594727,74.01443481,371.4335022,
74.50416565,588.6185303,74.51448059,364.5238647,
75.00416565,584.2698364,75.01443481,367.755249,
75.50416565,572.5892334,75.51448059,372.1357422,
76.00416565,565.6160278,76.01443481,370.7280273,
