Sample4_Ex340_Em440,,Sample4_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,683.9386597,0.01439583302,343.0693665,
0.5041666627,682.5352783,0.5144791603,349.8300476,
1.004166722,685.1595459,1.01447916,345.6452942,
1.504166722,675.7821655,1.51447916,350.1352539,
2.004166603,672.2773438,2.01447916,341.9508057,
2.504166603,665.2272339,2.51447916,347.8635254,
3.004166603,667.5892944,3.01447916,343.4519348,
3.504166603,661.18396,3.51447916,347.9914856,
4.004166603,651.2173462,4.01447916,355.2937927,
4.504166603,650.4263916,4.51447916,352.7001038,
5.004166603,654.8175049,5.01447916,356.0863037,
5.504166603,642.0483398,5.51447916,357.488739,
6.004166603,640.4370117,6.01447916,361.6950378,
6.504166603,628.2189941,6.51447916,363.6722412,
7.004166603,618.4223022,7.014541626,364.3642578,
7.504166603,612.1764526,7.51447916,364.6003113,
8.004166603,605.5048218,8.014478683,365.9284973,
8.504166603,595.848999,8.514478683,371.4955444,
9.004166603,602.5457764,9.014479637,360.3985596,
9.504166603,584.3613892,9.514479637,368.004364,
10.0041666,582.9819336,10.01447964,379.1768188,
10.5041666,584.039856,10.51447964,375.8045654,
11.0041666,580.8601074,11.01447964,377.5210266,
11.5041666,587.6810913,11.51447964,370.9513245,
12.0041666,593.1126099,12.01447964,371.6687317,
12.5041666,601.4675903,12.51447964,365.8676453,
13.0041666,606.5234375,13.01447964,369.1079407,
13.5041666,615.5234375,13.51447964,361.1578369,
14.0041666,626.0281982,14.01447964,361.8459167,
14.5041666,622.0984497,14.51447964,363.9803772,
15.0041666,627.100647,15.01447964,359.4992981,
15.5041666,642.9616699,15.51447964,358.7424316,
16.00416756,642.7175903,16.01447868,361.3509827,
16.50416756,649.4682007,16.51447868,349.916626,
17.00416756,647.2467651,17.01447868,350.666748,
17.50416756,662.2264404,17.51454353,351.6434631,
18.00416756,667.6357422,18.01447868,349.2481384,
18.50416756,667.319458,18.51447868,355.4579468,
19.00416756,671.7693481,19.01447868,350.8321228,
19.50416756,676.3574829,19.51447868,348.7391357,
20.00416756,674.286438,20.01447868,342.393158,
20.50416756,681.1262817,20.51447868,342.1036377,
21.00416756,681.4006958,21.01447868,344.3647156,
21.50416756,688.0601196,21.51447868,341.9539185,
22.00416756,683.8912354,22.01447868,346.1415405,
22.50416756,680.4633179,22.51447868,340.9203491,
23.00416756,681.1294556,23.01447868,347.3414612,
23.50416756,686.7832031,23.51447868,343.7588806,
24.00416756,686.6855469,24.01447868,337.075592,
24.50416756,673.7686157,24.51447868,343.5299072,
25.00416756,677.5880737,25.01447868,341.1871338,
25.50416756,675.2164917,25.51447868,349.3625183,
26.00416756,678.1105957,26.01447868,349.9902039,
26.50416756,673.8344727,26.51447868,348.6490784,
27.00416756,669.9212646,27.01447868,343.9872742,
27.50416756,666.0768433,27.51447868,351.8057861,
28.00416756,674.7522583,28.01447868,342.9979858,
28.50416756,669.2988281,28.51447868,345.7711182,
29.00416756,677.9233398,29.01447868,348.6959534,
29.50416756,672.8455811,29.51447868,350.210907,
30.00416756,661.2298584,30.01447868,350.055481,
30.50416756,667.0846558,30.51447868,344.85849,
31.00416756,673.0776367,31.01447868,353.9204712,
31.50416756,667.7764893,31.51447868,347.6314697,
32.00416565,667.8962402,32.01448059,348.6971436,
32.50416565,668.2052002,32.51448059,348.671875,
33.00416565,663.6514893,33.01448059,343.7924194,
33.50416565,651.5368042,33.51448059,349.0904236,
34.00416565,658.5997314,34.01448059,350.4479675,
34.50416565,644.1367798,34.51447678,348.9963684,
35.00416565,644.0911255,35.01447678,347.7575073,
35.50416565,651.293457,35.51447678,351.4299316,
36.00416565,639.5074463,36.01447678,351.6789246,
36.50416565,627.5321045,36.51447678,357.707428,
37.00416565,638.309021,37.01447678,354.1302185,
37.50416565,621.3842163,37.51454163,359.3638916,
38.00416565,611.5357056,38.01447678,351.5742493,
38.50416565,622.1167603,38.51447678,351.2355042,
39.00416565,612.3527832,39.01454163,355.2840271,
39.50416565,610.3875732,39.51447678,350.2734375,
40.00416565,612.5534058,40.01447678,359.5308228,
40.50416565,610.8460693,40.51447678,359.9593201,
41.00416565,610.2832031,41.01447678,360.6783142,
41.50416565,605.4285889,41.51447678,363.3794556,
42.00416565,601.6808472,42.01447678,355.4197693,
42.50416565,608.5822144,42.51447678,360.875061,
43.00416565,597.868042,43.01447678,355.9662781,
43.50416565,604.6359253,43.51447678,354.5081482,
44.00416565,598.2197266,44.01447678,361.0304871,
44.50416565,606.2439575,44.51447678,357.6294556,
45.00416565,607.5019531,45.01447678,361.8703003,
45.50416565,597.1956177,45.51447678,354.5379639,
46.00416565,598.7030029,46.01447678,355.1576233,
46.50416565,598.7382813,46.51447678,362.8396912,
47.00416565,601.1370239,47.01447678,361.0144653,
47.50416565,594.1904297,47.51447678,355.0039978,
