Sample6_Ex340_Em440,,Sample6_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,478.8782654,0.01439583302,242.7825165,
0.5041666627,470.1654358,0.5144374967,240.7616425,
1.004166722,468.6809082,1.014437437,242.1417542,
1.504166722,467.9461365,1.514437437,248.238266,
2.004166603,463.2212219,2.014437437,239.948822,
2.504166603,463.118042,2.514437675,248.4485931,
3.004166603,453.0880432,3.014437675,246.7573242,
3.504166603,448.557373,3.514437675,254.1729279,
4.004166603,443.8633423,4.014437675,247.4658966,
4.504166603,436.1630554,4.514437199,254.6904755,
5.004166603,442.6018982,5.014437199,251.3127899,
5.504166603,425.076416,5.514437199,263.5625916,
6.004166603,423.0453186,6.014437199,263.9343872,
6.504166603,382.5991516,6.514437199,295.8887024,
7.004166603,386.3175354,7.014437199,293.5800476,
7.504166603,352.3997192,7.514437199,336.4033508,
8.004166603,351.2579041,8.014437675,341.7742004,
8.504166603,328.7911072,8.514437675,341.4223633,
9.004166603,332.2582397,9.014437675,345.4515991,
9.504166603,317.1842041,9.514437675,353.0216064,
10.0041666,317.2580261,10.01443768,351.7356567,
10.5041666,317.5941772,10.51443768,354.4729309,
11.0041666,315.0681458,11.01443768,355.7356873,
11.5041666,328.089325,11.51443768,346.0875854,
12.0041666,333.1409607,12.01443768,348.5955811,
12.5041666,348.2471619,12.51445866,342.4789734,
13.0041666,340.2851868,13.01443768,341.8951721,
13.5041666,383.9525452,13.51443768,317.7687073,
14.0041666,381.8268738,14.01443768,312.8887939,
14.5041666,424.2790527,14.51443768,278.7959595,
15.0041666,420.4592896,15.01447964,276.1039429,
15.5041666,443.8676758,15.51443768,264.9199524,
16.00416756,440.5864563,16.01443863,260.4023438,
16.50416756,450.6566772,16.51443863,257.1321716,
17.00416756,449.6864624,17.01443863,252.3075104,
17.50416756,454.1830139,17.51443672,250.2436066,
18.00416756,466.1485291,18.01443672,251.1286163,
18.50416756,466.8078918,18.51443672,246.783844,
19.00416756,464.0626526,19.01443672,249.8031616,
19.50416756,465.0153503,19.51443672,247.0827789,
20.00416756,466.7454834,20.01443672,248.7523499,
20.50416756,473.2290649,20.51443672,244.7332153,
21.00416756,470.6197205,21.01443672,246.9764557,
21.50416756,477.3327942,21.51443672,246.0199738,
22.00416756,473.574585,22.01443672,243.8435211,
22.50416756,471.5628662,22.51443672,244.4286804,
23.00416756,468.5366821,23.01443672,244.3609467,
23.50416756,469.6192322,23.51443672,240.7014923,
24.00416756,469.3101501,24.01443672,247.0726776,
24.50416756,463.5353088,24.51443672,243.7917786,
25.00416756,460.0974426,25.01443672,242.0015869,
25.50416756,466.3066711,25.51443672,247.3192596,
26.00416756,457.8311768,26.01447868,244.6764984,
26.50416756,462.9947815,26.51443672,242.5657806,
27.00416756,460.0610657,27.01443672,238.6452332,
27.50416756,467.2511902,27.51443672,246.1671143,
28.00416756,459.2757263,28.01443672,245.9010315,
28.50416756,458.3348694,28.51443672,243.1070251,
29.00416756,459.1188049,29.01443672,244.2843018,
29.50416756,460.4112549,29.51443672,245.6135864,
30.00416756,456.4334106,30.01443672,245.0463257,
30.50416756,455.1077576,30.51447868,248.2633057,
31.00416756,456.459198,31.01443672,246.1501923,
31.50416756,454.7633057,31.51443672,248.0722198,
32.00416565,454.7490845,32.01443863,244.9355469,
32.50416565,448.9517212,32.51443863,241.5497589,
33.00416565,448.0832825,33.01448059,245.3658752,
33.50416565,443.0851746,33.51443863,239.9979706,
34.00416565,436.4541931,34.01443863,240.8641052,
34.50416565,432.8683167,34.51443863,237.9442444,
35.00416565,428.4161377,35.01443863,239.355957,
35.50416565,416.3189087,35.51447678,236.3541412,
36.00416565,414.7155151,36.01443863,241.1714478,
36.50416565,408.6738892,36.51443863,244.0153046,
37.00416565,417.4276733,37.01443863,237.2531128,
37.50416565,410.0300598,37.51443863,240.6702576,
38.00416565,408.4371033,38.01443863,245.6030731,
38.50416565,407.9483337,38.51443863,247.9656982,
39.00416565,413.9200439,39.01443863,251.6366882,
39.50416565,417.9829712,39.51443863,256.9376221,
40.00416565,412.1133728,40.01443863,258.0894775,
40.50416565,421.8850708,40.51443863,260.478241,
41.00416565,423.0040588,41.01443863,266.0195923,
41.50416565,421.6715393,41.51443863,265.3925476,
42.00416565,421.0213318,42.01443863,264.7601929,
42.50416565,416.4524841,42.51443863,268.0364075,
43.00416565,420.8648071,43.01443863,268.7787476,
43.50416565,425.9559021,43.51443863,266.9747009,
44.00416565,420.0866089,44.01443863,267.1560059,
44.50416565,425.052063,44.51443863,266.9129333,
45.00416565,415.549469,45.01443863,266.7589722,
45.50416565,418.4538574,45.5144577,266.0891113,
46.00416565,416.2576904,46.01447678,267.0230713,
46.50416565,416.1203613,46.51443863,267.5023499,
47.00416565,418.6967163,47.01443863,266.90625,
47.50416565,418.5110779,47.51443863,262.6641846,
48.00416565,420.8474731,48.01447678,267.100708,
48.50416565,418.9591064,48.51443863,261.4928589,
49.00416565,423.6017456,49.01443863,269.2168579,
49.50416565,419.0930481,49.51443863,271.7728271,
50.00416565,416.2158813,50.01443863,266.6542053,
50.50416565,416.7736206,50.51443863,265.8147278,
51.00416565,423.231842,51.01443863,270.882843,
51.50416565,408.6394958,51.51447678,273.7919922,
52.00416565,408.0426025,52.01443863,274.4066772,
52.50416565,392.9598083,52.51443863,281.3753052,
53.00416565,386.2377014,53.01443863,288.6571045,
53.50416565,339.9169006,53.51450348,326.0974731,
54.00416565,341.1862183,54.01443863,326.8363037,
54.50416565,316.9255676,54.51447678,345.8918152,
55.00416565,312.8306885,55.01443863,343.8511047,
55.50416565,302.3128052,55.51447678,351.276886,
56.00416565,292.9342346,56.01443863,350.5653076,
56.50416565,283.5191345,56.51443863,359.6101379,
57.00416565,280.8813782,57.01443863,350.5858154,
57.50416565,277.8823547,57.51443863,352.3711243,
58.00416565,277.6517029,58.01443863,351.8467712,
58.50416565,262.1567078,58.51443863,351.5451965,
59.00416565,263.1741028,59.01443863,355.8560791,
59.50416565,256.0720215,59.51443863,352.332489,
60.00416565,258.0112915,60.0144577,352.9734802,
60.50416565,249.0967712,60.51443863,353.2317505,
61.00416565,243.5428467,61.0144577,349.9707031,
61.50416565,242.725296,61.51443863,352.0212402,
62.00416565,238.4145813,62.0144577,352.2319641,
62.50416565,251.2079773,62.51447678,346.6205444,
63.00416565,251.5684662,63.01443863,352.0865479,
63.50416565,261.5979919,63.51443863,354.8609924,
64.00416565,262.4196472,64.01448059,355.4629822,
64.50416565,273.1221008,64.51443481,351.014679,
65.00416565,268.5950317,65.01443481,348.3002319,
65.50416565,284.5444946,65.51443481,354.0508118,
66.00416565,285.0119324,66.0144577,348.9487915,
66.50416565,289.8922424,66.51443481,350.3022461,
67.00416565,291.6295776,67.01443481,352.6621704,
67.50416565,302.1228943,67.51443481,340.9401855,
68.00416565,308.684906,68.01443481,350.4831543,
68.50416565,316.4525757,68.51443481,340.0470276,
69.00416565,327.2910156,69.01443481,342.2948608,
69.50416565,362.2167053,69.51443481,317.6001282,
70.00416565,362.236145,70.01443481,310.7067871,
70.50416565,404.7914429,70.51443481,287.5845642,
71.00416565,403.8196106,71.01448059,288.0913391,
71.50416565,420.8170471,71.51443481,277.5924683,
72.00416565,419.2589417,72.01448059,278.8200073,
72.50416565,416.4502869,72.51443481,267.7867737,
73.00416565,415.3167114,73.01443481,272.346344,
73.50416565,421.1728516,73.51443481,274.3590088,
