Sample1_Ex340_Em440,,Sample1_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,463.4987793,0.01439583302,185.9923553,
0.5041666627,460.8066101,0.5144374967,188.0437469,
1.004166722,467.0161743,1.014520884,186.5045471,
1.504166722,462.9912415,1.514437437,182.8106842,
2.004166603,465.5262451,2.014437437,187.2093658,
2.504166603,461.8684998,2.514437675,192.8440094,
3.004166603,464.302887,3.014437675,186.4903107,
3.504166603,460.2102966,3.514437675,182.7478638,
4.004166603,454.0736389,4.014437675,189.5166473,
4.504166603,457.1360474,4.514437199,190.4617767,
5.004166603,458.3484192,5.014437199,189.8210907,
5.504166603,450.361908,5.514437199,190.4303589,
6.004166603,447.696167,6.014437199,188.7202911,
6.504166603,444.5132446,6.51447916,186.0722046,
7.004166603,447.1083374,7.014437199,186.9453735,
7.504166603,439.0274658,7.51447916,186.0884857,
8.004166603,442.1651306,8.014437675,184.8052216,
8.504166603,432.6235962,8.514437675,189.2918091,
9.004166603,423.6492004,9.014479637,187.3956757,
9.504166603,419.46521,9.514437675,189.8880768,
10.0041666,418.4384155,10.01443768,185.6102448,
10.5041666,415.6090698,10.51443768,178.9912109,
11.0041666,414.5498962,11.01443768,190.092392,
11.5041666,416.8773499,11.51443768,182.8981628,
12.0041666,423.5705872,12.01447964,185.5049744,
12.5041666,426.9872131,12.51443768,185.2153168,
13.0041666,426.5662537,13.01449966,185.9755402,
13.5041666,438.475769,13.51443768,184.0541534,
14.0041666,437.5620117,14.01443768,183.7859497,
14.5041666,444.5616455,14.51443768,183.4270935,
15.0041666,435.3344116,15.01443768,180.8650818,
15.5041666,440.8625183,15.51443768,179.0989685,
16.00416756,440.8959351,16.01443863,177.7217712,
16.50416756,451.5271912,16.5144577,182.54953,
17.00416756,444.0446777,17.01443863,185.6979065,
17.50416756,450.0993347,17.51445961,180.4827271,
18.00416756,443.3190308,18.01443672,181.0571899,
18.50416756,454.0270996,18.51443672,176.7668304,
19.00416756,451.3421631,19.01443672,179.4735565,
19.50416756,452.5715637,19.51443672,179.857132,
20.00416756,446.3062134,20.01443672,180.3382721,
20.50416756,448.7808838,20.51445961,177.9120178,
21.00416756,455.0751648,21.01447868,180.1079865,
21.50416756,452.6218262,21.51447868,180.0250397,
22.00416756,455.0629578,22.01443672,176.3075867,
22.50416756,458.0137329,22.51443672,181.9793549,
23.00416756,454.2174377,23.01447868,179.0237579,
23.50416756,455.6354065,23.51443672,183.0560608,
24.00416756,455.3007507,24.01443672,184.9887085,
24.50416756,456.1267395,24.51447868,181.09198,
25.00416756,449.2833862,25.01443672,186.1463013,
25.50416756,455.95401,25.51447868,180.6507568,
26.00416756,449.0984497,26.01443672,182.0561981,
26.50416756,445.9530334,26.51447868,182.0960999,
27.00416756,443.2988586,27.01443672,179.3859253,
27.50416756,447.2722473,27.51443672,185.2446899,
28.00416756,450.4894104,28.01443672,179.7118835,
28.50416756,440.1837158,28.51443672,180.5934296,
29.00416756,446.7826843,29.01449966,183.9064331,
29.50416756,431.4156494,29.51443672,181.072937,
30.00416756,440.6419067,30.01443672,186.9447021,
30.50416756,433.3754883,30.51443672,186.3621979,
31.00416756,431.254303,31.01447868,182.798172,
31.50416756,441.6930847,31.51443672,178.3608704,
32.00416565,438.3812256,32.0144577,188.1373596,
32.50416565,439.8239441,32.51443863,187.5278931,
33.00416565,424.8669128,33.01443863,183.7437897,
33.50416565,436.0066223,33.51443863,190.8915863,
34.00416565,434.8381958,34.01448059,187.2803955,
34.50416565,429.3956909,34.51443863,182.2019806,
35.00416565,432.2991028,35.01443863,183.7861176,
35.50416565,431.7026672,35.51443863,185.480896,
36.00416565,422.0593262,36.01443863,188.0025635,
36.50416565,438.0581665,36.5144577,185.1326599,
37.00416565,434.4402771,37.01447678,189.6137848,
37.50416565,434.3491211,37.51443863,187.0419312,
38.00416565,432.409729,38.01443863,186.8705597,
38.50416565,425.7339783,38.51447678,182.6273804,
39.00416565,421.9179077,39.01443863,183.491394,
39.50416565,427.8804016,39.51443863,186.4073029,
40.00416565,430.4277039,40.01447678,185.6269226,
40.50416565,424.3789063,40.51443863,182.6555634,
41.00416565,429.7460632,41.01447678,184.0055695,
41.50416565,429.8381653,41.51443863,186.9465332,
42.00416565,428.9802246,42.01443863,186.2351685,
42.50416565,428.1538086,42.51443863,184.2034912,
43.00416565,427.6340637,43.01443863,184.2772217,
43.50416565,425.0132751,43.51443863,188.1471405,
44.00416565,421.076416,44.01443863,185.5472717,
44.50416565,431.1584778,44.51447678,190.8434753,
45.00416565,425.515564,45.01443863,184.1308746,
45.50416565,429.1383667,45.51450348,187.1442261,
46.00416565,436.1256104,46.01443863,186.6251373,
46.50416565,430.6207581,46.51443863,185.1395721,
47.00416565,429.4671936,47.01447678,188.1184235,
47.50416565,421.1040344,47.51443863,187.0357513,
48.00416565,430.0270691,48.0144577,186.4526825,
48.50416565,429.2210999,48.51443863,187.0841217,
49.00416565,432.0668335,49.0144577,182.9866333,
49.50416565,427.307312,49.51443863,185.7082672,
50.00416565,432.2581482,50.0144577,187.6522217,
50.50416565,430.7736206,50.51443863,183.5759888,
51.00416565,425.7073364,51.0144577,183.4127045,
51.50416565,431.7270203,51.51443863,187.9341736,
52.00416565,421.7409973,52.0144577,185.8056335,
52.50416565,419.6681824,52.51443863,181.9638367,
53.00416565,418.5653076,53.01443863,185.2575836,
53.50416565,419.7999878,53.51443863,188.5394135,
54.00416565,429.7310791,54.01443863,188.2605286,
54.50416565,418.2926636,54.51447678,185.7691803,
55.00416565,418.5397034,55.01443863,183.5679779,
55.50416565,405.3997192,55.51450348,191.8470764,
56.00416565,396.2625427,56.01447678,182.8301544,
56.50416565,386.9406433,56.51443863,186.1100159,
57.00416565,387.8677673,57.01447678,186.5132141,
57.50416565,356.9552917,57.51443863,192.628067,
58.00416565,351.4550781,58.01447678,193.3250427,
58.50416565,267.9542847,58.51443863,201.457428,
59.00416565,260.0837402,59.01447678,204.3177795,
59.50416565,225.9810333,59.51443863,206.8125,
60.00416565,228.4431305,60.01447678,214.3240051,
60.50416565,212.4923096,60.51443863,207.4331207,
61.00416565,213.2023468,61.01447678,210.3735046,
61.50416565,211.7766418,61.51443863,207.7530518,
62.00416565,212.2588654,62.01443863,210.3908081,
62.50416565,223.8163757,62.51447678,214.2550201,
63.00416565,221.8108368,63.01443863,209.6555634,
63.50416565,232.9339447,63.51447678,206.3174438,
64.00416565,233.3684845,64.01443481,209.1637115,
64.50416565,295.8701477,64.51448059,199.2442169,
65.00416565,305.6351318,65.01443481,191.1214752,
65.50416565,371.9707336,65.51448059,189.1510925,
66.00416565,368.7206726,66.01443481,185.0341797,
66.50416565,383.7745667,66.51448059,185.2480469,
67.00416565,382.5968323,67.01443481,184.8456573,
67.50416565,402.1130981,67.51448059,181.6205139,
68.00416565,397.6788025,68.01443481,186.2648468,
68.50416565,413.5417786,68.51443481,185.1520233,
