Sample6_Ex340_Em440,,Sample6_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,585.3318481,0.01439583302,306.4537964,
0.5041666627,593.1434326,0.5144791603,302.3126526,
1.004166722,587.7289429,1.01447916,306.3120117,
1.504166722,578.3930664,1.51447916,308.302002,
2.004166603,576.0167847,2.01447916,308.2843018,
2.504166603,574.8543091,2.514499903,308.271698,
3.004166603,572.4544067,3.01447916,310.1881409,
3.504166603,564.3068237,3.51447916,308.806488,
4.004166603,569.1070557,4.01447916,314.7490234,
4.504166603,557.895874,4.51447916,318.8161621,
5.004166603,550.2860718,5.01447916,311.0651855,
5.504166603,545.3499146,5.51447916,320.1436157,
6.004166603,547.7467041,6.01447916,319.7939758,
6.504166603,536.757019,6.51447916,322.6639404,
7.004166603,536.9359131,7.01447916,326.4062195,
7.504166603,524.3408203,7.51447916,324.0927734,
8.004166603,521.1288452,8.014478683,324.2520142,
8.504166603,510.5403748,8.514478683,337.2845764,
9.004166603,514.1981201,9.014479637,332.0215454,
9.504166603,497.4926758,9.514479637,333.727478,
10.0041666,502.0215454,10.01447964,329.6815186,
10.5041666,504.7550049,10.51447964,337.1555481,
11.0041666,492.2354431,11.01447964,333.1130371,
11.5041666,507.1323547,11.51447964,329.6423035,
12.0041666,512.0767822,12.01447964,332.0433655,
12.5041666,521.9142456,12.51447964,327.5299377,
13.0041666,527.2211304,13.01447964,333.4526062,
13.5041666,527.5145264,13.51447964,330.1932068,
14.0041666,531.553894,14.01447964,327.6115417,
14.5041666,547.0112305,14.51447964,319.632843,
15.0041666,545.2706909,15.01447964,325.7772217,
15.5041666,558.0561523,15.51447964,320.1601563,
16.00416756,555.8894043,16.01447868,314.0639343,
16.50416756,561.6341553,16.51447868,315.1870728,
17.00416756,564.6051636,17.01447868,318.2374878,
17.50416756,570.8894043,17.51447868,316.1893921,
18.00416756,567.7390137,18.01447868,309.8878479,
18.50416756,572.7511597,18.51447868,315.3546448,
19.00416756,575.9182739,19.01447868,320.2814026,
19.50416756,588.487915,19.51447868,308.0476685,
20.00416756,589.6149292,20.01447868,308.0595398,
20.50416756,594.0661011,20.51447868,303.1752625,
21.00416756,593.3568726,21.01447868,305.4342957,
21.50416756,593.5003662,21.51447868,308.7525024,
22.00416756,585.456604,22.01447868,307.8132019,
22.50416756,593.2050171,22.51447868,304.0274963,
23.00416756,591.0357666,23.01447868,308.2869568,
23.50416756,586.1530762,23.51447868,307.6133423,
24.00416756,589.3490601,24.01447868,304.201355,
24.50416756,590.5176392,24.51447868,306.542572,
25.00416756,585.9591064,25.01447868,305.2971191,
25.50416756,589.7276611,25.51447868,308.9049377,
26.00416756,586.9555054,26.01447868,309.9570313,
26.50416756,582.4266968,26.51447868,312.681427,
27.00416756,575.0163574,27.01447868,312.4418335,
27.50416756,586.2294312,27.51447868,312.061554,
28.00416756,582.6906738,28.01447868,302.1593628,
28.50416756,578.1149292,28.51447868,315.2229614,
29.00416756,573.4346924,29.01447868,307.5832825,
29.50416756,582.4885254,29.51449966,311.1791077,
30.00416756,573.6011353,30.01447868,312.7040405,
30.50416756,574.708313,30.51447868,307.9633484,
31.00416756,567.6306763,31.01447868,315.6336365,
31.50416756,569.3112183,31.51447868,316.9433899,
32.00416565,561.9758301,32.01448059,314.7725525,
32.50416565,555.2723999,32.51448059,320.0039368,
33.00416565,551.7007446,33.01448059,312.3678894,
33.50416565,552.3485718,33.51448059,312.0333862,
34.00416565,536.0234985,34.01448059,314.5845947,
34.50416565,545.2141113,34.51447678,320.9025269,
35.00416565,528.852478,35.01447678,321.9336548,
35.50416565,536.1726685,35.51447678,327.5533447,
36.00416565,533.4971313,36.01447678,320.8417664,
36.50416565,532.819458,36.51447678,318.0319214,
37.00416565,518.6240234,37.01447678,319.1377563,
37.50416565,529.6726074,37.51447678,321.7267456,
38.00416565,523.2374268,38.01447678,324.1058655,
38.50416565,520.9866943,38.51447678,318.8807678,
39.00416565,517.5114136,39.01447678,323.5891113,
39.50416565,517.5250854,39.51447678,327.3944702,
40.00416565,522.4795532,40.01447678,320.8113403,
40.50416565,515.4766846,40.51447678,322.8520813,
41.00416565,517.5116577,41.01447678,324.0552673,
41.50416565,511.8623352,41.51447678,331.7668762,
42.00416565,512.6530151,42.01447678,318.1818237,
42.50416565,514.9189453,42.51447678,323.2552185,
43.00416565,518.4981079,43.01447678,325.381958,
43.50416565,514.3553467,43.51447678,322.6379395,
44.00416565,519.5129395,44.01447678,322.2816162,
44.50416565,512.2442017,44.51447678,319.8687744,
45.00416565,518.9208984,45.01447678,321.4597168,
45.50416565,518.5618896,45.51447678,322.4554443,
46.00416565,517.1723633,46.01447678,325.5776367,
46.50416565,512.7294312,46.51447678,321.2008972,
47.00416565,512.8309326,47.01447678,320.3510742,
47.50416565,516.0701294,47.51447678,324.1362305,
48.00416565,513.194458,48.01447678,326.8934021,
48.50416565,509.9474182,48.51447678,323.3629761,
49.00416565,517.0974731,49.01447678,320.8849182,
49.50416565,511.8160706,49.51447678,320.3011475,
50.00416565,511.2466125,50.01447678,327.0628662,
50.50416565,515.5735474,50.51447678,318.8768005,
51.00416565,506.0586243,51.01447678,325.9720764,
51.50416565,500.3637085,51.51447678,325.7771912,
52.00416565,512.6692505,52.01447678,324.223999,
52.50416565,506.3006897,52.51447678,335.0187683,
53.00416565,499.3323669,53.01447678,329.7059937,
53.50416565,490.6401062,53.51447678,328.5341492,
54.00416565,488.616272,54.01447678,331.8893433,
54.50416565,481.9717712,54.51447678,329.2540283,
55.00416565,480.7370605,55.01447678,331.231842,
55.50416565,468.734436,55.51447678,335.3426819,
56.00416565,471.536377,56.01447678,332.6761475,
56.50416565,457.9605408,56.51447678,335.5378723,
57.00416565,460.2008362,57.01447678,332.4339905,
57.50416565,438.9102478,57.51447678,341.7366638,
58.00416565,445.1372986,58.01447678,338.7626953,
58.50416565,429.7215576,58.51447678,338.6844482,
59.00416565,432.1378784,59.01447678,338.676239,
59.50416565,418.6026611,59.51447678,344.7763367,
60.00416565,423.0984192,60.01447678,341.7484436,
60.50416565,414.308197,60.51447678,335.819519,
61.00416565,408.6394653,61.01447678,340.563385,
61.50416565,406.1412659,61.51447678,339.4569702,
62.00416565,405.8804321,62.01450348,340.7409973,
62.50416565,414.3596191,62.51447678,340.4286804,
63.00416565,420.7681885,63.01447678,340.191925,
63.50416565,427.841156,63.51450348,338.5999451,
64.00416565,423.6188354,64.01448059,337.8947449,
64.50416565,445.094635,64.51448059,332.0497131,
65.00416565,441.8286133,65.01448059,333.2795715,
65.50416565,456.6238098,65.51448059,336.3179016,
66.00416565,450.4071045,66.01448059,336.7944031,
66.50416565,466.8614807,66.51448059,333.2298584,
67.00416565,463.5565186,67.01448059,334.4455261,
67.50416565,469.657074,67.51448059,330.2611084,
68.00416565,471.699707,68.01448059,336.8170471,
68.50416565,479.9613953,68.51448059,332.6321716,
69.00416565,485.3435364,69.01448059,334.5505066,
69.50416565,493.660553,69.51448059,324.2684326,
70.00416565,498.8634338,70.01448059,333.4357605,
70.50416565,499.7172241,70.51448059,328.0324097,
71.00416565,502.3456116,71.01448059,329.2355652,
71.50416565,509.6563721,71.51448059,325.7679138,
72.00416565,520.2879028,72.01448059,329.5927124,
72.50416565,507.6925049,72.51448059,323.0844727,
73.00416565,508.2860107,73.01448059,329.7586365,
73.50416565,509.1694641,73.51448059,319.8953552,
74.00416565,511.1073303,74.01448059,328.0753479,
74.50416565,511.6425781,74.51448059,328.8476563,
