SoyPI_062925_Ex340_Em440,,SoyPI_062925_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,484.0210876,0.01439583302,357.5674744,
0.5041666627,490.5686951,0.5144791603,361.2865295,
1.004166722,484.7316284,1.01447916,359.6325684,
1.504166722,480.2832642,1.51447916,368.5346985,
2.004166603,485.6586914,2.01447916,362.675293,
2.504166603,480.0568848,2.514499903,360.820343,
3.004166603,474.5605774,3.01447916,360.037323,
3.504166603,472.3071594,3.51447916,361.2364197,
4.004166603,471.4358521,4.01447916,364.3552856,
4.504166603,470.5020752,4.51447916,361.1593018,
5.004166603,468.3954468,5.01447916,358.8473511,
5.504166603,464.3187561,5.51447916,362.7033081,
6.004166603,457.2514954,6.014541626,362.1444702,
6.504166603,462.6415405,6.51447916,369.1114502,
7.004166603,449.4994507,7.01447916,362.9551086,
7.504166603,453.6460266,7.51447916,367.2279968,
8.004166603,445.4597168,8.014478683,362.7623291,
8.504166603,451.9779358,8.514478683,365.7830505,
9.004166603,454.8247375,9.014479637,367.8614807,
9.504166603,442.9367981,9.514479637,367.2757874,
10.0041666,451.1101074,10.01447964,367.3065491,
10.5041666,443.8661499,10.51447964,363.0096741,
11.0041666,446.2225647,11.01447964,373.5151978,
11.5041666,444.8609924,11.51447964,368.4031677,
12.0041666,456.6454163,12.01447964,363.9658813,
12.5041666,450.4835815,12.51447964,362.4111633,
13.0041666,444.8213196,13.01447964,361.660675,
13.5041666,461.151886,13.51447964,372.4971313,
14.0041666,461.9563293,14.01447964,362.8479614,
14.5041666,453.5879517,14.51447964,364.1599731,
15.0041666,463.3236389,15.01447964,363.3929138,
15.5041666,471.1548767,15.51447964,358.5085449,
16.00416756,466.8893738,16.01447868,370.2038269,
16.50416756,470.7512512,16.51447868,364.0586243,
17.00416756,473.6371765,17.01447868,364.4690857,
17.50416756,481.4100647,17.51447868,360.6365356,
18.00416756,481.3526001,18.01447868,363.4648438,
18.50416756,486.4763184,18.51447868,362.007843,
19.00416756,492.9065552,19.01447868,361.6632996,
19.50416756,495.5262451,19.51454353,359.7369385,
20.00416756,500.3258667,20.01447868,356.8480225,
20.50416756,498.6812744,20.51447868,360.4408875,
21.00416756,500.2801514,21.01447868,353.9030151,
21.50416756,502.4312744,21.51447868,359.6957703,
22.00416756,509.3436279,22.01447868,350.682312,
22.50416756,508.5563049,22.51454353,355.6853027,
23.00416756,502.2385254,23.01447868,354.670166,
23.50416756,508.8963013,23.51447868,359.43573,
24.00416756,501.1556091,24.01447868,356.2548828,
24.50416756,499.9761658,24.51447868,365.1116333,
25.00416756,504.0327759,25.01447868,361.4171448,
25.50416756,491.1914063,25.51447868,361.3191833,
26.00416756,483.0812073,26.01447868,359.4184875,
26.50416756,494.8721313,26.51447868,362.9231262,
27.00416756,486.3740845,27.01447868,358.9243774,
27.50416756,489.5470886,27.51447868,354.0605469,
28.00416756,481.3740234,28.01447868,350.7965088,
28.50416756,481.012207,28.51447868,353.085083,
29.00416756,481.0842285,29.01447868,362.3209229,
