Sample3_Ex340_Em440,,Sample3_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.004166666884,736.0796509,0.01439583302,418.0611877,
0.5041666627,720.2609253,0.5144374967,420.1307373,
1.004166722,722.2780762,1.014437437,422.2741394,
1.504166722,720.4398193,1.514437437,423.8378906,
2.004166603,719.6121216,2.014437437,421.8569946,
2.504166603,706.8908081,2.514437675,427.7670288,
3.004166603,708.4018555,3.014437675,429.4856567,
3.504166603,707.664978,3.514437675,424.6010742,
4.004166603,702.0612183,4.014437675,431.5401611,
4.504166603,689.8031616,4.514437199,437.0913086,
5.004166603,690.9852295,5.014437199,432.1698608,
5.504166603,675.0651245,5.51447916,438.9156799,
6.004166603,668.3515625,6.014437199,433.5087891,
6.504166603,665.1508179,6.514437199,437.6925659,
7.004166603,670.4650269,7.014437199,436.9691467,
7.504166603,661.230957,7.514437199,437.7746582,
8.004166603,662.939209,8.014437675,443.462677,
8.504166603,637.6887207,8.514437675,452.1260071,
9.004166603,642.1704102,9.014437675,456.3977661,
9.504166603,632.5712891,9.514437675,451.9008179,
10.0041666,637.3007813,10.01447964,458.2041931,
10.5041666,634.836731,10.51443768,460.7766418,
11.0041666,622.7288818,11.01443768,446.7279663,
11.5041666,649.6213379,11.51443768,452.897644,
12.0041666,642.6384277,12.01443768,452.7572327,
12.5041666,652.9790039,12.51443768,456.0792236,
13.0041666,647.8493042,13.01443768,445.9277649,
13.5041666,675.3580933,13.51443768,444.3301697,
14.0041666,677.1921997,14.01443768,452.7154846,
14.5041666,687.5690918,14.51443768,439.4583435,
15.0041666,675.7427368,15.01443768,430.6994629,
15.5041666,685.5546265,15.51443768,435.5995789,
16.00416756,702.6800537,16.01443863,442.2358398,
16.50416756,696.1370239,16.51443863,437.9309998,
17.00416756,697.8560791,17.01447868,441.2167358,
17.50416756,709.7672119,17.51443672,434.4774475,
18.00416756,702.9875488,18.01443672,435.3592224,
18.50416756,712.8276367,18.51443672,431.8530579,
19.00416756,718.7764282,19.01443672,424.5330505,
19.50416756,726.1521606,19.51443672,422.1826172,
20.00416756,726.4675293,20.01443672,425.4378967,
20.50416756,734.7550659,20.51443672,414.5250854,
21.00416756,732.9695435,21.01443672,414.0906677,
21.50416756,727.1671143,21.51443672,425.28125,
22.00416756,730.0514526,22.01443672,420.5088196,
22.50416756,739.4661255,22.51443672,427.7074585,
23.00416756,726.5323486,23.01443672,425.0565491,
23.50416756,740.3175659,23.51443672,424.6587524,
