Sample 3,,
Wavelength (nm),Intensity (a.u.),
400,106.022316,
401.9599915,118.740097,
403.9299927,136.9191742,
406.0599976,162.4156036,
408.0299988,176.5628967,
410,217.5101776,
412,251.2141113,
414,263.6815796,
416,303.1925659,
418,345.7422791,
420,367.0232849,
421.9599915,413.2614136,
423.9299927,446.6627808,
426.0599976,467.4476624,
428.0299988,500.1618958,
430,502.411377,
432,527.7457275,
434,532.4489136,
436,534.4327393,
438,546.364624,
440,549.4476318,
441.9599915,548.4331055,
443.9299927,559.2703247,
446.0599976,556.965271,
448.0299988,569.6930542,
450,562.5247192,
451.9599915,561.4382935,
453.9299927,560.3065186,
456.0599976,575.5992432,
458.0299988,564.524353,
460,558.2029419,
461.9599915,530.0704956,
463.9299927,528.5299072,
466.0599976,528.1604614,
468.0299988,546.1922607,
470,521.050293,
471.9400024,513.2261353,
474.019989,508.3702087,
475.9700012,504.5513,
478.0499878,493.9581604,
480,485.3348389,
481.9599915,469.0768127,
483.9299927,470.0964661,
486.0599976,444.1482849,
488.0299988,441.8440857,
490,439.2104187,
491.9400024,430.3423462,
494.019989,430.629364,
495.9700012,391.8688049,
498.0499878,402.8439026,
500,386.1595764,
501.9599915,372.8522339,
503.9299927,371.7957153,
506.0599976,347.1063843,
508.0299988,332.8037109,
510,315.2542419,
511.9400024,323.5501099,
514.0200195,296.7911072,
515.9699707,283.7230225,
518.0499878,284.5295105,
520,269.7581177,
521.9400024,257.9721069,
524.0200195,248.7345428,
525.9699707,241.4682922,
528.0499878,213.0012054,
530,206.5667877,
531.9400024,191.8302765,
534.0200195,190.1058197,
535.9699707,185.4593811,
538.0499878,172.2083435,
540,156.4708252,
542.0499878,147.5856934,
543.9699707,143.8097076,
546.0200195,125.2146225,
547.9400024,126.533493,
550,114.4665985,
551.9400024,110.1705627,
554.0200195,98.73513031,
555.9699707,101.5968857,
558.0499878,92.57842255,
560,81.30899811,
562.0499878,80.16107941,
563.9699707,84.48243713,
566.0200195,68.86493683,
567.9400024,66.88645172,
570,65.20359802,
571.9400024,57.7694397,
574.0200195,54.6437645,
575.9699707,59.85166168,
578.0499878,50.55887604,
580,47.9634552,
582.0499878,46.01227188,
583.9699707,43.67258453,
586.0200195,39.92334747,
587.9400024,39.69213104,
590,39.35418701,
592.0499878,35.05685806,
593.9699707,32.73865509,
596.0200195,32.07164001,
597.9400024,30.26457596,
600,29.79632759,

Sample 3,
Sample 3
Collection Time: 5/14/2025 7:05:58 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY15240001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/14/2025 11:36:43 AM
Method Modifications:
PMT Volts Changed: 5/14/2025 11:40:39 AM, Old:600, New:800
Autoconvert Changed: 5/14/2025 11:40:39 AM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 5/14/2025 11:40:39 AM, Old:5, New:2.5
Scan Control Changed: 5/14/2025 11:40:39 AM, Old:Medium, New:Fast
Emission PMT (V): Changed: 5/14/2025 11:40:39 AM, Old: 600, New: 800
Excitation Wavelength Changed: 5/14/2025 11:40:39 AM, Old: 350.00, New: 340.00
Data interval: Changed: 5/14/2025 11:40:39 AM, Old:   1.00, New:   2.00
PMT Volts Changed: 5/14/2025 11:59:46 AM, Old:800, New:780
Emission PMT (V): Changed: 5/14/2025 11:59:46 AM, Old: 800, New: 780
PMT Volts Changed: 5/14/2025 7:05:17 PM, Old:780, New:800
Emission PMT (V): Changed: 5/14/2025 7:05:17 PM, Old: 780, New: 800
End Method Modifications

