clock	state	temp_act	temp_ext	temp_int	temp_set	time	watch
20250513 202804	1	1.37	0.6	4.7	0	3600	0.7900011539459229
20250513 202806	1	1.37	0.6	4.7	0	3600	2.270003318786621
20250513 202808	1	1.37	0.6	4.7	0	3600	3.9300055503845215
20250513 202809	1	1.37	0.6	4.7	0	3600	5.590008020401001
20250513 202811	1	1.37	0.6	4.7	0	3600	7.250010251998901
20250513 202813	1	1.37	0.6	4.7	0	3600	8.910012483596802
20250513 202814	1	1.37	0.6	4.7	0	3600	10.570014715194702
20250513 202816	1	1.37	0.6	4.7	0	3600	12.230017185211182
20250513 202818	1	1.37	0.6	4.7	0	3600	13.890019416809082
20250513 202819	1	1.37	0.6	4.7	0	3600	15.550021648406982
20250513 202821	1	1.37	0.6	4.7	0	3600	17.260024070739746
20250513 202823	1	1.37	0.6	4.7	0	3600	18.920026779174805
20250513 202824	1	1.37	0.6	4.7	0	3600	20.580029010772705
20250513 202826	1	1.37	0.6	4.7	0	3600	22.240031242370605
20250513 202828	1	1.37	0.6	4.7	0	3600	23.900033712387085
20250513 202829	1	1.37	0.6	4.7	0	3600	25.560035943984985
20250513 202831	1	1.37	0.6	4.7	0	3600	27.220038175582886
20250513 202833	1	1.37	0.6	4.7	0	3600	28.880040645599365
20250513 202834	1	1.37	0.6	4.7	0	3600	30.540042877197266
20250513 202836	1	1.37	0.6	4.7	0	3600	32.200045108795166
20250513 202838	1	1.37	0.6	4.7	0	3600	33.860047578811646
20250513 202839	1	1.37	0.6	4.7	0	3600	35.520049810409546
20250513 202841	1	1.37	0.6	4.7	0	3600	37.180052042007446
20250513 202843	1	1.37	0.6	4.7	0	3600	38.84005427360535
20250513 202844	1	1.37	0.6	4.7	0	3600	40.500056982040405
20250513 202846	1	1.37	0.6	4.7	0	3600	42.160059213638306
20250513 202847	1	1.37	0.6	4.7	0	3600	43.820061445236206
20250513 202849	1	1.37	0.6	4.7	0	3600	45.480063915252686
20250513 202851	1	1.37	0.6	4.7	0	3600	47.140066146850586
20250513 202852	1	1.37	0.6	4.7	0	3600	48.800068378448486
20250513 202854	1	1.37	0.6	4.7	0	3600	50.460070848464966
20250513 202856	1	1.37	0.6	4.7	0	3600	52.120073080062866
20250513 202857	1	1.37	0.6	4.7	0	3600	53.78007531166077
20250513 202859	1	1.37	0.6	4.7	0	3600	55.440077781677246
20250513 202901	1	1.37	0.6	4.7	0	3600	57.10008001327515
20250513 202902	1	1.37	0.6	4.7	0	3600	58.76008224487305
20250513 202904	1	1.37	0.6	4.7	0	3600	60.420084953308105
20250513 202906	1	1.37	0.6	4.7	0	3600	62.080087184906006
20250513 202907	1	1.37	0.6	4.7	0	3600	63.740089416503906
20250513 202909	1	1.37	0.6	4.7	0	3600	65.4000916481018
20250513 202911	1	1.37	0.6	4.7	0	3600	67.06009411811829
20250513 202912	1	1.37	0.6	4.7	0	3600	68.72009634971619
20250513 202914	1	1.37	0.6	4.7	0	3600	70.38009858131409
20250513 202916	1	1.37	0.6	4.7	0	3600	72.04010105133057
20250513 202917	1	1.37	0.6	4.7	0	3600	73.70010328292847
20250513 202919	1	1.37	0.6	4.7	0	3600	75.36010551452637
20250513 202921	1	1.37	0.6	4.7	0	3600	77.02010798454285
20250513 202922	1	1.37	0.6	4.7	0	3600	78.68011021614075
20250513 202924	1	1.37	0.6	4.7	0	3600	80.34011244773865
20250513 202926	1	1.37	0.6	4.7	0	3600	82.0001151561737
20250513 202927	1	1.37	0.6	4.7	0	3600	83.6601173877716
20250513 202929	1	1.37	0.6	4.7	0	3600	85.3201196193695
20250513 202931	1	1.37	0.6	4.7	0	3600	86.98012185096741
20250513 202932	1	1.37	0.6	4.7	0	3600	88.64012432098389
20250513 202934	1	1.37	0.6	4.7	0	3600	90.30012655258179
20250513 202936	1	1.37	0.6	4.7	0	3600	91.96012878417969
20250513 202937	1	1.37	0.6	4.7	0	3600	93.62013125419617
20250513 202939	1	1.37	0.6	4.7	0	3600	95.28013348579407
20250513 202941	1	1.37	0.6	4.7	0	3600	96.94013571739197
20250513 202942	1	1.37	0.6	4.7	0	3600	98.60013818740845
20250513 202944	1	1.37	0.6	4.7	0	3600	100.26014041900635
20250513 202946	1	1.37	0.6	4.7	0	3600	101.92014288902283
20250513 202947	1	1.37	0.6	4.7	0	3600	103.5801453590393
20250513 202949	1	1.37	0.6	4.7	0	3600	105.2401475906372
20250513 202951	1	1.37	0.6	4.7	0	3600	106.90014982223511
20250513 202952	1	1.37	0.6	4.7	0	3600	108.56015205383301
20250513 202954	1	1.37	0.6	4.7	0	3600	110.22015452384949
20250513 202956	1	1.37	0.6	4.7	0	3600	111.88015675544739
20250513 202957	1	1.37	0.6	4.7	0	3600	113.54015898704529
20250513 202959	1	1.37	0.6	4.7	0	3600	115.20016145706177
20250513 203001	1	1.37	0.6	4.7	0	3600	116.86016368865967
20250513 203002	1	1.37	0.6	4.7	0	3600	118.52016592025757
20250513 203004	1	1.37	0.6	4.7	0	3600	120.18016839027405
20250513 203006	1	1.37	0.6	4.7	0	3600	121.84017062187195
20250513 203007	1	1.37	0.6	4.7	0	3600	123.50017309188843
20250513 203009	1	1.37	0.6	4.7	0	3600	125.16017556190491
20250513 203010	1	1.37	0.6	4.7	0	3600	126.82017755508423
20250513 203012	1	1.37	0.6	4.7	0	3600	128.48017978668213
20250513 203014	1	1.37	0.6	4.7	0	3600	130.1401822566986
20250513 203015	1	1.37	0.6	4.7	0	3600	131.8001847267151
20250513 203017	1	1.37	0.6	4.7	0	3600	133.460186958313
20250513 203019	1	1.37	0.6	4.7	0	3600	135.1201891899109
20250513 203020	1	1.37	0.6	4.7	0	3600	136.78019165992737
20250513 203022	1	1.37	0.6	4.7	0	3600	138.44019389152527
20250513 203024	1	1.37	0.6	4.7	0	3600	140.10019612312317
20250513 203025	1	1.37	0.6	4.7	0	3600	141.76019859313965
20250513 203027	1	1.37	0.6	4.7	0	3600	143.42020106315613
20250513 203029	1	1.37	0.6	4.7	0	3600	145.08020329475403
20250513 203030	1	1.37	0.6	4.7	0	3600	146.74020552635193
20250513 203032	1	1.37	0.6	4.7	0	3600	148.40020775794983
20250513 203034	1	1.37	0.6	4.7	0	3600	150.06020998954773
20250513 203035	1	1.37	0.6	4.7	0	3600	151.7202126979828
20250513 203037	1	1.37	0.6	4.7	0	3600	153.3802149295807
20250513 203039	1	1.37	0.6	4.7	0	3600	155.0402171611786
20250513 203040	1	1.37	0.6	4.7	0	3600	156.7002193927765
20250513 203042	1	1.37	0.6	4.7	0	3600	158.36022186279297
20250513 203044	1	1.37	0.6	4.7	0	3600	160.02022409439087
20250513 203045	1	1.37	0.6	4.7	0	3600	161.68022632598877
20250513 203047	1	1.37	0.6	4.7	0	3600	163.34022879600525
20250513 203049	1	1.37	0.6	4.7	0	3600	165.00023102760315
20250513 203050	1	1.37	0.6	4.7	0	3600	166.65023350715637
20250513 203052	1	1.37	0.6	4.7	0	3600	168.31023573875427
20250513 203054	1	1.37	0.6	4.7	0	3600	169.97023797035217
20250513 203055	1	1.37	0.6	4.7	0	3600	171.63024044036865
20250513 203057	1	1.37	0.6	4.7	0	3600	173.29024267196655
20250513 203059	1	1.37	0.6	4.7	0	3600	174.95024490356445
20250513 203100	1	1.37	0.6	4.7	0	3600	176.61024737358093
20250513 203102	1	1.37	0.6	4.7	0	3600	178.27024960517883
20250513 203104	1	1.37	0.6	4.7	0	3600	179.9302520751953
20250513 203105	1	1.37	0.6	4.7	0	3600	181.5902545452118
20250513 203107	1	1.37	0.6	4.7	0	3600	183.2502567768097
20250513 203109	1	1.37	0.6	4.7	0	3600	184.9102590084076
20250513 203110	1	1.37	0.6	4.7	0	3600	186.56026124954224
20250513 203112	1	1.37	0.6	4.7	0	3600	188.22026348114014
20250513 203114	1	1.37	0.6	4.7	0	3600	189.88026571273804
20250513 203115	1	1.37	0.6	4.7	0	3600	191.54026818275452
20250513 203117	1	1.37	0.6	4.7	0	3600	193.20027041435242
20250513 203119	1	1.37	0.6	4.7	0	3600	194.8602728843689
20250513 203120	1	1.37	0.6	4.7	0	3600	196.52027535438538
20250513 203122	1	1.37	0.6	4.7	0	3600	198.18027758598328
20250513 203124	1	1.37	0.6	4.7	0	3600	199.84027981758118
20250513 203125	1	1.37	0.6	4.7	0	3600	201.50028228759766
20250513 203127	1	1.37	0.6	4.7	0	3600	203.16028451919556
20250513 203128	1	1.37	0.6	4.7	0	3600	204.82028675079346
20250513 203130	1	1.37	0.6	4.7	0	3600	206.48028922080994
20250513 203132	1	1.37	0.6	4.7	0	3600	208.14029145240784
20250513 203133	1	1.37	0.6	4.7	0	3600	209.80029368400574
20250513 203135	1	1.37	0.6	4.7	0	3600	211.46029615402222
20250513 203137	1	1.37	0.6	4.7	0	3600	213.12029838562012
20250513 203138	1	1.37	0.6	4.7	0	3600	214.7803008556366
20250513 203140	1	1.37	0.6	4.7	0	3600	216.4403030872345
20250513 203142	1	1.37	0.6	4.7	0	3600	218.10030555725098
20250513 203143	1	1.37	0.6	4.7	0	3600	219.76030778884888
20250513 203145	1	1.37	0.6	4.7	0	3600	221.42031002044678
20250513 203147	1	1.37	0.6	4.7	0	3600	223.08031249046326
20250513 203148	1	1.37	0.6	4.7	0	3600	224.74031472206116
20250513 203150	1	1.37	0.6	4.7	0	3600	226.40031695365906
20250513 203152	1	1.37	0.6	4.7	0	3600	228.06031942367554
20250513 203153	1	1.37	0.6	4.7	0	3600	229.72032165527344
20250513 203155	1	1.37	0.6	4.7	0	3600	231.38032388687134
20250513 203157	1	1.37	0.6	4.7	0	3600	233.04032635688782
20250513 203158	1	1.37	0.6	4.7	0	3600	234.69032859802246
20250513 203200	1	1.37	0.6	4.7	0	3600	236.35033106803894
20250513 203202	1	1.37	0.6	4.7	0	3600	238.01033329963684
20250513 203203	1	1.37	0.6	4.7	0	3600	239.67033553123474
20250513 203205	1	1.37	0.6	4.7	0	3600	241.33033800125122
20250513 203207	1	1.37	0.6	4.7	0	3600	242.99034023284912
20250513 203208	1	1.37	0.6	4.7	0	3600	244.6503427028656
20250513 203210	1	1.37	0.6	4.7	0	3600	246.31034517288208
20250513 203212	1	1.37	0.6	4.7	0	3600	247.9703471660614
20250513 203213	1	1.37	0.6	4.7	0	3600	249.6303493976593
20250513 203215	1	1.37	0.6	4.7	0	3600	251.29035186767578
20250513 203217	1	1.37	0.6	4.7	0	3600	252.95035433769226
20250513 203218	1	1.37	0.6	4.7	0	3600	254.61035656929016
20250513 203220	1	1.37	0.6	4.7	0	3600	256.27035880088806
20250513 203222	1	1.37	0.6	4.7	0	3600	257.93036127090454
20250513 203223	1	1.37	0.6	4.7	0	3600	259.59036350250244
20250513 203225	1	1.37	0.6	4.7	0	3600	261.25036573410034
20250513 203227	1	1.37	0.6	4.7	0	3600	262.9103682041168
20250513 203228	1	1.37	0.6	4.7	0	3600	264.5703706741333
20250513 203230	1	1.37	0.6	4.7	0	3600	266.2303729057312
20250513 203232	1	1.37	0.6	4.7	0	3600	267.8903748989105
20250513 203233	1	1.37	0.6	4.7	0	3600	269.550377368927
20250513 203235	1	1.37	0.6	4.7	0	3600	271.2103798389435
20250513 203237	1	1.37	0.6	4.7	0	3600	272.8703820705414
20250513 203238	1	1.37	0.6	4.7	0	3600	274.53038454055786
20250513 203240	1	1.37	0.6	4.7	0	3600	276.19038677215576
20250513 203242	1	1.37	0.6	4.7	0	3600	277.85038900375366
20250513 203243	1	1.37	0.6	4.7	0	3600	279.51039147377014
20250513 203245	1	1.37	0.6	4.7	0	3600	281.17039370536804
20250513 203247	1	1.37	0.6	4.7	0	3600	282.83039593696594
20250513 203248	1	1.37	0.6	4.7	0	3600	284.4903984069824
20250513 203250	1	1.37	0.6	4.7	0	3600	286.1504006385803
20250513 203251	1	1.37	0.6	4.7	0	3600	287.8104028701782
20250513 203253	1	1.37	0.6	4.7	0	3600	289.4704053401947
20250513 203255	1	1.37	0.6	4.7	0	3600	291.1304075717926
20250513 203256	1	1.37	0.6	4.7	0	3600	292.7904100418091
20250513 203258	1	1.37	0.6	4.7	0	3600	294.450412273407
20250513 203300	1	1.37	0.6	4.7	0	3600	296.11041474342346
20250513 203301	1	1.37	0.6	4.7	0	3600	297.77041697502136
20250513 203303	1	1.37	0.6	4.7	0	3600	299.43041920661926
20250513 203305	1	1.37	0.6	4.7	0	3600	301.09042167663574
20250513 203306	1	1.37	0.6	4.7	0	3600	302.75042390823364
20250513 203308	1	1.37	0.6	4.7	0	3600	304.41042613983154
20250513 203310	1	1.37	0.6	4.7	0	3600	306.070428609848
20250513 203311	1	1.37	0.6	4.7	0	3600	307.7304308414459
20250513 203313	1	1.37	0.6	4.7	0	3600	309.3904330730438
20250513 203315	1	1.37	0.6	4.7	0	3600	311.0504355430603
20250513 203316	1	1.37	0.6	4.7	0	3600	312.7104380130768
20250513 203318	1	1.37	0.6	4.7	0	3600	314.3704402446747
20250513 203320	1	1.37	0.6	4.7	0	3600	316.03044271469116
20250513 203321	1	1.37	0.6	4.7	0	3600	317.69044494628906
20250513 203323	1	1.37	0.6	4.7	0	3600	319.35044717788696
20250513 203325	1	1.37	0.6	4.7	0	3600	321.01044940948486
20250513 203326	1	1.37	0.6	4.7	0	3600	322.6604518890381
20250513 203328	1	1.37	0.6	4.7	0	3600	324.32045435905457
20250513 203330	1	1.37	0.6	4.7	0	3600	325.98045659065247
20250513 203331	1	1.37	0.6	4.7	0	3600	327.64045882225037
20250513 203333	1	1.37	0.6	4.7	0	3600	329.30046105384827
20250513 203335	1	1.37	0.6	4.7	0	3600	330.96046352386475
20250513 203336	1	1.37	0.6	4.7	0	3600	332.62046575546265
20250513 203338	1	1.37	0.6	4.7	0	3600	334.28046798706055
20250513 203340	1	1.37	0.6	4.7	0	3600	335.940470457077
20250513 203341	1	1.37	0.6	4.7	0	3600	337.6004726886749
20250513 203343	1	1.37	0.6	4.7	0	3600	339.2604749202728
20250513 203345	1	1.37	0.6	4.7	0	3600	340.9204776287079
20250513 203346	1	1.37	0.6	4.7	0	3600	342.5804798603058
20250513 203348	1	1.37	0.6	4.7	0	3600	344.2404820919037
20250513 203350	1	1.37	0.6	4.7	0	3600	345.90048456192017
20250513 203351	1	1.37	0.6	4.7	0	3600	347.56048679351807
20250513 203353	1	1.37	0.6	4.7	0	3600	349.22048902511597
20250513 203355	1	1.37	0.6	4.7	0	3600	350.88049125671387
20250513 203356	1	1.37	0.6	4.7	0	3600	352.54049372673035
20250513 203358	1	1.37	0.6	4.7	0	3600	354.20049595832825
20250513 203400	1	1.37	0.6	4.7	0	3600	355.86049818992615
20250513 203401	1	1.37	0.6	4.7	0	3600	357.5205006599426
20250513 203403	1	1.37	0.6	4.7	0	3600	359.1805028915405
20250513 203405	1	1.37	0.6	4.7	0	3600	360.8405051231384
