clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250629 205319	1000.0	1000	1	0.7	6.3	0	60	0.08000016212463379
20250629 205320	1000.0	1000	1	0.7	6.3	0	60	1.0700013637542725
20250629 205321	1000.0	1000	1	0.7	6.3	0	60	2.070002794265747
20250629 205322	1000.0	1000	1	0.7	6.3	0	60	3.0700042247772217
20250629 205323	1000.0	1000	1	0.7	6.3	0	60	4.070005655288696
20250629 205324	1000.0	1000	1	0.7	6.3	0	60	5.070007085800171
20250629 205325	1000.0	1000	1	0.7	6.3	0	60	6.070008277893066
20250629 205326	1000.0	1000	1	0.7	6.3	0	60	7.07000994682312
20250629 205327	1000.0	1000	1	0.7	6.3	0	60	8.070011138916016
20250629 205328	1000.0	1000	1	0.7	6.3	0	60	9.07001280784607
20250629 205329	1000.0	1000	1	0.7	6.3	0	60	10.070013999938965
20250629 205330	1000.0	1000	1	0.7	6.3	0	60	11.07001543045044
20250629 205331	1000.0	1000	1	0.7	6.3	0	60	12.070016860961914
20250629 205332	1000.0	1000	1	0.7	6.3	0	60	13.070018291473389
20250629 205333	1000.0	1000	1	0.7	6.3	0	60	14.070019721984863
20250629 205334	1000.0	1000	1	0.7	6.3	0	60	15.070020914077759
20250629 205335	1000.0	1000	1	0.7	6.3	0	60	16.070022344589233
20250629 205336	1000.0	1000	1	0.7	6.3	0	60	17.070023775100708
20250629 205337	1000.0	1000	1	0.7	6.3	0	60	18.070025205612183
20250629 205338	1000.0	1000	1	0.7	6.2	0	60	19.070026636123657
20250629 205339	1000.0	1000	1	0.7	6.2	0	60	20.070028066635132
20250629 205340	1000.0	1000	1	0.7	6.2	0	60	21.070029258728027
20250629 205341	1000.0	1000	1	0.7	6.2	0	60	22.07003092765808
20250629 205342	1000.0	1000	1	0.7	6.2	0	60	23.070032119750977
20250629 205343	1000.0	1000	1	0.7	6.2	0	60	24.07003378868103
20250629 205344	1000.0	1000	1	0.7	6.2	0	60	25.070034980773926
20250629 205345	1000.0	1000	1	0.7	6.2	0	60	26.07003664970398
20250629 205346	1000.0	1000	1	0.7	6.2	0	60	27.070037841796875
20250629 205347	1000.0	1000	1	0.7	6.2	0	60	28.07003927230835
20250629 205348	1000.0	1000	1	0.7	6.2	0	60	29.070040702819824
20250629 205349	1000.0	1000	1	0.7	6.2	0	60	30.0700421333313
20250629 205350	1000.0	1000	1	0.7	6.2	0	60	31.070043563842773
20250629 205351	1000.0	1000	1	0.7	6.2	0	60	32.07004475593567
20250629 205352	1000.0	1000	1	0.7	6.2	0	60	33.070046186447144
20250629 205353	1000.0	1000	1	0.7	6.2	0	60	34.07004761695862
20250629 205354	1000.0	1000	1	0.7	6.2	0	60	35.07004904747009
20250629 205355	1000.0	1000	1	0.7	6.2	0	60	36.07005047798157
20250629 205356	1000.0	1000	1	0.7	6.1	0	60	37.07005190849304
20250629 205357	1000.0	1000	1	0.7	6.2	0	60	38.07005310058594
20250629 205358	1000.0	1000	1	0.7	6.1	0	60	39.07005476951599
20250629 205359	1000.0	1000	1	0.7	6.1	0	60	40.07005596160889
20250629 205400	1000.0	1000	1	0.7	6.1	0	60	41.07005763053894
20250629 205401	1000.0	1000	1	0.7	6.1	0	60	42.070058822631836
20250629 205402	1000.0	1000	1	0.7	6.1	0	60	43.07006025314331
20250629 205403	1000.0	1000	1	0.7	6.1	0	60	44.070061683654785
20250629 205404	1000.0	1000	1	0.7	6.1	0	60	45.07006311416626
20250629 205405	1000.0	1000	1	0.7	6.1	0	60	46.070064544677734
20250629 205406	1000.0	1000	1	0.7	6.1	0	60	47.07006573677063
20250629 205407	1000.0	1000	1	0.7	6.1	0	60	48.070067167282104
20250629 205408	1000.0	1000	1	0.7	6.1	0	60	49.07006859779358
20250629 205409	1000.0	1000	1	0.7	6.1	0	60	50.070070028305054
20250629 205410	1000.0	1000	1	0.7	6.1	0	60	51.07007145881653
20250629 205411	1000.0	1000	1	0.7	6.1	0	60	52.070072889328
20250629 205412	1000.0	1000	1	0.7	6.1	0	60	53.0700740814209
20250629 205413	1000.0	1000	1	0.7	6.1	0	60	54.07007575035095
20250629 205414	1000.0	1000	1	0.7	6.1	0	60	55.07007694244385
20250629 205415	1000.0	1000	1	0.7	6.1	0	60	56.0700786113739
20250629 205416	1000.0	1000	1	0.7	6.1	0	60	57.0700798034668
20250629 205417	1000.0	1000	1	0.7	6.1	0	60	58.07008123397827
20250629 205418	1000.0	1000	1	0.7	6.1	0	60	59.070082664489746
20250629 205419	1000.0	900	2	0.7	6.0	0	60	60.13008403778076
20250629 205420	920.3	900	2	0.7	6.1	0	60	61.12008547782898
20250629 205421	902.5	900	2	0.7	6.0	0	60	62.120086908340454
20250629 205422	898.7	900	2	0.7	6.0	0	60	63.12008810043335
20250629 205423	899.6	900	2	0.7	6.0	0	60	64.1200897693634
20250629 205424	900.8	900	2	0.7	6.0	0	60	65.1200909614563
20250629 205425	900.2	900	2	0.7	6.0	0	60	66.12009239196777
20250629 205426	899.6	900	2	0.7	6.0	0	60	67.12009382247925
20250629 205427	899.8	900	2	0.7	6.0	0	60	68.12009525299072
20250629 205428	900.2	900	2	0.7	6.0	0	60	69.1200966835022
20250629 205429	900.2	900	2	0.7	6.0	0	60	70.12009811401367
20250629 205430	900.0	900	2	0.7	6.0	0	60	71.12009930610657
20250629 205431	899.8	900	2	0.7	6.0	0	60	72.12010097503662
20250629 205432	900.0	900	2	0.7	6.0	0	60	73.12010216712952
20250629 205433	900.0	900	2	0.7	6.0	0	60	74.12010383605957
20250629 205434	900.0	900	2	0.7	6.0	0	60	75.12010502815247
20250629 205435	900.1	900	2	0.7	6.0	0	60	76.12010645866394
20250629 205436	900.1	900	2	0.7	6.0	0	60	77.12010788917542
20250629 205437	900.1	900	2	0.7	6.0	0	60	78.12010931968689
20250629 205438	900.1	900	2	0.7	6.0	0	60	79.12011075019836
20250629 205439	900.1	900	2	0.7	6.0	0	60	80.12011194229126
20250629 205440	900.2	900	2	0.7	6.0	0	60	81.12011337280273
20250629 205441	900.2	900	2	0.7	6.0	0	60	82.12011480331421
20250629 205442	900.2	900	2	0.7	6.0	0	60	83.12011623382568
20250629 205443	900.2	900	2	0.7	6.0	0	60	84.12011766433716
20250629 205444	900.2	900	2	0.7	6.0	0	60	85.12011909484863
20250629 205445	900.2	900	2	0.7	6.0	0	60	86.12012028694153
20250629 205446	900.2	900	2	0.7	6.0	0	60	87.12012195587158
20250629 205447	900.2	900	2	0.7	6.0	0	60	88.12012314796448
20250629 205448	900.2	900	2	0.7	6.0	0	60	89.12012481689453
20250629 205449	900.2	900	2	0.7	6.0	0	60	90.12012600898743
20250629 205450	900.2	900	2	0.7	5.9	0	60	91.1201274394989
20250629 205451	900.2	900	2	0.7	5.9	0	60	92.12012887001038
20250629 205452	900.2	900	2	0.7	5.9	0	60	93.12013030052185
20250629 205453	900.2	900	2	0.7	5.9	0	60	94.12013173103333
20250629 205454	900.2	900	2	0.7	5.9	0	60	95.12013292312622
20250629 205455	900.2	900	2	0.7	5.9	0	60	96.1201343536377
20250629 205456	900.2	900	2	0.7	5.9	0	60	97.12013578414917
20250629 205457	900.2	900	2	0.7	5.9	0	60	98.12013721466064
20250629 205458	900.2	900	2	0.7	5.9	0	60	99.12013864517212
20250629 205459	900.2	900	2	0.7	5.9	0	60	100.1201400756836
20250629 205500	900.2	900	2	0.7	5.9	0	60	101.12014126777649
20250629 205501	900.2	900	2	0.7	5.9	0	60	102.12014293670654
