clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250514 195914	1000.0	1000	1	0.6	4.8	20	20	0.07000017166137695
20250514 195915	1000.0	1000	1	0.6	4.8	20	20	1.0600013732910156
20250514 195916	1000.0	1000	1	0.6	4.8	20	20	2.0600028038024902
20250514 195917	1000.0	1000	1	0.6	4.8	20	20	3.060004234313965
20250514 195918	1000.0	1000	1	0.6	4.8	20	20	4.0600056648254395
20250514 195919	1000.0	1000	1	0.6	4.8	20	20	5.060007095336914
20250514 195920	1000.0	1000	1	0.6	4.8	20	20	6.06000828742981
20250514 195921	1000.0	1000	1	0.6	4.8	20	20	7.060009956359863
20250514 195922	1000.0	1000	1	0.6	4.8	20	20	8.060011148452759
20250514 195923	1000.0	1000	1	0.7	4.8	20	20	9.060012817382812
20250514 195924	1000.0	1000	1	0.7	4.8	20	20	10.060014009475708
20250514 195925	1000.0	1000	1	0.7	4.8	20	20	11.060015201568604
clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250514 195946	1000.0	1000	1	1.5	4.8	0	60	0.08000016212463379
20250514 195947	1000.0	1000	1	1.6	4.8	0	60	1.0700013637542725
20250514 195948	1000.0	1000	1	1.6	4.8	0	60	2.070002794265747
20250514 195949	1000.0	1000	1	1.6	4.8	0	60	3.0700042247772217
20250514 195950	1000.0	1000	1	1.6	4.8	0	60	4.070005655288696
20250514 195951	1000.0	1000	1	1.7	4.8	0	60	5.070007085800171
20250514 195952	1000.0	1000	1	1.7	4.8	0	60	6.070008277893066
20250514 195953	1000.0	1000	1	1.7	4.8	0	60	7.07000994682312
20250514 195954	1000.0	1000	1	1.7	4.8	0	60	8.070011138916016
20250514 195955	1000.0	1000	1	1.7	4.8	0	60	9.07001280784607
20250514 195956	1000.0	1000	1	1.6	4.8	0	60	10.070013999938965
20250514 195957	1000.0	1000	1	1.6	4.8	0	60	11.070015668869019
20250514 195958	1000.0	1000	1	1.6	4.8	0	60	12.070016860961914
20250514 195959	1000.0	1000	1	1.5	4.8	0	60	13.070018291473389
20250514 200000	1000.0	1000	1	1.5	4.8	0	60	14.070019721984863
20250514 200001	1000.0	1000	1	1.5	4.8	0	60	15.070021152496338
20250514 200002	1000.0	1000	1	1.4	4.8	0	60	16.070022344589233
20250514 200003	1000.0	1000	1	1.4	4.8	0	60	17.070023775100708
20250514 200004	1000.0	1000	1	1.4	4.8	0	60	18.070025205612183
20250514 200005	1000.0	1000	1	1.3	4.8	0	60	19.070026636123657
20250514 200006	1000.0	1000	1	1.3	4.8	0	60	20.070028066635132
20250514 200007	1000.0	1000	1	1.3	4.8	0	60	21.070029258728027
20250514 200008	1000.0	1000	1	1.2	4.8	0	60	22.07003092765808
20250514 200009	1000.0	1000	1	1.2	4.8	0	60	23.070032119750977
20250514 200010	1000.0	1000	1	1.2	4.8	0	60	24.07003378868103
20250514 200011	1000.0	1000	1	1.2	4.8	0	60	25.070034980773926
20250514 200012	1000.0	1000	1	1.2	4.8	0	60	26.07003664970398
20250514 200013	1000.0	1000	1	1.2	4.8	0	60	27.070037841796875
20250514 200014	1000.0	1000	1	1.1	4.8	0	60	28.07003927230835
20250514 200015	1000.0	1000	1	1.1	4.8	0	60	29.070040702819824
20250514 200016	1000.0	1000	1	1.1	4.8	0	60	30.0700421333313
20250514 200017	1000.0	1000	1	1.1	4.8	0	60	31.070043563842773
20250514 200018	1000.0	1000	1	1.1	4.8	0	60	32.07004499435425
20250514 200019	1000.0	1000	1	1.1	4.8	0	60	33.070046186447144
20250514 200020	1000.0	1000	1	1.1	4.8	0	60	34.07004761695862
20250514 200021	1000.0	1000	1	1.1	4.8	0	60	35.07004904747009
20250514 200022	1000.0	1000	1	1.1	4.8	0	60	36.07005047798157
20250514 200023	1000.0	1000	1	1.0	4.8	0	60	37.07005190849304
20250514 200024	1000.0	1000	1	1.0	4.8	0	60	38.07005310058594
20250514 200025	1000.0	1000	1	1.0	4.8	0	60	39.07005476951599
20250514 200026	1000.1	1000	1	1.0	4.8	0	60	40.07005596160889
20250514 200027	1000.1	1000	1	1.0	4.8	0	60	41.07005763053894
20250514 200028	1000.1	1000	1	1.0	4.8	0	60	42.070058822631836
20250514 200029	1000.0	1000	1	1.0	4.8	0	60	43.07006025314331
20250514 200030	1000.0	1000	1	1.0	4.8	0	60	44.070061683654785
20250514 200031	1000.0	1000	1	1.0	4.8	0	60	45.07006311416626
20250514 200032	1000.1	1000	1	1.0	4.8	0	60	46.070064544677734
20250514 200033	1000.0	1000	1	1.0	4.8	0	60	47.07006597518921
20250514 200034	1000.0	1000	1	1.0	4.8	0	60	48.070067167282104
